final_episode_id,id,route_label,start_time,end_time,rows,latitude_start,longitude_start,latitude_end,longitude_end,primary_serving_cell_key,primary_serving_eci,primary_serving_pci,primary_earfcn,primary_band,min_actual_tp,median_actual_tp,max_expected_tp,max_expected_gap,min_actual_expected_ratio,max_row_priority,mean_row_priority,max_row_impact,mean_row_impact,max_row_confidence,mean_row_confidence,consensus_rows,statistical_only_rows,ml_only_rows,high_quality_direct_evidence_rows,dominant_statistical_type,dominant_ml_type,dominant_impact_family,fusion_source_mode,duration_seconds,span_seconds_inclusive,observed_anomalous_seconds,episode_density_0_1,internal_gap_seconds,longest_consecutive_run_seconds,distance_affected_m,agreement_pct,direct_evidence_coverage_0_1,strong_direct_evidence_rows,radio_limited_degradation_flag_rows,coverage_planning_review_flag,episode_persistence_score_0_100,episode_impact_score_0_100,episode_detection_confidence_0_100,episode_final_priority_0_100,episode_impact_severity,episode_detection_confidence,episode_confidence_gate_pass,episode_critical_override_flag,episode_critical_override_reason,final_episode_handoff_flag,episode_keep_path,episode_priority_severity,operational_incident_id,incident_bridge_decision
LTE-TP-EP-000012,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:42:12+02:00,2025-08-26 23:42:12+02:00,1,-17.815971,177.3955936,-17.815971,177.3955936,ECI:1065267.0,1065267.0,145.0,41186.0,41.0,6.203912,6.203912,41.037212749999995,34.83330074999999,0.15117771369596733,66.78,66.78,60.84,60.84,74.03,74.03,0,1,0,1,ca_underperformance,normal,capability,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,False,22.25,51.19,65.52,57.64,Medium,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000011,new_session_or_first_episode
LTE-TP-EP-000013,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:42:55+02:00,2025-08-26 23:42:55+02:00,1,-17.8159709,177.3955934,-17.8159709,177.3955934,ECI:1065267.0,1065267.0,145.0,41186.0,41.0,1.742888,1.742888,,,,63.86,63.86,63.9,63.9,63.8,63.8,0,1,0,1,radio_limited_degradation,normal,radio,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,0.011119508138052268,0.0,1.0,1,1,True,22.25,53.49,57.85,55.45,Medium,Medium,True,False,,True,priority_and_confidence_gate,Medium,INC-000012,"new:gap=43.0s,dist=0.023914835366052066m,cell=True,family=False"
LTE-TP-EP-000015,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:04+02:00,2025-08-26 23:43:04+02:00,1,-17.8157187,177.3958836,-17.8157187,177.3958836,ECI:1065267.0,1065267.0,151.0,41186.0,41.0,1.741488,1.741488,,,,68.81,68.81,63.9,63.9,74.8,74.8,0,1,0,1,radio_limited_degradation,normal,radio,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,8.115526987859898,0.0,1.0,1,1,True,22.25,53.49,66.1,59.16,Medium,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000013,"new:gap=9.0s,dist=41.596080653921014m,cell=True,family=True"
LTE-TP-EP-000017,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:18+02:00,2025-08-26 23:43:21+02:00,2,-17.81474082,177.39682594,-17.81453451,177.39704089,ECI:1065267.0,1065267.0,145.0,41186.0,41.0,0.103264,6.915852,60.097231750000006,46.36879175000001,0.007410954561218834,76.64,66.135,73.08,62.89,81.0,70.11,0,2,0,2,ca_underperformance,normal,capability,statistical_only_retained,3.0,4.0,2.0,0.5,2.0,1.0,10.640513066512048,0.0,1.0,2,0,False,16.0,56.26,68.03,61.56,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000014,"new:gap=14.0s,dist=147.5644105208569m,cell=True,family=False"
LTE-TP-EP-000018,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:37+02:00,2025-08-26 23:43:37+02:00,1,-17.81350226,177.39803618,-17.81350226,177.39803618,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,0.013496,0.013496,19.75472707269558,19.74123107269558,0.0006831782565426473,77.87,77.87,75.3,75.3,81.0,81.0,0,1,0,1,sudden_drop,normal,temporal,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,10.791606665475335,0.0,1.0,1,0,False,22.25,62.04,70.75,65.96,High,High,True,False,,True,priority_and_confidence_gate,High,INC-000015,"new:gap=16.0s,dist=155.80925538765823m,cell=False,family=False"
LTE-TP-EP-000020,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,2025-08-26 23:43:52+02:00,2025-08-26 23:43:52+02:00,1,-17.81249118,177.39902101,-17.81249118,177.39902101,ECI:1064756.0,1064756.0,151.0,41186.0,41.0,7.18808,7.18808,50.5500302077184,43.3619502077184,0.14219734331439557,74.67,74.67,71.52,71.52,78.52,78.52,0,1,0,1,sudden_drop,normal,temporal,statistical_only_retained,0.0,1.0,1.0,1.0,0.0,1.0,11.122840908836713,0.0,1.0,1,0,False,22.25,59.2,68.89,63.56,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000016,"new:gap=15.0s,dist=153.32865855916495m,cell=False,family=True"
LTE-TP-EP-000021,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:44:17+02:00,2025-08-26 23:44:18+02:00,2,-17.81160131,177.39985085,-17.81160131,177.39985085,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,0.95784,1.224376,14.578292782459277,13.620452782459278,0.06570316663913356,73.35,69.36,69.42,64.375,78.16,75.455,0,2,0,2,rolling_local_drop,normal,temporal,statistical_only_retained,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2,0,False,29.5,58.18,67.94,62.57,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000017,new_session_or_first_episode
LTE-TP-EP-000022,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:44:32+02:00,2025-08-26 23:44:34+02:00,2,-17.8116013,177.3998509,-17.8116013,177.3998509,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,0.053712,2.59402,25.161787028743042,21.675420487120903,0.0024718888354993323,79.34,71.65,76.5,68.45,82.8,75.555,0,2,0,2,radio_limited_degradation,normal,temporal,statistical_only_retained,2.0,3.0,2.0,0.6666666666666666,1.0,1.0,0.005408790696535652,0.0,1.0,2,1,True,18.5,59.99,70.29,64.62,High,High,True,False,,True,priority_and_confidence_gate,Medium,INC-000018,"new:gap=14.0s,dist=0.005408791664164767m,cell=True,family=True"
LTE-TP-EP-000023,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:44:44+02:00,2025-08-26 23:44:48+02:00,3,-17.81160131,177.39985085,-17.81160131,177.39985085,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,0.114824,1.12228,34.54131666915785,34.42649266915785,0.003324250812434346,88.13,79.58666666666666,81.5,73.72,96.23,86.75666666666666,0,3,0,3,radio_limited_degradation,normal,temporal,statistical_only_retained,4.0,5.0,3.0,0.6,2.0,2.0,0.010817581393071304,0.0,1.0,3,1,True,24.75,65.37,79.8,71.86,High,High,True,False,,True,priority_and_confidence_gate,High,INC-000019,"new:gap=10.0s,dist=0.005408791664164767m,cell=True,family=True"
LTE-TP-EP-000024,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:44:56+02:00,2025-08-26 23:44:56+02:00,1,-17.8116013,177.3998509,-17.8116013,177.3998509,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,20.30072,20.30072,100.61148,80.31076,0.2017733960379074,75.36,75.36,63.23,63.23,90.19,90.19,1,0,0,1,rb_conditioned_underperformance,ml_hgb_strict_causal_temporal_underperformance,capability,statistical_and_ml_consensus,0.0,1.0,1.0,1.0,0.0,1.0,0.0,100.0,1.0,1,0,False,22.25,52.99,92.64,70.83,Medium,Very High,True,False,,True,priority_and_confidence_gate,High,INC-000020,"new:gap=8.0s,dist=0.005408791664164767m,cell=True,family=False"
LTE-TP-EP-000025,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:09+02:00,2025-08-26 23:45:10+02:00,2,-17.8116013,177.3998509,-17.81160131,177.39985085,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,0.027328,0.031316000000000004,40.497877908946855,40.47054990894686,0.0006748007898449084,83.11,82.91499999999999,84.13,83.745,82.8,81.9,0,2,0,2,radio_limited_degradation,normal,temporal,statistical_only_retained,1.0,2.0,2.0,1.0,0.0,2.0,0.010817581393071304,0.0,1.0,2,1,True,29.5,70.38,71.88,71.05,High,High,True,False,,True,priority_and_confidence_gate,High,INC-000021,"new:gap=13.0s,dist=0.0m,cell=True,family=False"
LTE-TP-EP-000026,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:18+02:00,2025-08-26 23:45:19+02:00,2,-17.81160131,177.39985085,-17.81160131,177.39985085,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,2.183592,3.506424,58.33712475317452,56.153532753174524,0.037430572885427914,88.02,86.225,86.53,83.485,89.83,89.57,0,2,0,2,rolling_local_drop,normal,temporal,statistical_only_retained,1.0,2.0,2.0,1.0,0.0,2.0,0.005408790696535652,0.0,1.0,2,0,False,29.5,71.51,77.31,74.12,High,High,True,False,,True,priority_and_confidence_gate,High,INC-000022,"new:gap=8.0s,dist=0.0m,cell=True,family=True"
