operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,total_anomalous_seconds,max_longest_run_seconds,peak_row_priority_0_100,episode_adjusted_priority_0_100,max_episode_impact,mean_episode_impact,max_episode_confidence,mean_episode_confidence,consensus_rows,high_quality_direct_evidence_rows,statistical_only_rows,ml_only_rows,coverage_planning_review_flag,dominant_statistical_type,dominant_ml_type,dominant_impact_family,primary_serving_cell_key,primary_serving_eci,primary_serving_pci,primary_earfcn,primary_band,latitude_start,longitude_start,latitude_end,longitude_end,duration_seconds,incident_agreement_coverage_0_1,incident_direct_evidence_coverage_0_1,incident_persistence_score_0_100,incident_final_impact_score_0_100,incident_final_confidence_0_100,incident_final_priority_0_100,incident_priority_severity,max_priority,mean_priority,max_impact,max_confidence,max_persistence
INC-001320,542020041221088+20250828143639+Fiji-Nadi-LTE-DL-D!20250828143559,Fiji-Nadi-LTE-DL-D,2025-08-28 04:33:59+02:00,2025-08-28 04:34:02+02:00,1,4,4.0,4.0,72.93,62.12,60.43,60.43,64.2,64.2,0,4,4,0,True,ca_underperformance,normal,capability,ECI:1079182.0,1079182.0,385.0,41186.0,41.0,-17.62277019,177.44636367,-17.62284077,177.44611808,3.0,0.0,1.0,32.67,53.49,61.36,57.03,Medium,57.03,57.03,53.49,61.36,32.67
INC-000801,542020041221088+20250828103607+Fiji-Nadi-LTE-DL-D!20250828103408,Fiji-Nadi-LTE-DL-D,2025-08-28 00:32:42+02:00,2025-08-28 00:32:42+02:00,1,1,1.0,1.0,77.11,65.39,58.13,58.13,74.27,74.27,0,1,1,0,False,sudden_drop,normal,temporal,ECI:1075521.0,1075521.0,316.0,40988.0,41.0,-17.70032345,177.42981733,-17.70032345,177.42981733,0.0,0.0,1.0,13.17,46.89,69.42,57.03,Medium,57.03,57.03,46.89,69.42,13.17
INC-001256,542020041221088+20250828140457+Fiji-Nadi-LTE-DL-D!20250828140425,Fiji-Nadi-LTE-DL-D,2025-08-28 04:03:40+02:00,2025-08-28 04:03:40+02:00,1,1,1.0,1.0,77.39,65.6,64.26,64.26,67.24,67.24,0,1,1,0,False,sudden_drop,normal,temporal,ECI:1082175.0,1082175.0,139.0,40988.0,41.0,-17.6051533,177.4496948,-17.6051533,177.4496948,0.0,0.0,1.0,13.17,51.49,63.79,57.02,Medium,57.02,57.02,51.49,63.79,13.17
INC-001287,542020041221088+20250828141618+Fiji-Nadi-LTE-DL-D!20250828141538,Fiji-Nadi-LTE-DL-D,2025-08-28 04:14:04+02:00,2025-08-28 04:14:08+02:00,1,3,3.0,2.0,78.29,64.04,59.77,59.77,69.26,69.26,0,3,3,0,False,ca_underperformance,normal,capability,ECI:1082163.0,1082163.0,140.0,41186.0,41.0,-17.6112881,177.4583776,-17.6115308,177.4580251,4.0,0.0,1.0,21.17,50.12,65.41,57.0,Medium,57.0,57.0,50.12,65.41,21.17
INC-000910,542020041221088+20250828115753+Fiji-Nadi-LTE-DL-D!20250828113321,Fiji-Nadi-LTE-DL-D,2025-08-28 01:31:42+02:00,2025-08-28 01:31:42+02:00,1,1,1.0,1.0,77.71,65.84,71.95,71.95,58.37,58.37,0,1,1,0,True,radio_limited_degradation,normal,radio,ECI:1076799.0,1076799.0,184.0,40988.0,41.0,-17.60485152,177.45749359,-17.60485152,177.45749359,0.0,0.0,1.0,13.17,57.26,56.7,57.0,Medium,57.0,57.0,57.26,56.7,13.17
INC-000931,542020041221088+20250828121041+Fiji-Nadi-LTE-DL-D!20250828114409,Fiji-Nadi-LTE-DL-D,2025-08-28 01:42:55+02:00,2025-08-28 01:42:55+02:00,1,1,1.0,1.0,77.24,65.49,61.77,61.77,70.03,70.03,0,1,1,0,False,sudden_drop,normal,temporal,ECI:1076787.0,1076787.0,185.0,41186.0,41.0,-17.60359218,177.45111221,-17.60359218,177.45111221,0.0,0.0,1.0,13.17,49.62,66.02,57.0,Medium,57.0,57.0,49.62,66.02,13.17
INC-001323,542020041221088+20250828143639+Fiji-Nadi-LTE-DL-D!20250828143559,Fiji-Nadi-LTE-DL-D,2025-08-28 04:34:38+02:00,2025-08-28 04:34:42+02:00,1,3,3.0,2.0,83.9,66.19,68.08,68.08,63.89,63.89,0,2,3,0,True,rb_efficiency_underperformance,normal,radio,ECI:1079182.0,1079182.0,385.0,41186.0,41.0,-17.62219959,177.44400428,-17.62180389,177.44395605,4.0,0.0,0.6666666666666666,21.17,56.35,57.78,56.99,Medium,56.99,56.99,56.35,57.78,21.17
INC-000032,542020041221088+20250827095105+Fiji-Nadi-LTE-DL-D!20250827094821,Fiji-Nadi-LTE-DL-D,2025-08-26 23:46:56+02:00,2025-08-26 23:46:56+02:00,1,1,1.0,1.0,77.15,65.42,60.46,60.46,71.49,71.49,0,1,1,0,False,sudden_drop,normal,temporal,ECI:1067570.0,1067570.0,151.0,41186.0,41.0,-17.8116013,177.3998509,-17.8116013,177.3998509,0.0,0.0,1.0,13.17,48.64,67.19,56.99,Medium,56.99,56.99,48.64,67.19,13.17
INC-000607,542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,2025-08-27 04:06:34+02:00,2025-08-27 04:06:42+02:00,2,3,3.0,1.0,79.85,63.42,78.51,76.65,49.53,45.215,0,3,3,0,True,radio_limited_degradation,normal,radio,ECI:1068749.0,1068749.0,136.0,356.0,1.0,-17.76467452,177.43984062,-17.76433845,177.44034378,8.0,0.0,1.0,22.83,64.03,48.33,56.97,Medium,56.97,56.97,64.03,48.33,22.83
INC-000003,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,1,2,2.0,2.0,76.7,64.05,55.02,55.02,75.1,75.1,0,2,2,0,False,ca_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:1065280.0,1065280.0,145.0,40988.0,41.0,-17.8159712,177.3955936,-17.8159712,177.3955936,1.0,0.0,1.0,19.67,46.18,70.08,56.94,Medium,56.94,56.94,46.18,70.08,19.67
INC-000823,542020041221088+20250828104547+Fiji-Nadi-LTE-DL-D!20250828104505,Fiji-Nadi-LTE-DL-D,2025-08-28 00:44:54+02:00,2025-08-28 00:44:56+02:00,1,2,2.0,1.0,78.5,64.75,49.98,49.98,82.8,82.8,1,1,1,0,False,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,capability,ECI:3643082.0,3643082.0,312.0,356.0,1.0,-17.63532025,177.43090153,-17.6355411,177.4311772,2.0,0.5,0.5,14.67,41.15,76.24,56.94,Medium,56.94,56.94,41.15,76.24,14.67
INC-000765,542020041221088+20250827161234+Fiji-Nadi-LTE-DL-D!20250827161029,Fiji-Nadi-LTE-DL-D,2025-08-27 06:09:02+02:00,2025-08-27 06:09:03+02:00,1,2,2.0,2.0,76.3,64.72,75.49,75.49,51.55,51.55,0,2,2,0,True,radio_limited_degradation,normal,radio,ECI:1071647.0,1071647.0,148.0,1850.0,3.0,-17.81484724,177.43867147,-17.81488687,177.43869957,1.0,0.0,1.0,19.67,61.53,51.24,56.9,Medium,56.9,56.9,61.53,51.24,19.67
INC-000916,542020041221088+20250828120053+Fiji-Nadi-LTE-DL-D!20250828113532,Fiji-Nadi-LTE-DL-D,2025-08-28 01:35:18+02:00,2025-08-28 01:35:24+02:00,1,6,6.0,4.0,75.86,64.54,69.54,69.54,58.44,58.44,0,3,6,0,True,radio_limited_degradation,normal,radio,ECI:1076796.0,1076796.0,184.0,40790.0,41.0,-17.60439987,177.4595142,-17.6044434,177.4595008,6.0,0.0,0.5,35.67,61.07,51.75,56.88,Medium,56.88,56.88,61.07,51.75,35.67
INC-001039,542020041221088+20250828124503+Fiji-Nadi-LTE-DL-D!20250828124436,Fiji-Nadi-LTE-DL-D,2025-08-28 02:43:55+02:00,2025-08-28 02:43:56+02:00,1,2,2.0,2.0,76.85,64.22,61.88,61.88,67.08,67.08,0,2,2,0,True,ca_underperformance,normal,capability,ECI:1079185.0,1079185.0,315.0,41384.0,41.0,-17.6312853,177.4383202,-17.63128733,177.43843504,1.0,0.0,1.0,19.67,51.33,63.66,56.88,Medium,56.88,56.88,51.33,63.66,19.67
INC-001114,542020041221088+20250828130744+Fiji-Nadi-LTE-DL-D!20250828130656,Fiji-Nadi-LTE-DL-D,2025-08-28 03:06:26+02:00,2025-08-28 03:06:26+02:00,1,1,1.0,1.0,77.05,65.35,62.06,62.06,69.37,69.37,0,1,1,0,False,sudden_drop,normal,temporal,ECI:3638839.0,3638839.0,255.0,40988.0,41.0,-17.628352,177.461197,-17.628352,177.461197,0.0,0.0,1.0,13.17,49.84,65.5,56.88,Medium,56.88,56.88,49.84,65.5,13.17
INC-000712,542020041221088+20250827153332+Fiji-Nadi-LTE-DL-D!20250827153318,Fiji-Nadi-LTE-DL-D,2025-08-27 05:31:54+02:00,2025-08-27 05:31:59+02:00,1,5,5.0,3.0,74.29,63.97,70.0,70.0,56.61,56.61,0,4,5,0,True,radio_limited_degradation,normal,radio,ECI:1066039.0,1066039.0,125.0,41384.0,41.0,-17.7440499,177.4344583,-17.74401313,177.4346914,5.0,0.0,0.8,29.17,59.79,53.29,56.87,Medium,56.87,56.87,59.79,53.29,29.17
INC-001303,542020041221088+20250828142258+Fiji-Nadi-LTE-DL-D!20250828142226,Fiji-Nadi-LTE-DL-D,2025-08-28 04:20:26+02:00,2025-08-28 04:20:26+02:00,1,1,1.0,1.0,76.64,65.04,54.28,54.28,78.19,78.19,0,1,1,0,False,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,temporal,EARFCN:500.0|PCI:197.0,,197.0,500.0,1.0,-17.6059858,177.4558251,-17.6059858,177.4558251,0.0,0.0,1.0,13.17,44.0,72.55,56.85,Medium,56.85,56.85,44.0,72.55,13.17
INC-001233,542020041221088+20250828140057+Fiji-Nadi-LTE-DL-D!20250828135741,Fiji-Nadi-LTE-DL-D,2025-08-28 03:56:23+02:00,2025-08-28 03:56:24+02:00,1,2,2.0,2.0,74.12,64.61,74.76,74.76,52.21,52.21,0,2,2,0,True,radio_limited_degradation,normal,radio,ECI:1076531.0,1076531.0,182.0,41186.0,41.0,-17.60701192,177.4569016,-17.6070121,177.4569017,1.0,0.0,1.0,19.67,60.99,51.77,56.84,Medium,56.84,56.84,60.99,51.77,19.67
INC-000497,542020041221088+20250827134908+Fiji-Nadi-LTE-DL-D!20250827131851,Fiji-Nadi-LTE-DL-D,2025-08-27 03:17:01+02:00,2025-08-27 03:17:10+02:00,1,8,8.0,4.0,74.47,62.34,63.49,63.49,60.94,60.94,0,6,8,0,True,rb_conditioned_underperformance,normal,capability,ECI:1066015.0,1066015.0,123.0,1850.0,3.0,-17.7706803,177.4367141,-17.7709019,177.4369511,9.0,0.0,0.75,38.67,57.29,56.25,56.82,Medium,56.82,56.82,57.29,56.25,38.67
INC-000939,542020041221088+20250828121301+Fiji-Nadi-LTE-DL-D!20250828114829,Fiji-Nadi-LTE-DL-D,2025-08-28 01:46:54+02:00,2025-08-28 01:46:55+02:00,1,2,2.0,2.0,74.33,64.1,61.46,61.46,67.32,67.32,0,2,2,0,True,radio_limited_degradation,normal,temporal,ECI:1076789.0,1076789.0,184.0,41384.0,41.0,-17.6024885,177.4557177,-17.6024876,177.4557471,1.0,0.0,1.0,19.67,51.01,63.86,56.79,Medium,56.79,56.79,51.01,63.86,19.67
INC-000605,542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,2025-08-27 04:06:24+02:00,2025-08-27 04:06:24+02:00,1,1,1.0,1.0,76.82,65.17,60.46,60.46,70.93,70.93,0,1,1,0,False,ca_underperformance,normal,capability,ECI:1067208.0,1067208.0,339.0,500.0,1.0,-17.76525243,177.43933176,-17.76525243,177.43933176,0.0,0.0,1.0,13.17,48.64,66.74,56.79,Medium,56.79,56.79,48.64,66.74,13.17
INC-001271,542020041221088+20250828140938+Fiji-Nadi-LTE-DL-D!20250828140855,Fiji-Nadi-LTE-DL-D,2025-08-28 04:08:37+02:00,2025-08-28 04:08:42+02:00,1,5,5.0,3.0,63.04,62.59,65.92,65.92,58.53,58.53,0,5,5,0,True,radio_limited_degradation,normal,radio,ECI:1076801.0,1076801.0,183.0,40988.0,41.0,-17.6083771,177.4563073,-17.6081721,177.4567834,5.0,0.0,1.0,29.17,56.73,56.82,56.77,Medium,56.77,56.77,56.73,56.82,29.17
INC-000104,542020041221088+20250827103246+Fiji-Nadi-LTE-DL-D!20250827103001,Fiji-Nadi-LTE-DL-D,2025-08-27 00:29:47+02:00,2025-08-27 00:29:48+02:00,1,2,2.0,2.0,73.64,64.4,70.87,70.87,56.49,56.49,0,2,2,0,True,radio_limited_degradation,normal,radio,ECI:1064755.0,1064755.0,148.0,500.0,1.0,-17.8144405,177.435931,-17.81444052,177.43593167,1.0,0.0,1.0,19.67,58.07,55.19,56.77,Medium,56.77,56.77,58.07,55.19,19.67
INC-000923,542020041221088+20250828121001+Fiji-Nadi-LTE-DL-D!20250828114201,Fiji-Nadi-LTE-DL-D,2025-08-28 01:40:54+02:00,2025-08-28 01:40:55+02:00,1,2,2.0,2.0,80.92,67.28,74.98,74.98,57.88,57.88,0,1,2,0,True,radio_limited_degradation,normal,radio,ECI:1076789.0,1076789.0,184.0,41384.0,41.0,-17.60350777,177.45300341,-17.603515,177.4529859,1.0,0.0,0.5,19.67,61.15,51.3,56.72,Medium,56.72,56.72,61.15,51.3,19.67
INC-000412,542020041221088+20250827132625+Fiji-Nadi-LTE-DL-D!20250827122623,Fiji-Nadi-LTE-DL-D,2025-08-27 02:26:21+02:00,2025-08-27 02:26:23+02:00,1,3,3.0,3.0,77.63,64.53,55.36,55.36,75.74,75.74,1,1,2,0,False,radio_p75_underperformance,normal,capability,ECI:1064759.0,1064759.0,149.0,41384.0,41.0,-17.8070401,177.4181157,-17.80704012,177.41811573,2.0,0.3333333333333333,0.3333333333333333,26.17,48.06,67.26,56.7,Medium,56.7,56.7,48.06,67.26,26.17
INC-000936,542020041221088+20250828121201+Fiji-Nadi-LTE-DL-D!20250828114619,Fiji-Nadi-LTE-DL-D,2025-08-28 01:45:05+02:00,2025-08-28 01:45:06+02:00,1,2,2.0,2.0,74.81,63.98,62.12,62.12,66.26,66.26,0,2,2,0,False,rolling_local_drop,normal,temporal,ECI:1076791.0,1076791.0,183.0,41384.0,41.0,-17.6043939,177.4518969,-17.6044026,177.4519536,1.0,0.0,1.0,19.67,51.51,63.01,56.68,Medium,56.68,56.68,51.51,63.01,19.67
INC-000515,542020041221088+20250827135208+Fiji-Nadi-LTE-DL-D!20250827132735,Fiji-Nadi-LTE-DL-D,2025-08-27 03:27:07+02:00,2025-08-27 03:27:07+02:00,1,1,1.0,1.0,76.43,64.88,55.9,55.9,75.85,75.85,0,1,1,0,False,sudden_drop,normal,temporal,ECI:1067153.0,1067153.0,338.0,41384.0,41.0,-17.77695055,177.43268876,-17.77695055,177.43268876,0.0,0.0,1.0,13.17,45.22,70.68,56.68,Medium,56.68,56.68,45.22,70.68,13.17
INC-000608,542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,2025-08-27 04:06:49+02:00,2025-08-27 04:06:49+02:00,1,1,1.0,1.0,77.52,65.7,79.66,79.66,48.63,48.63,0,1,1,0,True,radio_limited_degradation,normal,radio,ECI:1068615.0,1068615.0,487.0,41186.0,41.0,-17.7641413,177.4405899,-17.7641413,177.4405899,0.0,0.0,1.0,13.17,63.04,48.9,56.68,Medium,56.68,56.68,63.04,48.9,13.17
INC-000773,542020041221088+20250828102346+Fiji-Nadi-LTE-DL-D!20250828102312,Fiji-Nadi-LTE-DL-D,2025-08-28 00:21:34+02:00,2025-08-28 00:21:34+02:00,1,1,1.0,1.0,76.8,65.16,64.31,64.31,66.2,66.2,0,1,1,0,True,radio_limited_degradation,normal,temporal,ECI:1071136.0,1071136.0,338.0,1850.0,3.0,-17.737185,177.4599082,-17.737185,177.4599082,0.0,0.0,1.0,13.17,51.52,62.96,56.67,Medium,56.67,56.67,51.52,62.96,13.17
INC-000867,542020041221088+20250828113631+Fiji-Nadi-LTE-DL-D!20250828110448,Fiji-Nadi-LTE-DL-D,2025-08-28 01:03:14+02:00,2025-08-28 01:03:16+02:00,1,3,3.0,3.0,70.45,63.47,80.56,80.56,42.59,42.59,0,3,3,0,True,radio_limited_degradation,normal,radio,ECI:1080637.0,1080637.0,352.0,40790.0,41.0,-17.6382634,177.4707381,-17.638296,177.4709584,2.0,0.0,1.0,26.17,66.96,44.07,56.66,Medium,56.66,56.66,66.96,44.07,26.17
INC-001358,542020041221088+20250828154002+Fiji-Nadi-LTE-DL-D!20250828153143,Fiji-Nadi-LTE-DL-D,2025-08-28 05:30:47+02:00,2025-08-28 05:30:49+02:00,1,3,3.0,3.0,76.49,65.23,77.42,77.42,50.34,50.34,0,2,3,0,True,radio_limited_degradation,normal,radio,ECI:1067080.0,1067080.0,488.0,9310.0,28.0,-17.6902102,177.4121727,-17.6902797,177.4122952,2.0,0.0,0.6666666666666666,26.17,64.61,46.94,56.66,Medium,56.66,56.66,64.61,46.94,26.17
