sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Fair,Fair,2.0,41,41186,41.037212749999995,24.0382685,27.33931278429864,442,38.629129093749995,43.02408333749999,4.394954243749993,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,2.0,41,41384,38.729599,23.031351,25.593543962237764,715,34.799232,40.6832306,5.883998599999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,3.0,1,356,123.63355,84.73973,81.24589329213484,89,110.97255,137.6591,26.686549999999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,3.0,1,500,73.10037750000001,37.358433500000004,49.03568715833333,60,42.845059443749996,79.2505516875,36.40549224375001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Fair,3.0,28,9310,153.565445,113.76370700000001,108.8690197962963,54,140.92436,171.90290499999998,30.97854499999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,1.0,1,356,13.799264,9.757912,9.674364727868852,61,12.3236628,16.00866239999999,3.6849995999999923,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,1.0,1,500,36.14793925,18.6617915,24.952374711666668,60,24.325864075,42.17772033749999,17.851856262499993,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,1.0,28,9310,15.961244,6.498436,9.927187352038775,98,12.39949115,18.072138181249986,5.672647031249987,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,1.0,3,1850,32.334489,22.843404,24.99862070967742,62,27.713792712500002,36.32042221874998,8.60662950624998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,1.0,41,40988,23.6566995,15.72226375,17.438465916666665,30,17.129151696875,33.399105,16.269953303125,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,1.0,41,41186,31.235815,21.04308,20.28953821878049,41,27.304407,33.68997,6.385563000000001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,1.0,41,41384,23.1498445,15.019256,16.265121532773108,119,20.7839918375,26.791165399999993,6.007173562499993,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,1,356,31.748123749999998,16.8053235,22.352807019044644,168,25.71008283125,36.036804024999995,10.326721193749997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,1,500,59.31967,33.96836,40.557790151090344,321,53.568542575,66.3220485,12.753505924999992,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,28,9310,59.51545075,34.577015,37.74645477868852,122,54.18413795,67.9806994,13.796561450000006,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,3,1850,53.8361855,31.9167355,36.518929160404625,346,49.2295640875,57.903141543749996,8.673577456249994,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,41,40790,62.203377,39.396023,42.91284025794621,409,57.703000425,64.87064525,7.1676448249999964,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,41,40988,43.68767,31.903912,32.844446151148844,477,42.36768,46.09035642499999,3.722676424999989,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,41,41186,54.170067,35.66448,36.059822054682776,331,50.965228,57.547498524999995,6.582270524999991,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,2.0,41,41384,47.0651145,32.775136,34.29866623966165,532,44.83947236875001,48.65003734999999,3.810564981249982,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,3.0,1,500,78.76266000000001,57.24909,61.028967401670386,179,69.994145875,87.68775,17.693604124999993,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Good,3.0,28,9310,150.5427125,117.156545,110.233473375,32,138.5350673125,181.08448249999998,42.54941518749999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
Fair,Excellent,1.0,41,41384,23.999836000000002,15.562736,16.75618442929293,99,21.647633000000003,27.717653299999995,6.070020299999992,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected",all_valid_lte_dl_rows,radio_condition
