method_or_case,flag_role,flagged_rows,flagged_pct
ml_q75_resource_underperformance_flag,PRODUCTION_resource_trigger,217,0.6731186798188473
ml_hgb_resource_underperformance_flag,PRODUCTION_resource_trigger,94,0.2915813636081643
ml_hgb_temporal_underperformance_flag,PRODUCTION_temporal_trigger,143,0.4435759042124201
ml_lstm_q50_underperformance_flag,CONTEXT_validation_only,0,0.0
ml_iforest_raw_flag,CONTEXT_unsupervised_validation_only,765,2.3729759910664434
ml_iforest_confirmed_underperformance_flag,CONTEXT_validation_only,112,0.34741609280972763
ml_anomaly_candidate_flag,candidate_gate,266,0.8251132204231031
is_ml_throughput_anomaly,strict_production_final_gate,100,0.3101929400086854
