site_sector_ID,siteID,sectors_count,sectorID,Requires_Planning,Azimuth,Latitude,Longitude,Freq Band,Cell Radius,RSI,PCI,Mod4,Unnamed: 15,PCI_numeric,Mod4_numeric,Expected_Mod4,Mod4_Matches
ALX3910-1,ALX3910,4,91,False,65,31.0888,28.004352,N41,7000,130.0,589.0,1.0,,589.0,1.0,1.0,True
ALX3910-2,ALX3910,4,92,False,130,31.0888,28.004352,N41,7000,120.0,936.0,0.0,,936.0,0.0,0.0,True
ALX3910-3,ALX3910,4,93,False,220,31.0888,28.004352,N41,7000,115.0,986.0,2.0,,986.0,2.0,2.0,True
ALX3910-4,ALX3910,4,94,False,280,31.0888,28.004352,N41,7000,110.0,507.0,3.0,,507.0,3.0,3.0,True
ALX3913-1,ALX3913,4,91,False,10,31.025307,29.634832,N41,7000,50.0,599.0,3.0,,599.0,3.0,3.0,True
ALX3913-2,ALX3913,4,92,False,170,31.025307,29.634832,N41,7000,45.0,342.0,2.0,,342.0,2.0,2.0,True
ALX3913-3,ALX3913,4,93,False,235,31.025307,29.634832,N41,7000,40.0,480.0,0.0,,480.0,0.0,0.0,True
ALX3913-4,ALX3913,4,94,False,300,31.025307,29.634832,N41,7000,35.0,757.0,1.0,,757.0,1.0,1.0,True
ALX3915-1,ALX3915,4,91,False,95,31.218346,29.95829,N41,7000,155.0,23.0,3.0,,23.0,3.0,3.0,True
ALX3915-2,ALX3915,4,92,False,160,31.218346,29.95829,N41,7000,150.0,24.0,0.0,,24.0,0.0,0.0,True
ALX3915-3,ALX3915,4,93,False,255,31.218346,29.95829,N41,7000,145.0,25.0,1.0,,25.0,1.0,1.0,True
ALX3915-4,ALX3915,4,94,False,320,31.218346,29.95829,N41,7000,140.0,890.0,2.0,,890.0,2.0,2.0,True
ALX3918-1,ALX3918,4,91,False,30,31.08895,27.93726,N41,7000,104.0,885.0,1.0,,885.0,1.0,1.0,True
ALX3918-2,ALX3918,4,92,False,155,31.08895,27.93726,N41,7000,96.0,886.0,2.0,,886.0,2.0,2.0,True
ALX3918-3,ALX3918,4,93,False,240,31.08895,27.93726,N41,7000,88.0,887.0,3.0,,887.0,3.0,3.0,True
ALX3918-4,ALX3918,4,94,False,325,31.08895,27.93726,N41,7000,80.0,476.0,0.0,,476.0,0.0,0.0,True
ALX3927-1,ALX3927,4,91,False,5,31.198287,27.553252,N41,7000,72.0,435.0,3.0,,435.0,3.0,3.0,True
ALX3927-2,ALX3927,4,92,False,90,31.198287,27.553252,N41,7000,64.0,750.0,2.0,,750.0,2.0,2.0,True
ALX3927-3,ALX3927,4,93,False,165,31.198287,27.553252,N41,7000,56.0,993.0,1.0,,993.0,1.0,1.0,True
ALX3927-4,ALX3927,4,94,False,280,31.198287,27.553252,N41,7000,48.0,1004.0,0.0,,1004.0,0.0,0.0,True
ALX3929-1,ALX3929,3,91,False,30,30.920439,28.805889,N41,7000,125.0,73.0,1.0,,73.0,1.0,1.0,True
ALX3929-2,ALX3929,3,92,False,100,30.920439,28.805889,N41,7000,65.0,156.0,0.0,,156.0,0.0,0.0,True
ALX3929-3,ALX3929,3,93,False,315,30.920439,28.805889,N41,7000,60.0,430.0,2.0,,430.0,2.0,2.0,True
ALX3950-1,ALX3950,4,91,False,10,30.8493,29.2657,N41,7000,240.0,68.0,0.0,,68.0,0.0,0.0,True
ALX3950-2,ALX3950,4,92,False,120,30.8493,29.2657,N41,7000,235.0,729.0,1.0,,729.0,1.0,1.0,True
ALX3950-3,ALX3950,4,93,False,215,30.8493,29.2657,N41,7000,230.0,239.0,3.0,,239.0,3.0,3.0,True
ALX3950-4,ALX3950,4,94,False,285,30.8493,29.2657,N41,7000,225.0,986.0,2.0,,986.0,2.0,2.0,True
ALX3957-1,ALX3957,3,91,False,180,30.951519,28.804695,N41,7000,275.0,176.0,0.0,,176.0,0.0,0.0,True
ALX3957-2,ALX3957,3,92,False,260,30.951519,28.804695,N41,7000,270.0,446.0,2.0,,446.0,2.0,2.0,True
ALX3957-3,ALX3957,3,93,False,325,30.951519,28.804695,N41,7000,225.0,267.0,3.0,,267.0,3.0,3.0,True
ALX3958-1,ALX3958,3,91,False,15,30.825315,29.188114,N41,7000,330.0,40.0,0.0,,40.0,0.0,0.0,True
ALX3958-2,ALX3958,3,92,False,90,30.825315,29.188114,N41,7000,325.0,658.0,2.0,,658.0,2.0,2.0,True
ALX3958-3,ALX3958,3,93,False,300,30.825315,29.188114,N41,7000,270.0,553.0,1.0,,553.0,1.0,1.0,True
ALX3959-1,ALX3959,3,91,False,0,30.936573,28.826081,N41,7000,120.0,900.0,0.0,,900.0,0.0,0.0,True
ALX3959-2,ALX3959,3,92,False,235,30.936573,28.826081,N41,7000,112.0,989.0,1.0,,989.0,1.0,1.0,True
ALX3959-3,ALX3959,3,93,False,300,30.936573,28.826081,N41,7000,104.0,755.0,3.0,,755.0,3.0,3.0,True
ALX3960-1,ALX3960,4,91,False,30,31.074385,28.380136,N41,7000,440.0,447.0,3.0,,447.0,3.0,3.0,True
ALX3960-2,ALX3960,4,92,False,130,31.074385,28.380136,N41,7000,385.0,601.0,1.0,,601.0,1.0,1.0,True
ALX3960-3,ALX3960,4,93,False,260,31.074385,28.380136,N41,7000,380.0,404.0,0.0,,404.0,0.0,0.0,True
ALX3960-4,ALX3960,4,94,False,330,31.074385,28.380136,N41,7000,375.0,322.0,2.0,,322.0,2.0,2.0,True
ALX3962-1,ALX3962,4,91,False,70,31.0891944,27.9557778,N41,7000,45.0,588.0,0.0,,588.0,0.0,0.0,True
ALX3962-2,ALX3962,4,92,False,160,31.0891944,27.9557778,N41,7000,0.0,262.0,2.0,,262.0,2.0,2.0,True
ALX3962-3,ALX3962,4,93,False,240,31.0891944,27.9557778,N41,7000,5.0,143.0,3.0,,143.0,3.0,3.0,True
ALX3962-4,ALX3962,4,94,False,345,31.0891944,27.9557778,N41,7000,40.0,537.0,1.0,,537.0,1.0,1.0,True
ALX3967-1,ALX3967,3,91,False,110,30.857054,28.948419,N41,7000,495.0,224.0,0.0,,224.0,0.0,0.0,True
ALX3967-2,ALX3967,3,92,False,290,30.857054,28.948419,N41,7000,490.0,319.0,3.0,,319.0,3.0,3.0,True
ALX3967-3,ALX3967,3,93,False,350,30.857054,28.948419,N41,7000,485.0,426.0,2.0,,426.0,2.0,2.0,True
ALX3969-1,ALX3969,4,91,False,60,30.830873,28.951216,N41,7000,605.0,503.0,3.0,,503.0,3.0,3.0,True
ALX3969-2,ALX3969,4,92,False,180,30.830873,28.951216,N41,7000,600.0,618.0,2.0,,618.0,2.0,2.0,True
ALX3969-3,ALX3969,4,93,False,240,30.830873,28.951216,N41,7000,595.0,277.0,1.0,,277.0,1.0,1.0,True
ALX3969-4,ALX3969,4,94,False,320,30.830873,28.951216,N41,7000,590.0,920.0,0.0,,920.0,0.0,0.0,True
ALX3971-1,ALX3971,4,91,False,20,30.8233277,28.9662635,N41,7000,760.0,408.0,0.0,,408.0,0.0,0.0,True
ALX3971-2,ALX3971,4,92,False,120,30.8233277,28.9662635,N41,7000,768.0,1007.0,3.0,,1007.0,3.0,3.0,True
ALX3971-3,ALX3971,4,93,False,250,30.8233277,28.9662635,N41,7000,776.0,953.0,1.0,,953.0,1.0,1.0,True
ALX3971-4,ALX3971,4,94,False,320,30.8233277,28.9662635,N41,7000,784.0,346.0,2.0,,346.0,2.0,2.0,True
ALX3972-1,ALX3972,3,91,False,90,30.82783,28.957,N41,7000,65.0,39.0,3.0,,39.0,3.0,3.0,True
ALX3972-2,ALX3972,3,92,False,260,30.82783,28.957,N41,7000,60.0,214.0,2.0,,214.0,2.0,2.0,True
ALX3972-3,ALX3972,3,193,False,350,30.82783,28.957,N41,7000,55.0,528.0,0.0,,528.0,0.0,0.0,True
ALX3973-1,ALX3973,4,91,False,30,30.97261,28.730766,N41,7000,688.0,869.0,1.0,,869.0,1.0,1.0,True
ALX3973-2,ALX3973,4,92,False,115,30.97261,28.730766,N41,7000,680.0,870.0,2.0,,870.0,2.0,2.0,True
ALX3973-3,ALX3973,4,93,False,180,30.97261,28.730766,N41,7000,672.0,871.0,3.0,,871.0,3.0,3.0,True
ALX3973-4,ALX3973,4,94,False,250,30.97261,28.730766,N41,7000,664.0,72.0,0.0,,72.0,0.0,0.0,True
ALX3974-1,ALX3974,4,91,False,50,30.9744,28.725616,N41,7000,464.0,946.0,2.0,,946.0,2.0,2.0,True
ALX3974-2,ALX3974,4,92,False,130,30.9744,28.725616,N41,7000,456.0,941.0,1.0,,941.0,1.0,1.0,True
ALX3974-3,ALX3974,4,93,False,220,30.9744,28.725616,N41,7000,448.0,911.0,3.0,,911.0,3.0,3.0,True
ALX3974-4,ALX3974,4,94,False,300,30.9744,28.725616,N41,7000,104.0,452.0,0.0,,452.0,0.0,0.0,True
ALX3977-1,ALX3977,3,91,False,60,30.84324,28.933473,N41,7000,810.0,118.0,2.0,,118.0,2.0,2.0,True
ALX3977-2,ALX3977,3,92,False,240,30.84324,28.933473,N41,7000,805.0,600.0,0.0,,600.0,0.0,0.0,True
ALX3977-3,ALX3977,3,93,False,330,30.84324,28.933473,N41,7000,800.0,183.0,3.0,,183.0,3.0,3.0,True
ALX3982-1,ALX3982,4,91,False,70,31.076247,28.063684,N41,7000,16.0,982.0,2.0,,982.0,2.0,2.0,True
ALX3982-2,ALX3982,4,92,False,180,31.076247,28.063684,N41,7000,8.0,653.0,1.0,,653.0,1.0,1.0,True
ALX3982-3,ALX3982,4,93,False,275,31.076247,28.063684,N41,7000,0.0,87.0,3.0,,87.0,3.0,3.0,True
ALX3982-4,ALX3982,4,94,False,335,31.076247,28.063684,N41,7000,792.0,828.0,0.0,,828.0,0.0,0.0,True
ALX3983-1,ALX3983,3,91,False,75,30.981719,28.746646,N41,7000,825.0,905.0,1.0,,905.0,1.0,1.0,True
ALX3983-2,ALX3983,3,92,False,160,30.981719,28.746646,N41,7000,820.0,906.0,2.0,,906.0,2.0,2.0,True
ALX3983-3,ALX3983,3,93,False,235,30.981719,28.746646,N41,7000,800.0,907.0,3.0,,907.0,3.0,3.0,True
ALX3984-1,ALX3984,4,91,False,90,30.922437,28.834867,N41,7000,55.0,770.0,2.0,,770.0,2.0,2.0,True
ALX3984-2,ALX3984,4,92,False,155,30.922437,28.834867,N41,7000,50.0,621.0,1.0,,621.0,1.0,1.0,True
ALX3984-3,ALX3984,4,93,False,220,30.922437,28.834867,N41,7000,45.0,635.0,3.0,,635.0,3.0,3.0,True
ALX3984-4,ALX3984,4,94,False,340,30.922437,28.834867,N41,7000,40.0,432.0,0.0,,432.0,0.0,0.0,True
ALX3985-1,ALX3985,4,91,False,40,30.995952,28.688174,N41,7000,130.0,698.0,2.0,,698.0,2.0,2.0,True
ALX3985-2,ALX3985,4,92,False,110,30.995952,28.688174,N41,7000,125.0,827.0,3.0,,827.0,3.0,3.0,True
ALX3985-3,ALX3985,4,93,False,235,30.995952,28.688174,N41,7000,105.0,973.0,1.0,,973.0,1.0,1.0,True
ALX3985-4,ALX3985,4,94,False,320,30.995952,28.688174,N41,7000,100.0,636.0,0.0,,636.0,0.0,0.0,True
ALX3988-1,ALX3988,4,91,False,25,30.970097,28.754632,N41,7000,570.0,822.0,2.0,,822.0,2.0,2.0,True
ALX3988-2,ALX3988,4,92,False,100,30.970097,28.754632,N41,7000,565.0,823.0,3.0,,823.0,3.0,3.0,True
ALX3988-3,ALX3988,4,93,False,170,30.970097,28.754632,N41,7000,560.0,5.0,1.0,,5.0,1.0,1.0,True
ALX3988-4,ALX3988,4,94,False,240,30.970097,28.754632,N41,7000,555.0,824.0,0.0,,824.0,0.0,0.0,True
ALX3989-1,ALX3989,3,91,False,60,31.171166,27.6579,N41,7000,16.0,880.0,0.0,,880.0,0.0,0.0,True
