ml_independent_trigger_count,rows,final_ml_anomalies,median_ml_score,median_confidence,median_actual_tp
0,31972,0,0.0,3.0,39.150819999999996
1,166,0,0.0,54.205,14.266079999999999
2,100,100,73.225,94.785,14.512720000000002
