serving_cell_key,serving_eci,serving_pci,serving_earfcn,approx_latitude,approx_longitude,location_uncertainty_radius_m,p90_observation_spread_m,anomaly_gps_rows,sessions,max_incident_priority_0_100,dominant_case,coverage_or_planning_review,location_reliability,location_is_tower_coordinate,location_method
ECI:1079368.0,1079368.0,319.0,500.0,-17.681711649999997,177.38882795,3.2118806103372943,3.2118806103372943,2,1,55.46,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3624000.0,3624000.0,138.0,9310.0,-17.7846147,177.3901985,0.0,0.0,1,1,55.35,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3640371.0,3640371.0,271.0,40790.0,-17.63648374,177.46058386,186.60818478681404,186.60818478681404,3,2,55.35,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1067336.0,1067336.0,110.0,9310.0,-17.7653865,177.4677851,0.0,0.0,1,1,55.32,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1073463.0,1073463.0,82.0,41384.0,-17.7687467,177.48806969999998,6.725064199821201,6.725064199821201,2,1,55.32,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3636032.0,3636032.0,231.0,41384.0,-17.63767159,177.47520173,146.3983520565188,146.3983520565188,9,1,55.3,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:1082172.0,1082172.0,139.0,40790.0,-17.60795206,177.4547866,204.23551796102268,204.23551796102268,9,4,55.28,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
ECI:1076759.0,1076759.0,184.0,356.0,-17.6044668,177.45928142,17.495750706087485,17.495750706087485,3,1,55.27,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1081663.0,1081663.0,354.0,40988.0,-17.6305662,177.4375229,35.08403759007888,35.08403759007888,3,1,55.18,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1081654.0,1081654.0,355.0,41384.0,-17.6455821,177.43636085,525.8001590390152,525.8001590390152,6,2,55.12,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1066783.0,1066783.0,157.0,40790.0,-17.7827109,177.3867214,0.0,0.0,1,1,55.1,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1065281.0,1065281.0,146.0,40988.0,-17.7988778,177.4164459,0.0,0.0,1,1,55.06,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1076289.0,1076289.0,179.0,40988.0,-17.61459344,177.4620349,342.95439359005906,342.95439359005906,5,2,55.03,radio_limited_degradation,True,MEDIUM,False,anomaly_observation_centroid
ECI:3636033.0,3636033.0,232.0,41384.0,-17.61608177,177.44703495,578.6402211403025,578.6402211403025,15,6,54.94,ca_underperformance,True,LOW,False,anomaly_observation_centroid
EARFCN:40988.0|PCI:393.0,,393.0,40988.0,-17.80810749,177.43206251,0.0,0.0,1,1,54.93,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1076790.0,1076790.0,185.0,41384.0,-17.60382833,177.4519317,51.09767203215163,51.09767203215163,3,2,54.9,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1072662.0,1072662.0,394.0,500.0,-17.780757729999998,177.431114815,2.612307058640564,2.612307058640564,2,1,54.79,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1076246.0,1076246.0,179.0,500.0,-17.605550530000002,177.47502364000002,678.5582001099979,678.5582001099979,8,2,54.79,ca_underperformance,True,LOW,False,anomaly_observation_centroid
ECI:1065246.0,1065246.0,144.0,1850.0,-17.7967214,177.407518,0.0,0.0,1,1,54.71,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:3638984.0,3638984.0,250.0,356.0,-17.61279514,177.46327916,0.0,0.0,1,1,54.67,radio_limited_degradation,True,LOW,False,anomaly_observation_centroid
ECI:1073715.0,1073715.0,362.0,41186.0,-17.7977095,177.41582,7.927706502211381,7.927706502211381,3,2,54.66,ca_underperformance,False,LOW,False,anomaly_observation_centroid
ECI:1072692.0,1072692.0,394.0,41186.0,-17.779370049999997,177.43041929999998,160.5710304465886,160.5710304465886,2,2,54.61,temporal_local_drop,False,LOW,False,anomaly_observation_centroid
ECI:1072150.0,1072150.0,448.0,500.0,-17.754439650000002,177.45484595,9.706469540908618,9.706469540908618,6,1,54.61,ca_underperformance,True,MEDIUM,False,anomaly_observation_centroid
