model,valid_rows,residual_q10,residual_q05,residual_q01
hgb_resource,412,-0.3806787041661237,-0.5071216666934462,-1.0798691650497898
hgb_temporal,412,-0.3441385806099458,-0.5256925944996745,-0.9344577855531789
q75_resource,412,-0.5715483261896148,-0.753403165731727,-1.629274016982128
lstm_q50,0,,,
