anomaly_episode_id,id,route_label,test_type,start_time,end_time,rows,dominant_type,max_score,mean_score,min_actual_tp,median_actual_tp,median_expected_tp,median_expected_radio_p75,median_expected_rb_conditioned_p75,expected_radio_confidence_mode,expected_rb_confidence_mode,min_ratio,min_rb_ratio,median_rb_usage,rb_usage_bucket_mode,rb_demand_confidence_mode,median_throughput_per_rb,primary_serving_pci,primary_earfcn,primary_band,mean_rsrp,mean_sinr,serving_pci_count,duration_seconds,any_event_near_rows,any_event_near_rows_pct,any_event_event_count_sum,measurement_report_event_near_rows,measurement_report_event_near_rows_pct,measurement_report_event_event_count_sum,handover_execution_near_rows,handover_execution_near_rows_pct,handover_execution_event_count_sum,handover_failure_near_rows,handover_failure_near_rows_pct,handover_failure_event_count_sum,rach_attempt_near_rows,rach_attempt_near_rows_pct,rach_attempt_event_count_sum,rach_failure_near_rows,rach_failure_near_rows_pct,rach_failure_event_count_sum,ca_activation_change_near_rows,ca_activation_change_near_rows_pct,ca_activation_change_event_count_sum,failure_other_near_rows,failure_other_near_rows_pct,failure_other_event_count_sum,max_speed,min_distance_from_prev_m,max_distance_from_prev_m,max_severity
LTE-TP-EP-000051,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:45:52+02:00,2025-08-26 23:45:52+02:00,1,ca_underperformance,88.8,88.8,10.473,10.473,108.961,108.961,68.421,high,medium,0.096,0.153,106.196,medium_rb_usage,medium,0.099,147.19439294927932,40271.018450826414,42.03250378911671,-101.831,18.141,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.364,461.772,461.772,High
LTE-TP-EP-000044,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:44:18+02:00,2025-08-26 23:44:19+02:00,2,sudden_drop,86.1,68.05,2.044,13.573,37.173,37.173,29.201,medium,medium,0.055,0.07,31.821,low_rb_usage,low_or_uncertain,0.393,157.68065494189278,40652.14572007904,40.9593973160853,-104.19,18.555,2,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.447,377.754,504.789,High
LTE-TP-EP-000032,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:42:55+02:00,2025-08-26 23:42:55+02:00,1,radio_limited_degradation,81.9,81.9,2.021,2.021,36.313,36.313,24.64,high,high,0.056,0.082,35.143,low_rb_usage,low_or_uncertain,0.058,142.11595205377358,40920.51403967169,40.09857590990534,-109.56,9.242,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.201,748.706,748.706,High
LTE-TP-EP-000011,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:39:28+02:00,2025-08-26 23:39:28+02:00,1,sudden_drop,77.1,77.1,10.003,10.003,62.465,62.465,50.825,high,not_available_or_sparse,0.16,0.197,67.27,low_rb_usage,low_or_uncertain,0.149,294.9988554103969,41172.27183429778,41.96816019419793,-104.532,8.452,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.056,483.157,483.157,High
LTE-TP-EP-000006,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:38:04+02:00,2025-08-26 23:38:06+02:00,3,sudden_drop,75.8,70.967,3.236,5.096,36.006,36.006,29.201,high,medium,0.089,0.131,61.569,low_rb_usage,low_or_uncertain,0.083,145.08403319806774,41712.90308229375,40.81796682509059,-109.785,9.9,3,2.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.253,107.255,215.003,High
LTE-TP-EP-000014,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:40:00+02:00,2025-08-26 23:40:01+02:00,2,sudden_drop,75.7,65.85,14.048,28.418,62.465,62.465,65.932,high,high,0.225,0.213,183.778,high_rb_usage,high,0.151,291.0469471931817,39512.33484235439,41.22344591606269,-103.422,5.299,2,1.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.76,128.738,180.227,High
LTE-TP-EP-000041,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:45+02:00,2025-08-26 23:43:45+02:00,1,sudden_drop,71.8,71.8,16.54,16.54,80.596,80.596,89.441,medium,medium,0.205,0.185,184.692,high_rb_usage,high,0.09,155.4816053314524,41010.65140361349,40.7674407957231,-102.404,10.659,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,10.614,230.259,230.259,High
LTE-TP-EP-000018,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:40:55+02:00,2025-08-26 23:40:55+02:00,1,sudden_drop,71.3,71.3,4.506,4.506,36.313,36.313,24.64,high,high,0.124,0.183,56.16,low_rb_usage,low_or_uncertain,0.08,285.1429657574719,41037.702440043424,41.59404481537746,-107.784,6.119,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,-0.175,421.882,421.882,High
LTE-TP-EP-000036,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:43:21+02:00,2025-08-26 23:43:21+02:00,1,rolling_local_drop,67.1,67.1,13.133,13.133,80.596,80.596,68.421,medium,medium,0.163,0.192,136.454,medium_rb_usage,medium,0.096,152.80233666169258,41594.105344228345,39.411246317873704,-112.64,11.193,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,33.744,1195.794,1195.794,High
LTE-TP-EP-000027,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,Fiji-Nadi-LTE-DL-D,DL-D,2025-08-26 23:41:59+02:00,2025-08-26 23:41:59+02:00,1,rb_conditioned_underperformance,65.5,65.5,15.352,15.352,62.465,62.465,65.932,high,high,0.246,0.233,161.374,high_rb_usage,high,0.095,297.3734497072847,40757.5045006941,42.71505896816669,-113.116,3.712,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1.382,,,High
