rb_column,non_null_rows,non_null_pct,unique_values,min,p10,p25,median,p75,p90,max,reliable_for_anomaly_evidence
lte_rb_count,32237,99.997,98,1.0,29.0,50.0,73.0,88.0,94.0,98.0,True
lte_agg_rb_dl,32238,100.0,286,1.0,49.0,79.0,123.0,167.0,183.0,292.0,True
scell1_rb_count,22177,68.791,100,1.0,39.0,65.0,82.0,91.0,95.0,100.0,False
