model,valid_rows,residual_q10,residual_q05,residual_q01
hgb_resource,32238,-0.3579650540884947,-0.528822097873964,-1.105331830866193
hgb_temporal,32238,-0.3106493564788327,-0.4757981086837976,-1.0004124648725614
q75_resource,32238,-0.8315430764873106,-1.1372898963965314,-1.7990986991499718
lstm_q50,0,,,
