operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,max_priority,mean_priority,max_impact,max_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,primary_serving_pci,duration_seconds
INC-000471,542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,2025-08-27 04:06:52+02:00,2025-08-27 04:06:58+02:00,1,7,75.56,75.56,82.38,67.22,0,7,0,radio_limited_degradation,normal,122.0,6.0
INC-000332,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:04:22+02:00,2025-08-27 03:04:24+02:00,1,3,75.5,75.5,78.7,71.6,0,3,0,radio_limited_degradation,normal,394.0,2.0
INC-000253,542020041221088+20250827123938+Fiji-Nadi-LTE-DL-D!20250827115735,Fiji-Nadi-LTE-DL-D,2025-08-27 01:57:32+02:00,2025-08-27 01:57:32+02:00,1,1,75.2,75.2,54.92,100.0,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,157.0,0.0
INC-000440,542020041221088+20250827140810+Fiji-Nadi-LTE-DL-D!20250827140022,Fiji-Nadi-LTE-DL-D,2025-08-27 04:00:11+02:00,2025-08-27 04:00:12+02:00,1,2,75.14,75.14,72.38,78.52,0,2,0,radio_limited_degradation,normal,124.0,1.0
INC-000341,542020041221088+20250827134247+Fiji-Nadi-LTE-DL-D!20250827130749,Fiji-Nadi-LTE-DL-D,2025-08-27 03:06:08+02:00,2025-08-27 03:06:10+02:00,1,3,75.09,75.09,77.42,72.24,0,3,0,rolling_local_drop,normal,394.0,2.0
INC-000881,542020041221088+20250828131954+Fiji-Nadi-LTE-DL-D!20250828131344,Fiji-Nadi-LTE-DL-D,2025-08-28 03:13:40+02:00,2025-08-28 03:13:40+02:00,1,1,75.03,75.03,70.81,80.18,0,1,0,sudden_drop,normal,254.0,0.0
INC-000913,542020041221088+20250828133556+Fiji-Nadi-LTE-DL-D!20250828132602,Fiji-Nadi-LTE-DL-D,2025-08-28 03:24:27+02:00,2025-08-28 03:24:28+02:00,1,2,74.79,74.79,71.96,78.25,0,2,0,rolling_local_drop,normal,253.0,1.0
INC-000221,542020041221088+20250827123337+Fiji-Nadi-LTE-DL-D!20250827114216,Fiji-Nadi-LTE-DL-D,2025-08-27 01:41:23+02:00,2025-08-27 01:41:50+02:00,1,28,74.64,74.64,98.42,45.58,0,28,0,radio_limited_degradation,normal,146.0,27.0
INC-000055,542020041221088+20250827100525+Fiji-Nadi-LTE-DL-D!20250827100437,Fiji-Nadi-LTE-DL-D,2025-08-27 00:03:31+02:00,2025-08-27 00:03:32+02:00,1,2,74.47,74.47,63.32,88.11,1,1,0,radio_limited_degradation,ml_quantile_p75_resource_underperformance,148.0,1.0
INC-000066,542020041221088+20250827102346+Fiji-Nadi-LTE-DL-D!20250827102142,Fiji-Nadi-LTE-DL-D,2025-08-27 00:21:17+02:00,2025-08-27 00:21:17+02:00,1,1,74.47,74.47,54.57,98.78,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,149.0,0.0
INC-000331,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:04:10+02:00,2025-08-27 03:04:10+02:00,1,1,74.43,74.43,73.04,76.12,0,1,0,sudden_drop,normal,394.0,0.0
INC-000246,542020041221088+20250827123858+Fiji-Nadi-LTE-DL-D!20250827115524,Fiji-Nadi-LTE-DL-D,2025-08-27 01:54:34+02:00,2025-08-27 01:54:36+02:00,1,3,74.39,74.39,76.35,72.0,0,3,0,radio_limited_degradation,normal,156.0,2.0
INC-000082,542020041221088+20250827103246+Fiji-Nadi-LTE-DL-D!20250827103001,Fiji-Nadi-LTE-DL-D,2025-08-27 00:29:43+02:00,2025-08-27 00:30:02+02:00,2,19,74.26,73.14,89.34,55.84,0,19,0,radio_limited_degradation,normal,148.0,19.0
INC-000106,542020041221088+20250827105427+Fiji-Nadi-LTE-DL-D!20250827104733,Fiji-Nadi-LTE-DL-D,2025-08-27 00:45:44+02:00,2025-08-27 00:45:45+02:00,1,2,74.21,74.21,61.18,90.13,1,1,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,127.0,1.0
INC-000497,542020041221088+20250827151132+Fiji-Nadi-LTE-DL-D!20250827151053,Fiji-Nadi-LTE-DL-D,2025-08-27 05:10:45+02:00,2025-08-27 05:10:53+02:00,2,5,74.19,73.185,76.31,71.61,0,5,0,radio_limited_degradation,normal,114.0,8.0
INC-000581,542020041221088+20250827160834+Fiji-Nadi-LTE-DL-D!20250827160146,Fiji-Nadi-LTE-DL-D,2025-08-27 06:00:04+02:00,2025-08-27 06:00:04+02:00,1,1,74.17,74.17,53.26,99.72,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,470.0,0.0
INC-001039,542020041221088+20250828144339+Fiji-Nadi-LTE-DL-D!20250828144308,Fiji-Nadi-LTE-DL-D,2025-08-28 04:42:54+02:00,2025-08-28 04:43:02+02:00,2,5,74.15,61.865,73.21,75.3,0,5,0,rb_conditioned_underperformance,normal,356.0,8.0
INC-000152,542020041221088+20250827114050+Fiji-Nadi-LTE-DL-D!20250827111354,Fiji-Nadi-LTE-DL-D,2025-08-27 01:12:01+02:00,2025-08-27 01:12:01+02:00,1,1,74.14,74.14,52.98,100.0,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,448.0,0.0
INC-000658,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:48:57+02:00,2025-08-28 00:48:58+02:00,1,2,74.05,74.05,75.18,72.67,0,2,0,radio_limited_degradation,ml_quantile_p75_resource_underperformance,163.0,1.0
INC-001042,542020041221088+20250828153519+Fiji-Nadi-LTE-DL-D!20250828151816,Fiji-Nadi-LTE-DL-D,2025-08-28 05:17:50+02:00,2025-08-28 05:17:50+02:00,1,1,73.92,73.92,70.94,77.56,0,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,455.0,0.0
INC-000911,542020041221088+20250828133115+Fiji-Nadi-LTE-DL-D!20250828132346,Fiji-Nadi-LTE-DL-D,2025-08-28 03:23:16+02:00,2025-08-28 03:23:16+02:00,1,1,73.85,73.85,52.45,100.0,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,254.0,0.0
INC-000868,542020041221088+20250828131435+Fiji-Nadi-LTE-DL-D!20250828131128,Fiji-Nadi-LTE-DL-D,2025-08-28 03:09:38+02:00,2025-08-28 03:09:40+02:00,1,3,73.76,73.76,72.75,74.98,0,3,0,radio_limited_degradation,normal,254.0,2.0
INC-000859,542020041221088+20250828130244+Fiji-Nadi-LTE-DL-D!20250828130228,Fiji-Nadi-LTE-DL-D,2025-08-28 03:02:16+02:00,2025-08-28 03:02:17+02:00,1,2,73.73,73.73,61.24,89.0,1,1,0,sudden_drop,ml_quantile_p75_resource_underperformance,272.0,1.0
INC-000099,542020041221088+20250827104707+Fiji-Nadi-LTE-DL-D!20250827104518,Fiji-Nadi-LTE-DL-D,2025-08-27 00:44:06+02:00,2025-08-27 00:44:07+02:00,1,2,73.7,73.7,76.07,70.8,0,2,0,radio_limited_degradation,normal,431.0,1.0
INC-000053,542020041221088+20250827100345+Fiji-Nadi-LTE-DL-D!20250827100319,Fiji-Nadi-LTE-DL-D,2025-08-27 00:02:23+02:00,2025-08-27 00:02:25+02:00,1,3,73.69,73.69,64.56,84.85,1,2,0,ca_underperformance,normal,148.0,2.0
INC-000499,542020041221088+20250827151332+Fiji-Nadi-LTE-DL-D!20250827151309,Fiji-Nadi-LTE-DL-D,2025-08-27 05:11:15+02:00,2025-08-27 05:11:17+02:00,1,3,73.69,73.69,77.5,69.03,0,3,0,rb_conditioned_underperformance,normal,114.0,2.0
INC-000200,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:34:37+02:00,2025-08-27 01:34:38+02:00,1,2,73.65,73.65,52.09,100.0,2,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,394.0,1.0
INC-000829,542020041221088+20250828125404+Fiji-Nadi-LTE-DL-D!20250828125334,Fiji-Nadi-LTE-DL-D,2025-08-28 02:51:32+02:00,2025-08-28 02:51:35+02:00,1,4,73.62,73.62,83.36,61.71,0,4,0,radio_limited_degradation,normal,167.0,3.0
INC-001048,542020041221088+20250828153922+Fiji-Nadi-LTE-DL-D!20250828152928,Fiji-Nadi-LTE-DL-D,2025-08-28 05:27:32+02:00,2025-08-28 05:27:37+02:00,1,6,73.61,73.61,80.35,65.38,0,6,0,radio_limited_degradation,normal,454.0,5.0
INC-000022,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:42+02:00,2025-08-26 23:45:43+02:00,1,2,73.6,73.6,71.81,75.79,0,2,0,rolling_local_drop,normal,151.0,1.0
INC-000956,542020041221088+20250828135857+Fiji-Nadi-LTE-DL-D!20250828135526,Fiji-Nadi-LTE-DL-D,2025-08-28 03:54:23+02:00,2025-08-28 03:54:23+02:00,1,1,73.53,73.53,51.88,100.0,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,140.0,0.0
INC-000244,542020041221088+20250827123858+Fiji-Nadi-LTE-DL-D!20250827115524,Fiji-Nadi-LTE-DL-D,2025-08-27 01:54:21+02:00,2025-08-27 01:54:21+02:00,1,1,73.37,73.37,72.72,74.17,0,1,0,radio_limited_degradation,normal,156.0,0.0
INC-000782,542020041221088+20250828123823+Fiji-Nadi-LTE-DL-D!20250828123754,Fiji-Nadi-LTE-DL-D,2025-08-28 02:36:04+02:00,2025-08-28 02:36:07+02:00,1,4,73.33,73.33,65.15,83.34,1,3,0,rolling_local_drop,normal,313.0,3.0
INC-000230,542020041221088+20250827123437+Fiji-Nadi-LTE-DL-D!20250827114425,Fiji-Nadi-LTE-DL-D,2025-08-27 01:43:36+02:00,2025-08-27 01:43:43+02:00,1,8,73.31,73.31,86.07,57.72,0,8,0,radio_limited_degradation,normal,140.0,7.0
INC-000653,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:47:42+02:00,2025-08-28 00:47:44+02:00,1,3,73.26,73.26,65.93,82.22,1,2,0,rb_conditioned_underperformance,normal,163.0,2.0
INC-000572,542020041221088+20250827160414+Fiji-Nadi-LTE-DL-D!20250827155722,Fiji-Nadi-LTE-DL-D,2025-08-27 05:55:19+02:00,2025-08-27 05:55:19+02:00,1,1,73.1,73.1,51.08,100.0,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,430.0,0.0
INC-000832,542020041221088+20250828125404+Fiji-Nadi-LTE-DL-D!20250828125334,Fiji-Nadi-LTE-DL-D,2025-08-28 02:51:59+02:00,2025-08-28 02:52:06+02:00,3,6,73.06,69.38,79.28,65.45,0,6,0,radio_limited_degradation,normal,167.0,7.0
INC-000328,542020041221088+20250827133907+Fiji-Nadi-LTE-DL-D!20250827130324,Fiji-Nadi-LTE-DL-D,2025-08-27 03:02:40+02:00,2025-08-27 03:02:45+02:00,1,6,73.0,73.0,81.37,62.77,0,6,0,radio_limited_degradation,normal,127.0,5.0
INC-000466,542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,2025-08-27 04:06:15+02:00,2025-08-27 04:06:20+02:00,1,6,72.9,72.9,86.81,55.89,0,6,0,radio_limited_degradation,normal,125.0,5.0
INC-000920,542020041221088+20250828133816+Fiji-Nadi-LTE-DL-D!20250828132818,Fiji-Nadi-LTE-DL-D,2025-08-28 03:26:36+02:00,2025-08-28 03:26:55+02:00,5,12,72.76,69.324,85.82,62.79,0,12,0,radio_limited_degradation,normal,375.0,19.0
INC-000027,542020041221088+20250827095105+Fiji-Nadi-LTE-DL-D!20250827094821,Fiji-Nadi-LTE-DL-D,2025-08-26 23:46:38+02:00,2025-08-26 23:46:39+02:00,1,2,72.76,72.76,69.8,76.39,0,2,0,radio_limited_degradation,normal,151.0,1.0
INC-000819,542020041221088+20250828125203+Fiji-Nadi-LTE-DL-D!20250828125121,Fiji-Nadi-LTE-DL-D,2025-08-28 02:49:20+02:00,2025-08-28 02:49:28+02:00,2,5,72.7,68.86500000000001,76.08,68.56,0,5,0,ca_underperformance,ml_quantile_p75_resource_underperformance,167.0,8.0
INC-000462,542020041221088+20250827141150+Fiji-Nadi-LTE-DL-D!20250827140658,Fiji-Nadi-LTE-DL-D,2025-08-27 04:05:14+02:00,2025-08-27 04:05:14+02:00,1,1,72.63,72.63,50.24,100.0,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,125.0,0.0
INC-000338,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:05:14+02:00,2025-08-27 03:05:16+02:00,1,3,72.6,72.6,76.06,68.37,0,3,0,rb_conditioned_underperformance,normal,395.0,2.0
INC-000129,542020041221088+20250827110227+Fiji-Nadi-LTE-DL-D!20250827105156,Fiji-Nadi-LTE-DL-D,2025-08-27 00:51:54+02:00,2025-08-27 00:51:56+02:00,1,3,72.56,72.56,64.0,83.02,1,2,0,rb_conditioned_underperformance,normal,210.0,2.0
INC-000336,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,Fiji-Nadi-LTE-DL-D,2025-08-27 03:04:56+02:00,2025-08-27 03:04:57+02:00,1,2,72.36,72.36,80.54,62.36,0,2,0,radio_limited_degradation,normal,395.0,1.0
INC-000932,542020041221088+20250828134116+Fiji-Nadi-LTE-DL-D!20250828133502,Fiji-Nadi-LTE-DL-D,2025-08-28 03:33:52+02:00,2025-08-28 03:33:52+02:00,1,1,72.36,72.36,49.74,100.0,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,253.0,0.0
INC-000111,542020041221088+20250827105427+Fiji-Nadi-LTE-DL-D!20250827104733,Fiji-Nadi-LTE-DL-D,2025-08-27 00:46:49+02:00,2025-08-27 00:46:51+02:00,1,3,72.32,72.32,71.11,73.79,0,3,0,radio_limited_degradation,normal,128.0,2.0
INC-000568,542020041221088+20250827155853+Fiji-Nadi-LTE-DL-D!20250827154409,Fiji-Nadi-LTE-DL-D,2025-08-27 05:42:50+02:00,2025-08-27 05:42:50+02:00,1,1,72.2,72.2,76.1,67.45,0,1,0,ca_underperformance,normal,49.0,0.0
INC-000147,542020041221088+20250827112649+Fiji-Nadi-LTE-DL-D!20250827110516,Fiji-Nadi-LTE-DL-D,2025-08-27 01:03:59+02:00,2025-08-27 01:03:59+02:00,1,1,72.14,72.14,65.21,80.61,0,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,108.0,0.0
INC-000445,542020041221088+20250827140850+Fiji-Nadi-LTE-DL-D!20250827140234,Fiji-Nadi-LTE-DL-D,2025-08-27 04:01:13+02:00,2025-08-27 04:01:13+02:00,1,1,72.05,72.05,67.1,78.11,0,1,0,sudden_drop,normal,124.0,0.0
INC-000274,542020041221088+20250827131624+Fiji-Nadi-LTE-DL-D!20250827121056,Fiji-Nadi-LTE-DL-D,2025-08-27 02:10:32+02:00,2025-08-27 02:10:38+02:00,1,7,72.03,72.03,88.93,51.38,0,7,0,radio_limited_degradation,normal,151.0,6.0
INC-000245,542020041221088+20250827123858+Fiji-Nadi-LTE-DL-D!20250827115524,Fiji-Nadi-LTE-DL-D,2025-08-27 01:54:27+02:00,2025-08-27 01:54:28+02:00,1,2,71.96,71.96,69.11,75.45,0,2,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,156.0,1.0
INC-000451,542020041221088+20250827140850+Fiji-Nadi-LTE-DL-D!20250827140234,Fiji-Nadi-LTE-DL-D,2025-08-27 04:02:29+02:00,2025-08-27 04:02:29+02:00,1,1,71.96,71.96,64.81,80.71,0,1,0,sudden_drop,normal,124.0,0.0
INC-000019,542020041221088+20250827094925+Fiji-Nadi-LTE-DL-D!20250827094611,Fiji-Nadi-LTE-DL-D,2025-08-26 23:45:18+02:00,2025-08-26 23:45:19+02:00,1,2,71.94,71.94,71.25,72.77,0,2,0,rolling_local_drop,normal,151.0,1.0
INC-000644,542020041221088+20250828104547+Fiji-Nadi-LTE-DL-D!20250828104505,Fiji-Nadi-LTE-DL-D,2025-08-28 00:44:54+02:00,2025-08-28 00:44:54+02:00,1,1,71.88,71.88,50.02,98.61,1,0,0,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,312.0,0.0
INC-000247,542020041221088+20250827123858+Fiji-Nadi-LTE-DL-D!20250827115524,Fiji-Nadi-LTE-DL-D,2025-08-27 01:54:43+02:00,2025-08-27 01:54:45+02:00,1,3,71.75,71.75,71.62,71.91,0,3,0,radio_limited_degradation,normal,156.0,2.0
INC-000177,542020041221088+20250827121333+Fiji-Nadi-LTE-DL-D!20250827112914,Fiji-Nadi-LTE-DL-D,2025-08-27 01:28:58+02:00,2025-08-27 01:29:00+02:00,1,3,71.74,71.74,72.63,70.65,0,3,0,radio_limited_degradation,normal,321.0,2.0
INC-000492,542020041221088+20250827151132+Fiji-Nadi-LTE-DL-D!20250827151053,Fiji-Nadi-LTE-DL-D,2025-08-27 05:09:25+02:00,2025-08-27 05:09:27+02:00,1,3,71.63,71.63,63.48,81.6,1,2,0,radio_p75_underperformance,normal,115.0,2.0
INC-000132,542020041221088+20250827110647+Fiji-Nadi-LTE-DL-D!20250827105407,Fiji-Nadi-LTE-DL-D,2025-08-27 00:52:36+02:00,2025-08-27 00:52:36+02:00,1,1,71.57,71.57,71.92,71.15,0,1,0,ca_underperformance,normal,212.0,0.0
INC-000273,542020041221088+20250827131624+Fiji-Nadi-LTE-DL-D!20250827121056,Fiji-Nadi-LTE-DL-D,2025-08-27 02:10:24+02:00,2025-08-27 02:10:27+02:00,1,4,71.54,71.54,80.69,60.37,0,4,0,radio_limited_degradation,normal,363.0,3.0
INC-000761,542020041221088+20250828122802+Fiji-Nadi-LTE-DL-D!20250828122423,Fiji-Nadi-LTE-DL-D,2025-08-28 02:22:40+02:00,2025-08-28 02:22:42+02:00,1,3,71.5,71.5,67.38,76.54,0,3,0,radio_limited_degradation,normal,180.0,2.0
INC-000223,542020041221088+20250827123337+Fiji-Nadi-LTE-DL-D!20250827114216,Fiji-Nadi-LTE-DL-D,2025-08-27 01:42:02+02:00,2025-08-27 01:42:07+02:00,1,6,71.36,71.36,85.07,54.6,0,6,0,radio_limited_degradation,normal,363.0,5.0
INC-000509,542020041221088+20250827151332+Fiji-Nadi-LTE-DL-D!20250827151309,Fiji-Nadi-LTE-DL-D,2025-08-27 05:12:46+02:00,2025-08-27 05:12:47+02:00,1,2,71.3,71.3,72.34,70.03,0,2,0,radio_limited_degradation,normal,115.0,1.0
INC-001001,542020041221088+20250828141618+Fiji-Nadi-LTE-DL-D!20250828141538,Fiji-Nadi-LTE-DL-D,2025-08-28 04:13:37+02:00,2025-08-28 04:13:38+02:00,1,2,71.28,71.28,57.93,87.58,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,179.0,1.0
