column,dtype,used_by_any_model,models_using_column,decision,exclusion_reason,target_or_post_anomaly_pattern_flag,non_null_pct,unique_values
LTE - SecondaryCell 1 - SCell1_TransMode,str,False,,NOT_USED,not selected for any model objective,False,38.83495145631068,2
LTE - Serving - R15_Support,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
LTE - SecondaryCell 1 Radio - SCell1_RSRP,float64,False,,NOT_USED,not selected for any model objective,False,38.83495145631068,160
LTE - SecondaryCell 1 Radio - SCell1_RSRQ,float64,False,,NOT_USED,not selected for any model objective,False,38.83495145631068,160
LTE - SecondaryCell 1 Radio - SCell1_RSSI,float64,False,,NOT_USED,not selected for any model objective,False,38.83495145631068,160
LTE - SecondaryCell 1 Radio - SCell1_SINR,float64,False,,NOT_USED,not selected for any model objective,False,38.83495145631068,160
LTE - SecondaryCell 1 Radio - SCell1_Frame_Timing_0,float64,False,,NOT_USED,not selected for any model objective,False,38.83495145631068,160
LTE - SecondaryCell 1 Radio - SCell1_Frame_Timing_1,float64,False,,NOT_USED,not selected for any model objective,False,38.83495145631068,160
LTE - SecondaryCell 1 Radio - SCell1_eNBTxDifference,float64,False,,NOT_USED,not selected for any model objective,False,72.57281553398059,299
LTE - SecondaryCell 1 - SCell1_Band,float64,False,,NOT_USED,not selected for any model objective,False,39.80582524271845,164
LTE - SecondaryCell 1 - SCell1_BandWidth_DL,float64,False,,NOT_USED,not selected for any model objective,False,39.80582524271845,164
LTE - SecondaryCell 1 - SCell1_EARFCN_DL,float64,False,,NOT_USED,not selected for any model objective,False,39.80582524271845,164
LTE - SecondaryCell 1 - SCell1_PCI,float64,False,,NOT_USED,not selected for any model objective,False,39.80582524271845,164
Extra_KPIs.UMTS Handover Interruption Time,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
LTE - PrimaryCell - PCell_CQI_CW1,float64,False,,NOT_USED,not selected for any model objective,False,98.54368932038835,406
LTE - PrimaryCell - PCell_MCS_CW1,float64,False,,NOT_USED,not selected for any model objective,False,98.7864077669903,407
LTE - PrimaryCell - PCell_Modulation_CW1,str,False,,NOT_USED,not selected for any model objective,False,98.7864077669903,3
LTE.RACH.RACH_Latency,float64,False,,NOT_USED,not selected for any model objective,False,54.85436893203883,226
LTE.RACH.RACH_Result,str,False,,NOT_USED,not selected for any model objective,False,54.85436893203883,2
LTE.RACH.RACH_Reason,str,False,,NOT_USED,not selected for any model objective,False,54.85436893203883,3
LTE - PrimaryCell - PCell_Rank1Usage,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_Rank2Usage,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_Rank3Usage,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_Rank4Usage,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_RxAntNum,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_SpatialRank,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_TxAntNum,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE.LTE_Data_KPI.Agg_Throughput_UL,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,99.27184466019418,409
LTE - PrimaryCell - PCell_CQI,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_CQI_CW0,float64,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,410
LTE - PrimaryCell - PCell_TransMode,str,False,,NOT_USED,not selected for any model objective,False,99.51456310679612,2
LTE - PrimaryCell - PCell_BandWidth_UL,float64,False,,NOT_USED,not selected for any model objective,False,99.27184466019418,409
LTE - PrimaryCell - PCell_EARFCN_UL,float64,False,,NOT_USED,not selected for any model objective,False,99.27184466019418,409
LTE - PrimaryCell - PCell_1024QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_16QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_256QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_64QAMUsage,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_BLER,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_LayerNum,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_MCS_CW0,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
LTE - PrimaryCell - PCell_Modulation_CW0,str,False,,NOT_USED,not selected for any model objective,False,100.0,3
LTE - PrimaryCell - PCell_QPSKUsage,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
