column,dtype,used_by_any_model,models_using_column,decision,exclusion_reason,target_or_post_anomaly_pattern_flag,non_null_pct,unique_values
activity_duration_seconds_from_timestamps,float64,False,,NOT_USED,not selected for any model objective,False,0.48543689320388345,2
has_valid_location,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
prev_lat,float64,False,,NOT_USED,not selected for any model objective,False,99.27184466019418,409
prev_lon,float64,False,,NOT_USED,not selected for any model objective,False,99.27184466019418,409
distance_from_prev_m,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,99.27184466019418,409
latitude,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
longitude,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
speed,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
location_accuracy,float64,True,capability;capability_augmented;capability_pure;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
altitude,float64,True,capability;capability_augmented;capability_pure;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
actual_lte_dl_throughput,float64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,412
serving_pci,float64,True,cell_aware,USED,objective-safe curated feature,False,100.0,412
serving_earfcn,float64,True,capability;capability_augmented;capability_pure;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
serving_band,float64,True,capability;capability_augmented;capability_pure;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
serving_eci,float64,True,cell_aware,USED,objective-safe curated feature,False,99.75728155339806,411
serving_enodebid,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,411
serving_lci,float64,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,411
lte_rsrp,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_rsrq,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_sinr,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_rssi,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_cqi,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,99.51456310679612,410
lte_mcs,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_bler,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_rank,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,99.51456310679612,410
lte_rb_count,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_agg_rb_dl,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_bandwidth_dl,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
lte_agg_bandwidth_dl,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
carrier_count,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
scell1_rsrp,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,38.83495145631068,160
scell1_rsrq,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,38.83495145631068,160
scell1_sinr,float64,True,capability;capability_augmented;capability_pure;cell_aware;lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,38.83495145631068,160
scell1_cqi,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,38.83495145631068,160
scell1_mcs,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,38.349514563106794,158
scell1_bler,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,38.349514563106794,158
scell1_rb_count,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,38.349514563106794,158
rach_latency,float64,False,,NOT_USED,not selected for any model objective,False,54.85436893203883,226
rach_result,str,False,,NOT_USED,not selected for any model objective,False,54.85436893203883,2
rach_reason,str,False,,NOT_USED,not selected for any model objective,False,54.85436893203883,3
has_lte_measurement,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
has_lte_dl_throughput,bool,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
is_download_test,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
download_activity_window_raw_flag,bool,True,capability;capability_augmented;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,2
download_analysis_window_flag,bool,True,capability;capability_augmented;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,2
download_context_label,str,True,capability;capability_augmented;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,3
inactive_download_context_flag,bool,True,capability;capability_augmented;cell_aware;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,2
rsrp_bin,str,True,capability_augmented,USED,objective-safe curated feature,False,100.0,2
rsrq_bin,str,True,capability_augmented,USED,objective-safe curated feature,False,100.0,2
sinr_bin,str,True,capability_augmented,USED,objective-safe curated feature,False,100.0,4
poor_rsrp_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
poor_rsrq_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
poor_sinr_flag,bool,True,capability_augmented,USED,objective-safe curated feature,False,100.0,2
high_bler_flag,bool,True,capability_augmented,USED,objective-safe curated feature,False,100.0,2
low_cqi_flag,bool,True,capability_augmented,USED,objective-safe curated feature,False,100.0,2
low_rb_allocation_flag,bool,True,capability_augmented,USED,objective-safe curated feature,False,100.0,2
neighbor_count,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
best_neighbor_rsrp,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
strong_neighbor_count,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
serving_minus_best_neighbor_rsrp,float64,False,,NOT_USED,not selected for any model objective,False,0.0,0
neighbor_pci_count,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
any_event_count_prev30s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_any_event_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
any_event_count_pm30s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_any_event_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
measurement_report_event_count_prev5s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_measurement_report_event_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
measurement_report_event_count_pm5s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_measurement_report_event_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
handover_execution_count_prev5s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_handover_execution_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
handover_execution_count_pm5s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_handover_execution_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
handover_failure_count_prev10s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_handover_failure_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
handover_failure_count_pm10s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_handover_failure_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
rach_attempt_count_prev10s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_rach_attempt_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
rach_attempt_count_pm10s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_rach_attempt_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
rach_failure_count_prev10s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_rach_failure_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
rach_failure_count_pm10s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_rach_failure_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
ca_activation_change_count_prev10s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_ca_activation_change_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
ca_activation_change_count_pm10s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_ca_activation_change_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
failure_other_count_prev10s,int64,False,,NOT_USED,not selected for any model objective,False,100.0,1
near_failure_other_prev_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
failure_other_count_pm10s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_failure_other_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
handover_mobility_count_pm5s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_handover_mobility_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
ca_change_count_pm10s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_ca_change_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
rach_count_pm10s,int64,False,,NOT_USED,target/throughput/post-anomaly name guard,True,100.0,1
near_rach_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
rach_failure_direct_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,2
ca_condition_label,str,False,,NOT_USED,not selected for any model objective,False,100.0,1
rb_usage_evidence_reliable_flag,bool,False,,NOT_USED,not selected for any model objective,False,100.0,1
reliable_rb_columns,str,False,,NOT_USED,not selected for any model objective,False,100.0,1
rb_reference_column,str,False,,NOT_USED,not selected for any model objective,False,100.0,1
rb_usage_value,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
rb_low_usage_threshold,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
rb_medium_usage_threshold,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
rb_high_usage_threshold,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
rb_low_usage_flag,bool,True,resource;temporal_lag,USED,objective-safe curated feature,False,100.0,2
rb_medium_or_high_usage_flag,bool,True,resource;temporal_lag,USED,objective-safe curated feature,False,100.0,2
rb_high_usage_flag,bool,True,resource;temporal_lag,USED,objective-safe curated feature,False,100.0,2
rb_usage_bucket,str,True,resource;temporal_lag,USED,objective-safe curated feature,False,100.0,4
rb_demand_confidence,str,False,,NOT_USED,not selected for any model objective,False,100.0,4
estimated_available_rb,float64,True,resource;temporal_lag,USED,objective-safe curated feature,False,100.0,227
rb_capacity_estimation_method,str,True,resource;temporal_lag,USED,objective-safe curated feature,False,100.0,3
rb_utilization_pct,float64,False,,NOT_USED,not selected for any model objective,False,100.0,412
lte_agg_rb_dl_bin,category,False,,NOT_USED,not selected for any model objective,False,99.75728155339806,6
ml_hour_sin,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_hour_cos,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
rb_utilization_pct_clipped,float64,True,lstm_temporal;resource;temporal_lag,USED,objective-safe curated feature,False,100.0,412
rb_demand_confidence_ml,str,True,resource;temporal_lag,USED,objective-safe curated feature,False,100.0,4
ml_log1p_measurement_report_event_count_prev5s,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_log1p_handover_execution_count_prev5s,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_log1p_handover_failure_count_prev10s,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_log1p_rach_attempt_count_prev10s,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_log1p_rach_failure_count_prev10s,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_log1p_ca_activation_change_count_prev10s,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_log1p_failure_other_count_prev10s,float64,False,,NOT_USED,not selected for any model objective,False,100.0,1
ml_tp_log_lag_1,float64,True,temporal_lag,USED,objective-safe curated feature,False,99.02912621359224,408
ml_tp_log_lag_2,float64,True,temporal_lag,USED,objective-safe curated feature,False,98.05825242718447,404
ml_tp_log_lag_3,float64,True,temporal_lag,USED,objective-safe curated feature,False,97.0873786407767,400
ml_tp_log_lag_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,95.14563106796116,392
ml_tp_log_lag_10,float64,True,temporal_lag,USED,objective-safe curated feature,False,90.29126213592234,372
ml_tp_log_past_median_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,98.05825242718447,224
ml_tp_log_past_mean_10,float64,True,temporal_lag,USED,objective-safe curated feature,False,97.0873786407767,400
ml_tp_log_past_slope_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,95.14563106796116,392
ml_rsrp_lag_1,float64,True,temporal_lag,USED,objective-safe curated feature,False,99.02912621359224,408
ml_rsrp_past_mean_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,98.05825242718447,404
ml_sinr_lag_1,float64,True,temporal_lag,USED,objective-safe curated feature,False,99.02912621359224,408
ml_sinr_past_mean_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,98.05825242718447,404
ml_rb_lag_1,float64,True,temporal_lag,USED,objective-safe curated feature,False,99.02912621359224,408
ml_rb_past_mean_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,98.05825242718447,404
ml_bler_lag_1,float64,True,temporal_lag,USED,objective-safe curated feature,False,99.02912621359224,408
ml_bler_past_mean_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,98.05825242718447,404
ml_cqi_lag_1,float64,True,temporal_lag,USED,objective-safe curated feature,False,98.54368932038835,406
ml_cqi_past_mean_5,float64,True,temporal_lag,USED,objective-safe curated feature,False,97.57281553398059,402
ml_temporal_history_count,int64,True,temporal_lag,USED,objective-safe curated feature,False,100.0,21
