serving_cell_key,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,approx_observation_latitude,approx_observation_longitude,gps_observation_rows,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability,serving_pci,serving_eci,serving_earfcn,serving_band
ECI:1076426.0,94,4,2.183432,0.12251200000000001,4.970889592553191,89.36170212765957,91.48936170212765,52.12765957446809,42.270146,58.0663132,-104.29404199999999,-11.788886999999999,3.88006675,6.0,6.0,3.8684604,21.884668500000004,74.0,0.032549132467532466,-17.610075835,177.46139275000002,94,0.9962825278810409,0.966542750929368,0.9888475836431226,0.895910780669145,0.9553903345724907,0.9944237918215614,0.26394052044609667,0.9888475836431226,0.8141263940520446,0.8438661710037175,89.35,cell_key,2,99.63,True,MEDIUM,375.0,1076426.0,500.0,1.0
ECI:1071647.0,85,5,4.661624,0.27385760000000003,6.288916972941177,78.82352941176471,78.82352941176471,37.64705882352941,26.523032250000004,52.64792310000001,-102.95786,-10.908334,6.102128,6.0,11.0,7.7380953,14.038951400000004,67.0,0.06882628571428571,-17.8130051,177.4349241,85,0.9776951672862454,0.9368029739776952,0.9702602230483272,0.7434944237918215,0.9553903345724907,0.9330855018587361,0.5799256505576208,0.9033457249070632,0.6728624535315985,0.8029739776951673,88.27,cell_key,4,98.88,True,MEDIUM,395.0,1071647.0,1850.0,3.0
ECI:1069077.0,56,5,5.078936000000001,0.930688,11.178797839285716,60.71428571428571,66.07142857142857,42.857142857142854,10.592109499999996,29.112543999999996,-113.1402,-10.7055085,5.0736013,7.0,9.5,8.5612485,14.996135,75.5,0.06491430252100841,-17.7961861,177.398147595,56,0.9702602230483272,0.8847583643122676,0.9479553903345725,0.4349442379182156,0.8736059479553904,0.966542750929368,0.7434944237918215,0.9405204460966543,0.6282527881040892,0.9925650557620818,85.59,cell_key,7,97.77,True,MEDIUM,140.0,1069077.0,500.0,1.0
ECI:1073736.0,82,4,4.909248,0.7377023999999999,6.641640070731707,80.48780487804879,84.14634146341463,57.3170731707317,6.374488000000001,19.442858800000003,-104.66077999999999,-11.594877499999999,5.622657650000001,6.0,11.0,7.980496499999999,17.2050814,73.0,0.06236070535714286,-17.79672137,177.4070937,82,0.9739776951672863,0.895910780669145,0.9776951672862454,0.3159851301115242,0.9553903345724907,0.9330855018587361,0.6133828996282528,0.9182156133828996,0.7955390334572491,0.8513011152416357,84.52,cell_key,9,97.03,True,MEDIUM,363.0,1073736.0,9310.0,28.0
ECI:1065032.0,66,4,4.249308,0.009104000000000001,5.779770818181818,77.27272727272727,77.27272727272727,37.878787878787875,5.086268000000001,16.6612,-101.944927,-11.2481775,5.0725715000000005,6.0,10.0,7.0453738999999995,15.620519999999999,71.5,0.06408452631578947,-17.8128907,177.4432632,66,0.9814126394052045,0.9962825278810409,0.966542750929368,0.275092936802974,0.9553903345724907,0.9535315985130112,0.5427509293680297,0.9442379182156134,0.7174721189591078,0.7695167286245354,84.49,cell_key,10,96.65,True,MEDIUM,469.0,1065032.0,9310.0,28.0
ECI:1069126.0,124,5,7.11704,2.0053848,9.457514277419355,69.35483870967742,72.58064516129032,59.67741935483871,2.4886200000000005,13.2359452,-114.09296499999999,-11.481731,4.088952,6.0,10.0,8.7301335,17.7500952,86.0,0.08247973462681896,-17.788411834999998,177.393696205,124,0.9553903345724907,0.8252788104089219,0.9591078066914498,0.1970260223048327,0.9553903345724907,0.9535315985130112,0.79182156133829,0.9851301115241635,0.7769516728624535,0.9962825278810409,84.34,cell_key,11,96.28,True,HIGH,138.0,1069126.0,9310.0,28.0
ECI:1069086.0,106,4,9.039972,1.71634,11.565416273584905,54.71698113207547,57.54716981132076,46.22641509433962,3.501080000000001,16.839323999999998,-112.253505,-11.27045725,4.1204877,7.0,9.0,8.843848000000001,11.8816685,86.0,0.11144181052631577,-17.78594489,177.392151355,106,0.9405204460966543,0.8401486988847584,0.9330855018587361,0.23048327137546468,0.8736059479553904,0.9739776951672863,0.8215613382899628,0.9814126394052045,0.7211895910780669,0.9888475836431226,83.52,cell_key,12,95.91,True,HIGH,138.0,1069086.0,1850.0,3.0
ECI:1079062.0,50,2,12.715484,6.49992,14.754253949999999,32.0,38.0,24.0,50.47035425,72.5671364,-95.866263,-10.817622,8.508994000000001,7.0,15.0,8.843197,12.713922150000002,68.0,0.22776979487179488,-17.62309449,177.4416759,50,0.9107806691449815,0.620817843866171,0.8308550185873605,0.9479553903345725,0.8736059479553904,0.775092936802974,0.8141263940520446,0.7881040892193308,0.6394052044609665,0.49814126394052044,81.86,cell_key,14,95.17,True,MEDIUM,169.0,1079062.0,500.0,1.0
ECI:1066301.0,76,3,11.299451999999999,1.31406,14.57715090394737,46.05263157894737,55.26315789473685,38.15789473684211,19.344348999999998,45.8334615,-109.494575,-11.606956,6.695426299999999,8.0,14.0,7.39588285,12.7651495,85.5,0.13060014285714286,-17.74196125,177.44329077,76,0.9330855018587361,0.8661710037174721,0.9256505576208178,0.5910780669144982,0.7397769516728625,0.8345724907063197,0.5576208178438662,0.8884758364312267,0.7992565055762082,0.9628252788104089,81.77,cell_key,16,94.42,True,MEDIUM,487.0,1066301.0,40790.0,41.0
ECI:1079243.0,78,3,6.8998158499999995,3.4219704,7.478228393589744,80.76923076923077,83.33333333333334,62.82051282051282,3.850863999999999,9.867742395,-99.68152,-10.56504775,8.23281,7.0,15.5,13.5322545,23.5750618,16.0,0.36718079365079365,-17.610821015,177.44140592000002,78,0.9591078066914498,0.758364312267658,0.9739776951672863,0.241635687732342,0.8736059479553904,0.7453531598513011,0.9962825278810409,0.8104089219330854,0.587360594795539,0.6877323420074349,81.41,cell_key,17,94.05,True,MEDIUM,383.0,1079243.0,356.0,1.0
