incident_id,session_id,start_time,end_time,serving_cell_key,serving_pci,serving_eci,latitude,longitude,location_reliability,location_uncertainty_radius_m,detection_case,dominant_statistical_type,dominant_ml_type,coverage_or_planning_review,peak_row_priority_0_100,episode_adjusted_priority_0_100,incident_final_priority_0_100,priority_score_0_100,impact_score_0_100,detection_confidence_0_100,persistence_score_0_100,severity,requires_human_review,lte_rank,mimo_layer_utilization_pct,mimo_throughput_gain_pct,serving_minus_best_neighbor_rsrp,near_handover_mobility_flag,handover_mobility_count_pm5s,ho_dwell_time_s,ue_speed_kmh,near_rach_failure_flag,rach_attempt_count,rach_access_delay_ms,rach_failure_rate_pct,rach_reason,cell_prb_utilization_pct,neighbor_cell_availability
INC-000547,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,2025-08-27 03:41:08+02:00,2025-08-27 03:41:35+02:00,ECI:1069373.0,135.0,1069373.0,-17.77280915,177.4072055,MEDIUM,125.62903965276466,ca_underperformance,radio_limited_degradation,normal,True,94.1,83.38,78.41,78.41,72.2,85.99,53.0,High,False,2.0,95.0,95.0,14.439375500000011,False,0.0,60.5,8.504627704620361,False,0.0,4.0,,Handover,20.5,100.0
INC-000840,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,2025-08-28 00:49:04+02:00,2025-08-28 00:49:04+02:00,ECI:1078590.0,163.0,1078590.0,-17.6488558,177.4435416,LOW,0.0,ca_underperformance,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,False,96.95,87.02,78.33,78.33,60.6,100.0,13.17,High,False,2.0,95.0,95.0,9.922815999999997,False,0.0,56.0,3.990217924118042,False,0.0,4.0,,Handover,72.0,100.0
INC-000476,542020041221088+20250827134427+Fiji-Nadi-LTE-DL-D!20250827131213,2025-08-27 03:10:11+02:00,2025-08-27 03:10:11+02:00,ECI:1067153.0,131.0,1067153.0,-17.77721003,177.43119349,LOW,0.0,ca_underperformance,ca_underperformance,ml_quantile_p75_resource_underperformance,False,95.08,85.62,77.27,77.27,58.68,100.0,13.17,High,False,,,,5.131249999999994,True,2.0,0.0,19.331999,False,5.0,4.0,0.0,Handover,72.0,100.0
INC-000442,542020041221088+20250827133907+Fiji-Nadi-LTE-DL-D!20250827130324,2025-08-27 03:01:56+02:00,2025-08-27 03:01:56+02:00,ECI:1065506.0,322.0,1065506.0,-17.78942887,177.42703991,LOW,0.0,radio_limited_degradation,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,True,91.57,82.99,75.3,75.3,55.09,100.0,13.17,High,False,2.0,96.0,96.0,12.529790000000006,False,0.0,7.0,34.739998,False,5.0,4.0,0.0,Handover,75.5,100.0
INC-000662,542020041221088+20250827151552+Fiji-Nadi-LTE-DL-D!20250827151524,2025-08-27 05:14:38+02:00,2025-08-27 05:14:38+02:00,ECI:1066294.0,50.0,1066294.0,-17.7477968,177.4522131,LOW,0.0,radio_limited_degradation,rb_efficiency_underperformance,ml_quantile_p75_resource_underperformance,True,91.25,82.75,75.12,75.12,54.76,100.0,13.17,High,False,1.0,25.714286285714316,25.714286285714326,10.11120000000001,False,0.0,22.0,12.110092163085938,False,0.0,3.0,,Handover,74.0,100.0
INC-000667,542020041221088+20250827151812+Fiji-Nadi-LTE-DL-D!20250827151738,2025-08-27 05:15:56+02:00,2025-08-27 05:16:10+02:00,ECI:1068575.0,122.0,1068575.0,-17.7467973,177.4454745,MEDIUM,52.5598228184533,radio_limited_degradation,radio_limited_degradation,normal,True,94.43,78.74,73.81,73.81,70.24,78.18,45.5,High,False,2.0,83.33333433333331,83.33333433333333,20.596466000000007,False,0.0,27.0,8.65987777709961,False,0.0,,,,26.0,100.0
INC-000345,542020041221088+20250827124539+Fiji-Nadi-LTE-DL-D!20250827120159,2025-08-27 02:00:44+02:00,2025-08-27 02:00:44+02:00,ECI:3623958.0,155.0,3623958.0,-17.77345692,177.38093898,LOW,0.0,temporal_local_drop,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,False,87.93,80.26,73.26,73.26,51.38,100.0,13.17,High,False,2.0,95.83333360416665,95.83333360416664,2.892949999999999,True,2.0,2.0,9.7560005,False,5.0,5.0,0.0,Handover,52.0,100.0
INC-000458,542020041221088+20250827134107+Fiji-Nadi-LTE-DL-D!20250827130537,2025-08-27 03:05:14+02:00,2025-08-27 03:05:16+02:00,ECI:1072704.0,395.0,1072704.0,-17.78093346,177.43333434,LOW,11.548507385514853,temporal_local_drop,rb_conditioned_underperformance,normal,False,86.74,80.73,72.1,72.1,63.35,82.8,26.17,High,False,1.0,55.0,55.00000000000001,16.560051,False,0.0,40.0,22.896,False,0.0,4.0,,Handover,15.0,100.0
INC-001110,542020041221088+20250828130244+Fiji-Nadi-LTE-DL-D!20250828130228,2025-08-28 03:02:23+02:00,2025-08-28 03:02:23+02:00,ECI:1077780.0,165.0,1077780.0,-17.63074257,177.45460326,LOW,0.0,temporal_local_drop,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,False,84.34,77.56,71.23,71.23,47.69,100.0,13.17,High,False,2.0,2.5,2.499999999999991,0.9196400000000011,True,4.0,1.0,41.616,False,10.0,4.0,0.0,Handover,65.0,100.0
INC-001334,542020041221088+20250828144319+Fiji-Nadi-LTE-DL-D!20250828144243,2025-08-28 04:42:29+02:00,2025-08-28 04:42:29+02:00,ECI:1081652.0,356.0,1081652.0,-17.6341994,177.4288984,LOW,0.0,rb_conditioned_expected_underperformance,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,False,77.53,72.46,67.19,67.19,46.72,92.19,13.17,High,False,2.0,88.82352911176473,88.82352911176471,6.876964999999998,True,2.0,4.0,11.782543182373049,False,10.0,4.0,0.0,Handover,75.5,100.0
INC-000328,542020041221088+20250827123738+Fiji-Nadi-LTE-DL-D!20250827115101,2025-08-27 01:49:12+02:00,2025-08-27 01:49:12+02:00,ECI:1066816.0,157.0,1066816.0,-17.7736596,177.3745738,LOW,0.0,temporal_sudden_drop,sudden_drop,ml_hgb_strict_causal_temporal_underperformance,False,76.25,71.5,66.64,66.64,40.72,98.3,13.17,High,False,2.0,100.0,100.0,-9.772565,False,0.0,0.0,2.655512809753418,False,11.0,4.0,0.0,Radio link Failure,94.5,100.0
INC-000327,542020041221088+20250827123738+Fiji-Nadi-LTE-DL-D!20250827115101,2025-08-27 01:49:05+02:00,2025-08-27 01:49:05+02:00,ECI:1066772.0,157.0,1066772.0,-17.7739675,177.3746823,LOW,0.0,rb_conditioned_expected_underperformance,rb_conditioned_underperformance,ml_hgb_strict_causal_temporal_underperformance,False,75.4,70.86,66.2,66.2,38.84,99.63,13.17,High,False,2.0,93.92857093928572,93.9285709392857,-0.2199549999999988,True,2.0,1.0,5.269598007202148,False,11.0,4.0,0.0,Handover,94.5,100.0
INC-000528,542020041221088+20250827135549+Fiji-Nadi-LTE-DL-D!20250827133724,2025-08-27 03:35:59+02:00,2025-08-27 03:35:59+02:00,ECI:1065524.0,361.0,1065524.0,-17.7868262,177.4249847,LOW,0.0,rb_conditioned_expected_underperformance,rb_conditioned_underperformance,ml_hgb_strict_causal_temporal_underperformance,False,71.85,68.2,64.02,64.02,39.92,93.48,13.17,Medium,False,2.0,64.04762,64.04762,2.6026860000000056,True,4.0,0.0,12.320135116577148,False,10.0,4.0,0.0,Handover,84.5,100.0
INC-000823,542020041221088+20250828104547+Fiji-Nadi-LTE-DL-D!20250828104505,2025-08-28 00:44:54+02:00,2025-08-28 00:44:56+02:00,ECI:3643082.0,312.0,3643082.0,-17.635430675000002,177.431039365,LOW,19.081676155489248,temporal_sudden_drop,rb_conditioned_underperformance,ml_quantile_p75_resource_underperformance,False,78.5,64.75,56.94,56.94,41.15,76.24,14.67,Medium,False,2.0,89.5,89.5,-13.599742999999997,True,4.0,18.0,30.331685028076173,False,10.0,5.0,0.0,Handover,135.66666666666669,100.0
INC-000415,542020041221088+20250827132825+Fiji-Nadi-LTE-DL-D!20250827122826,2025-08-27 02:27:40+02:00,2025-08-27 02:27:41+02:00,ECI:1064759.0,149.0,1064759.0,-17.8070401,177.4181157,LOW,0.0,radio_condition_expected_underperformance,radio_p75_underperformance,normal,False,65.28,53.09,43.82,43.82,42.1,45.92,19.67,Medium,False,2.0,99.61538460307693,99.61538460307692,7.0199619999999925,False,0.0,66.5,1.8338580098377875e-14,False,0.0,,,,79.0,100.0
