serving_pci,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,approx_observation_latitude,approx_observation_longitude,gps_observation_rows,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability
332.0,44,3,8.264196,2.6315472,9.9654725,54.54545454545454,77.27272727272727,72.72727272727273,28.394825999999995,38.513423599999996,-109.459125,-12.627267,3.02839055,6.0,9.0,8.5575615,13.8532472,132.0,0.07832616225749559,-17.81499435,177.437926595,44,0.9726027397260274,0.8013698630136986,0.9863013698630136,0.8082191780821918,0.9691780821917808,0.9897260273972602,0.773972602739726,0.9931506849315068,0.8698630136986302,0.9794520547945206,91.58,pci_only_reuse_caution,1,100.0,True,LOW
385.0,171,8,11.54624,4.207,13.037600672514621,42.10526315789473,59.64912280701754,55.55555555555556,34.338455,75.8942945,-92.91484,-11.323052,8.17647,7.0,9.0,9.259259,15.127389,116.0,0.10293144751381215,-17.62706325,177.4437909,171,0.9452054794520548,0.7465753424657534,0.958904109589041,0.8904109589041096,0.9006849315068494,0.9897260273972602,0.863013698630137,0.8424657534246576,0.7534246575342466,0.4041095890410959,88.39,pci_only_reuse_caution,2,99.32,True,HIGH
169.0,135,6,11.542288,3.9694432,13.034012080740741,41.48148148148148,52.59259259259259,45.18518518518518,31.782606,69.62107479999999,-96.767044,-11.320139,7.274156,7.0,12.0,8.410705,13.096720400000006,89.0,0.13127813496932517,-17.6213726,177.4413644,135,0.952054794520548,0.7602739726027398,0.9452054794520548,0.863013698630137,0.9006849315068494,0.958904109589041,0.7397260273972602,0.8767123287671232,0.7465753424657534,0.5753424657534246,87.32,pci_only_reuse_caution,3,98.63,True,HIGH
138.0,228,5,7.926212,2.0999008000000003,10.109220668421052,63.1578947368421,66.22807017543859,53.94736842105263,2.8093019999999997,14.685383200000004,-112.4380175,-11.3499275,4.0968692,6.0,10.0,8.83034,16.782061100000007,86.0,0.09184738455333737,-17.786421165,177.39252763000002,228,0.9794520547945206,0.8287671232876712,0.9726027397260274,0.18493150684931506,0.9691780821917808,0.9794520547945206,0.815068493150685,0.9863013698630136,0.7602739726027398,1.0,85.56,pci_only_reuse_caution,4,97.95,True,HIGH
375.0,226,8,4.155692,0.58682,6.239936799557523,76.54867256637168,77.43362831858407,42.92035398230089,28.31462375,43.968185999999996,-102.2606625,-11.107651,5.3736944,6.0,4.0,0.0,25.0,76.0,0.0565277033957034,-17.609842295,177.46181395,226,1.0,0.9452054794520548,0.9931506849315068,0.8013698630136986,0.9691780821917808,1.0,0.00684931506849315,0.958904109589041,0.7054794520547946,0.821917808219178,85.25,pci_only_reuse_caution,5,97.26,True,HIGH
231.0,218,8,14.611088,5.629851200000001,22.056388793119268,34.403669724770644,38.99082568807339,25.229357798165136,48.81268700000001,84.83153275000001,-93.762145,-11.115575,9.7378495,8.0,15.0,10.1308585,11.9849289,50.5,0.3046815897435897,-17.62475493,177.45530425,218,0.9315068493150684,0.6438356164383562,0.9041095890410958,0.9726027397260274,0.75,0.821917808219178,0.9178082191780822,0.7397260273972602,0.7123287671232876,0.4520547945205479,83.94,pci_only_reuse_caution,6,96.58,True,HIGH
320.0,38,5,12.865132,2.7856488,19.01032692105263,42.10526315789473,44.73684210526316,39.473684210526315,25.236690499999995,72.36998085000013,-101.518697,-10.919908,6.30715615,8.0,12.0,7.7919592,17.3670471,78.0,0.17285548412698415,-17.67679775,177.4003214,38,0.9383561643835616,0.7945205479452054,0.9315068493150684,0.7397260273972602,0.75,0.958904109589041,0.5684931506849316,0.8972602739726028,0.6712328767123288,0.7876712328767124,83.0,pci_only_reuse_caution,7,95.89,True,LOW
383.0,162,8,9.90342,4.50212,19.143439617283953,50.617283950617285,56.79012345679012,46.2962962962963,6.9838218749999985,37.80562135,-98.509015,-11.6485855,6.5668242,7.0,13.5,9.5139705,22.6299761,82.5,0.2493107634751773,-17.612349950000002,177.447119575,162,0.958904109589041,0.7191780821917808,0.952054794520548,0.3150684931506849,0.9006849315068494,0.8904109589041096,0.8835616438356164,0.8835616438356164,0.7945205479452054,0.6301369863013698,82.84,pci_only_reuse_caution,8,95.21,True,HIGH
363.0,175,5,7.044,1.8145136000000002,12.128906687977143,62.857142857142854,67.42857142857143,49.142857142857146,7.837288000000001,38.79663839999999,-107.950195,-11.424831,5.7383566,7.0,13.0,6.10687,14.387521799999996,84.0,0.08759280898876404,-17.7967214,177.40709416,175,0.9863013698630136,0.8561643835616438,0.9794520547945206,0.363013698630137,0.9006849315068494,0.9143835616438356,0.4315068493150685,0.9246575342465754,0.7671232876712328,0.958904109589041,82.47,pci_only_reuse_caution,9,94.52,True,HIGH
170.0,34,3,16.6481565,6.3342824,18.000549044117648,17.647058823529413,44.11764705882353,44.11764705882353,43.9178305,69.1156572,-83.718075,-11.0559255,6.0040437,7.0,12.0,6.548133,12.680061,117.5,0.15545288275193797,-17.628009675,177.448639875,34,0.8972602739726028,0.589041095890411,0.9246575342465754,0.9383561643835616,0.9006849315068494,0.958904109589041,0.4863013698630137,0.9178082191780822,0.684931506849315,0.1095890410958904,80.91,pci_only_reuse_caution,10,93.84,True,LOW
