serving_cell_key,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,approx_observation_latitude,approx_observation_longitude,gps_observation_rows,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability,serving_pci,serving_eci,serving_earfcn,serving_band
ECI:1079182.0,35,2,7.275304,1.9645216000000003,8.944258314285713,71.42857142857143,91.42857142857143,74.28571428571429,37.18017275,57.54107890000001,-102.256165,-12.995146,4.2440844,8.0,6.0,9.259259,15.2490266,125.0,0.06322966666666667,-17.6218028,177.4439558,35,0.9516728624535316,0.828996282527881,0.9851301115241635,0.8661710037174721,0.7397769516728625,0.9944237918215614,0.8680297397769516,0.9776951672862454,0.9256505576208178,0.7806691449814126,90.37,cell_key,1,100.0,True,LOW,385.0,1079182.0,41186.0,41.0
ECI:1079185.0,45,3,14.514736,2.3128832000000004,16.474503955555555,40.0,66.66666666666666,66.66666666666666,35.946498500000004,47.904123850000005,-94.31117,-11.8125,5.2586203,5.0,7.0,9.311225,13.222516200000003,160.0,0.08725559776536314,-17.6284676,177.4424554,45,0.8847583643122676,0.8104089219330854,0.9516728624535316,0.8513011152416357,0.9944237918215614,0.9851301115241635,0.8773234200743495,0.9330855018587361,0.8252788104089219,0.4200743494423792,89.07,cell_key,3,99.26,True,LOW,385.0,1079185.0,41384.0,41.0
ECI:1070100.0,30,2,11.794504,4.3389384,12.675429,40.0,63.33333333333333,60.0,30.100969999999997,37.7580188,-110.37927,-12.421503000000001,3.21160725,6.5,8.5,8.448897500000001,13.9292643,142.0,0.08044163996265172,-17.81503806,177.43815438500002,30,0.9256505576208178,0.7137546468401487,0.9442379182156134,0.7769516728624535,0.9219330855018587,0.9814126394052045,0.7100371747211895,0.9962825278810409,0.8884758364312267,0.9776951672862454,87.41,cell_key,5,98.51,True,LOW,332.0,1070100.0,500.0,1.0
ECI:1076531.0,42,2,1.980864,0.4806224,3.33078269,95.23809523809523,97.61904761904762,30.952380952380953,29.8041635,39.44847754999999,-109.373722,-11.571812,6.1764185000000005,8.0,11.0,6.095672,11.849871349999997,49.0,0.04870266666666666,-17.607605550000002,177.456903555,42,1.0,0.9219330855018587,1.0,0.7732342007434945,0.7397769516728625,0.9330855018587361,0.4684014869888476,0.8996282527881041,0.79182156133829,0.9591078066914498,86.83,cell_key,6,98.14,True,LOW,182.0,1076531.0,41186.0,41.0
ECI:1071687.0,36,2,2.593712,1.040292,3.241342,97.22222222222221,97.22222222222221,47.22222222222222,6.438752000000001,23.215560250000003,-105.4667675,-11.45408475,4.98604895,6.0,9.0,7.9009464000000005,13.269142500000001,58.0,0.04298717678812415,-17.81277674,177.43474368,36,0.9888475836431226,0.8773234200743495,0.9925650557620818,0.31970260223048325,0.9553903345724907,0.9739776951672863,0.6022304832713755,0.9516728624535316,0.7732342007434945,0.862453531598513,85.25,cell_key,8,97.4,True,LOW,395.0,1071687.0,9310.0,28.0
ECI:1068749.0,45,2,12.298896,0.0122224,10.099310966666668,42.22222222222222,42.22222222222222,24.444444444444443,0.0,13.785716800000001,-99.8206,-12.263672,4.5058827,6.0,13.0,9.302325,18.629729200000003,45.0,0.27416995555555557,-17.7637151,177.4409221,45,0.9182156133828996,0.9888475836431226,0.8698884758364313,0.11895910780669144,0.9553903345724907,0.8773234200743495,0.8736059479553904,0.9702602230483272,0.8698884758364313,0.6951672862453532,83.32,cell_key,13,95.54,True,LOW,402.0,1068749.0,356.0,1.0
ECI:1066039.0,31,4,12.571728,1.789168,30.84557904516129,41.935483870967744,51.61290322580645,45.16129032258064,14.483108000000001,37.724410000000006,-107.3167,-13.079044,3.0320985,8.0,10.0,6.8578553,16.516129,139.0,0.09483666666666667,-17.7637315,177.44088946,31,0.9144981412639405,0.8364312267657993,0.912639405204461,0.5130111524163569,0.7397769516728625,0.9535315985130112,0.5315985130111525,1.0,0.9330855018587361,0.9070631970260223,81.78,cell_key,15,94.8,True,LOW,125.0,1066039.0,41384.0,41.0
ECI:1076796.0,40,4,2.215852,0.0153872,3.3938037967500003,95.0,97.5,35.0,20.775616999999997,44.987931200000006,-108.296435,-11.05546875,8.1294705,8.0,6.5,2.5651253499999997,11.533973200000002,57.0,0.035005140543666866,-17.604341894999997,177.45866215,40,0.9925650557620818,0.9851301115241635,0.9962825278810409,0.6171003717472119,0.7397769516728625,0.9888475836431226,0.040892193308550186,0.8178438661710037,0.6951672862453532,0.9256505576208178,81.01,cell_key,18,93.68,True,LOW,184.0,1076796.0,40790.0,41.0
ECI:1067296.0,40,4,13.71842375,1.0832560000000002,24.1217481625,40.0,50.0,40.0,13.031754125000003,38.025445500000004,-106.9515725,-11.664538,6.2618382,7.5,11.5,7.2996111,13.040142600000001,96.5,0.11009076169131929,-17.7648789,177.46509358,40,0.8921933085501859,0.8736059479553904,0.9070631970260223,0.48698884758364314,0.8234200743494424,0.9219330855018587,0.550185873605948,0.895910780669145,0.8029739776951673,0.8996282527881041,80.95,cell_key,19,93.31,True,LOW,110.0,1067296.0,1850.0,3.0
ECI:1065503.0,31,3,17.551687,0.351496,17.91564472580645,41.935483870967744,45.16129032258064,12.903225806451612,10.511985500000002,27.64540025,-105.637115,-11.864583,4.6892858,6.0,11.0,6.225374,10.26694,86.0,0.16860224390243903,-17.793579,177.4222547,31,0.828996282527881,0.9330855018587361,0.895910780669145,0.4312267657992565,0.9553903345724907,0.9330855018587361,0.4795539033457249,0.966542750929368,0.8364312267657993,0.8698884758364313,80.58,cell_key,20,92.94,True,LOW,132.0,1065503.0,1850.0,3.0
