final_episode_id,id,route_label,start_time,end_time,rows,latitude_start,longitude_start,latitude_end,longitude_end,primary_serving_pci,primary_earfcn,primary_band,min_actual_tp,median_actual_tp,max_expected_tp,max_expected_gap,min_actual_expected_ratio,max_row_priority,mean_row_priority,max_row_impact,mean_row_impact,max_row_confidence,mean_row_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,fusion_source_mode,duration_seconds,distance_affected_m,agreement_pct,episode_impact_score_0_100,episode_detection_confidence_0_100,episode_final_priority_0_100,episode_impact_severity,episode_detection_confidence,underperform_vs_p75_flag_rows,underperform_vs_rb_p75_flag_rows,low_rb_efficiency_high_rb_flag_rows,ca_underperformance_flag_rows,ml_q75_resource_underperformance_flag_rows,ml_hgb_resource_underperformance_flag_rows,ml_hgb_temporal_underperformance_flag_rows,near_handover_execution_flag_rows,near_handover_failure_flag_rows,near_rach_failure_flag_rows,near_ca_activation_change_flag_rows,strong_direct_evidence_rows,final_episode_handoff_flag,episode_priority_severity
LTE-TP-EP-001113,542020041221088+20250828105007+Fiji-Nadi-LTE-DL-D!20250828104930,Fiji-Nadi-LTE-DL-D,2025-08-28 00:49:04+02:00,2025-08-28 00:49:04+02:00,1,-17.6488558,177.4435416,-17.6488558,177.4435416,163.0,40790.0,41.0,3.176696,3.176696,118.44779,115.27109399999999,0.026819377550226984,96.95,96.95,94.46,94.46,100.0,100.0,1,0,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,4.219640956944973,100.0,75.18,100.0,86.35,High,Very High,1,1,1,1,1,1,1,0,0,0,0,7,True,Critical
LTE-TP-EP-000689,542020041221088+20250827135949+Fiji-Nadi-LTE-DL-D!20250827134144,Fiji-Nadi-LTE-DL-D,2025-08-27 03:39:42+02:00,2025-08-27 03:39:42+02:00,1,-17.778136,177.4101496,-17.778136,177.4101496,137.0,40790.0,41.0,5.130352,5.130352,138.2563025,133.12595050000002,0.03710754524192487,95.28,95.28,91.42,91.42,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,,100.0,72.9,100.0,85.1,High,Very High,1,1,1,1,1,1,1,0,0,0,0,7,True,Critical
LTE-TP-EP-000600,542020041221088+20250827134427+Fiji-Nadi-LTE-DL-D!20250827131213,Fiji-Nadi-LTE-DL-D,2025-08-27 03:10:11+02:00,2025-08-27 03:10:11+02:00,1,-17.77721003,177.43119349,-17.77721003,177.43119349,131.0,1850.0,3.0,5.327192,5.327192,135.5693,130.242108,0.03929497312444632,95.08,95.08,91.05,91.05,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,,100.0,72.62,100.0,84.94,High,Very High,1,1,1,1,1,1,1,0,0,0,0,7,True,High
LTE-TP-EP-001405,542020041221088+20250828123823+Fiji-Nadi-LTE-DL-D!20250828123754,Fiji-Nadi-LTE-DL-D,2025-08-28 02:37:35+02:00,2025-08-28 02:37:36+02:00,2,-17.631383,177.4424822,-17.6314479,177.4424856,313.0,41384.0,41.0,0.066992,2.325412,121.45585415276645,116.87202215276645,0.0008458220404921885,96.51,91.83000000000001,99.55,96.6,100.0,86.0,1,1,0,ca_underperformance,ml_severe_quantile_p75_resource_underperformance,statistical_and_ml_consensus,1.0,15.253897348275427,50.0,81.28,89.0,84.75,Critical,Very High,1,1,1,1,1,1,1,0,0,0,0,7,True,High
LTE-TP-EP-000303,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:31+02:00,2025-08-27 01:30:31+02:00,1,-17.77260188,177.42392483,-17.77260188,177.42392483,394.0,41384.0,41.0,5.597328,5.597328,105.95971,100.362382,0.052825059638234195,94.46,94.46,89.92,89.92,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,14.05838502117432,100.0,71.78,100.0,84.48,High,Very High,1,1,1,1,1,0,1,0,0,0,0,6,True,High
LTE-TP-EP-000305,542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,Fiji-Nadi-LTE-DL-D,2025-08-27 01:30:49+02:00,2025-08-27 01:30:49+02:00,1,-17.77088008,177.42557419,-17.77088008,177.42557419,394.0,41384.0,41.0,6.348176,6.348176,121.14346,114.79528400000001,0.05240213545163725,93.96,93.96,89.01,89.01,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,0.10764693217057957,100.0,71.09,100.0,84.1,High,Very High,1,1,1,1,1,1,1,0,0,0,0,7,True,High
LTE-TP-EP-001832,542020041221088+20250828141838+Fiji-Nadi-LTE-DL-D!20250828141754,Fiji-Nadi-LTE-DL-D,2025-08-28 04:16:02+02:00,2025-08-28 04:16:02+02:00,1,-17.6158366,177.4576468,-17.6158366,177.4576468,230.0,1850.0,3.0,7.538272,7.538272,174.2549025,166.71663049999998,0.0432600282221615,93.43,93.43,88.05,88.05,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,,100.0,70.37,100.0,83.71,High,Very High,1,1,1,1,1,1,1,0,0,0,0,7,True,High
LTE-TP-EP-000328,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:35:17+02:00,2025-08-27 01:35:18+02:00,2,-17.77119239,177.42536349,-17.77127485,177.42528442,394.0,40790.0,41.0,1.190224,9.878664,119.0290425,100.4619385,0.014188434513296858,91.52,86.875,97.68,82.685,100.0,92.0,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,1.0,12.48130873305672,50.0,77.47,90.5,83.33,High,Very High,2,2,1,1,1,1,1,0,0,0,0,9,True,High
LTE-TP-EP-000321,542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,Fiji-Nadi-LTE-DL-D,2025-08-27 01:34:11+02:00,2025-08-27 01:34:12+02:00,2,-17.76634916,177.42989571,-17.76641346,177.42985314,394.0,40790.0,41.0,4.236208,10.2163765,118.44779,114.21158199999999,0.03576434815710788,95.39,90.6,92.62,83.41,100.0,99.39,1,1,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,1.0,8.718738284224072,50.0,74.83,92.35,82.71,High,Very High,2,2,1,1,2,2,1,0,0,0,0,11,True,High
LTE-TP-EP-000967,542020041221088+20250827161114+Fiji-Nadi-LTE-DL-D!20250827160608,Fiji-Nadi-LTE-DL-D,2025-08-27 06:04:06+02:00,2025-08-27 06:04:06+02:00,1,-17.81116123,177.44284917,-17.81116123,177.44284917,469.0,41384.0,41.0,7.974224,7.974224,105.95971,97.985486,0.07525713311219898,92.1,92.1,85.64,85.64,100.0,100.0,1,0,0,ca_underperformance,ml_quantile_p75_resource_underperformance,statistical_and_ml_consensus,0.0,,100.0,68.57,100.0,82.71,High,Very High,1,1,1,1,1,1,1,0,0,0,0,7,True,High
