method,median_all_rows,median_final_handoff_rows,p90_final_handoff_rows,statistical_only_median,ml_only_median,consensus_median
fusion_naive_average_score_0_100,0.0,35.5,47.0,35.1,32.2,71.765
fusion_weighted_max_score_0_100,0.0,56.64,74.8,56.16,57.97,67.0
fusion_selected_impact_confidence_score_0_100,6.59,67.975,80.525,67.27,57.82,82.11
