fold,outer_train_rows,outer_test_rows,reference_rows_kept,reference_rows_removed,reference_removed_pct,resource_residual_cut,q75_resource_residual_cut,q75_resource_correction_log
1,25793,6445,25412,381,1.4771449618113441,-1.0788715090124652,-1.7475003483714902,0.01821562322773218
2,25793,6445,25418,375,1.4538828364284884,-1.1043611752717448,-1.7379842449286298,0.015601241790051734
3,25795,6443,25426,369,1.430509788718744,-1.108181880812092,-1.7600821192734337,0.017094473730160153
4,25794,6444,25414,380,1.4732108242226876,-1.0988065029940515,-1.7757317869803304,0.01783456204397127
5,25777,6461,25401,376,1.458664701090119,-1.0879110535599947,-1.761355043588561,0.01856140905250303
