model,train_r2,train_mae,test_r2,test_mae
HGB Strict-Causal Temporal Q50,0.9446274241218355,6.925045394523103,0.9201174300840752,8.504328524050683
HGB Resource-Conditioned Q50,0.9361585131711364,7.625650146930664,0.899314648376755,9.760505271144218
Calibrated Resource Q75,0.8356525746895059,12.41911684624577,0.8093888645450111,13.750477104272326
LSTM-Q50 — validation comparator,0.806699393123078,13.310598662354073,0.7492112483550666,14.73837195785785
