fold,outer_train_rows,outer_test_rows,reference_rows_kept,reference_rows_removed,reference_removed_pct,resource_residual_cut,q75_resource_residual_cut,q75_resource_correction_log
1,25793,6445,25419,374,1.4500058155313458,-1.1051539950514224,-1.7479125033372929,0.02065690647343832
2,25793,6445,25413,380,1.4732679409142015,-1.1302842926567407,-1.787418559458555,0.019768719202970075
3,25795,6443,25420,375,1.4537701104865284,-1.110324039367174,-1.768172085796718,0.02103112897838888
4,25794,6444,25421,373,1.4460727300922693,-1.0835655221075668,-1.750689697183342,0.015484480787289812
5,25777,6461,25399,378,1.4664235558831518,-1.069836595351871,-1.761137685490139,0.016328748660909387
