model,split,fold,rows,mae_mbps,rmse_mbps,r2_mbps,mae_log,rmse_log,r2_log,pinball_loss_log,empirical_coverage,coverage_error_from_target
HGB_resource_conditioned_Q50,fold_reference_train,1,25419,7.625650146930663,11.327204734085173,0.9361585131711364,0.18444707597189847,0.24716857596142472,0.9556378603231582,,,
HGB_resource_conditioned_Q50,fold_validation,1,6445,9.760505271144218,14.617440163857438,0.899314648376755,0.2467138885255753,0.3553982023051564,0.9131707833678652,,,
HGB_resource_conditioned_Q50,fold_reference_train,2,25413,7.764958039295429,11.496997380207906,0.9363628556872399,0.1862212820307808,0.249583953046707,0.9548258204316218,,,
HGB_resource_conditioned_Q50,fold_validation,2,6445,9.935513986777304,15.141928192139325,0.8762163242214565,0.2514600261528052,0.34763977152629766,0.9158700068744221,,,
HGB_resource_conditioned_Q50,fold_reference_train,3,25420,7.554412115340603,11.2503329254221,0.9354211906259918,0.1853071513709035,0.24840160083433177,0.9567667218856134,,,
HGB_resource_conditioned_Q50,fold_validation,3,6443,10.41735875177381,15.453779589929225,0.8960094227406071,0.2456988348655725,0.343059230589863,0.9062901243995298,,,
HGB_resource_conditioned_Q50,fold_reference_train,4,25421,7.570707157793366,11.288413118745144,0.937554781262641,0.18092752544218937,0.24333562317022855,0.9557989423605961,,,
HGB_resource_conditioned_Q50,fold_validation,4,6444,9.69408116070561,14.256970592011994,0.8981935668125315,0.26595991424419696,0.3804127411584223,0.9103075814315745,,,
HGB_resource_conditioned_Q50,fold_reference_train,5,25399,7.780449346093562,11.568616170785045,0.9353622491155072,0.1831903341306779,0.24577109052540128,0.9566304364653615,,,
HGB_resource_conditioned_Q50,fold_validation,5,6461,9.397083724275335,14.025022451194342,0.8946610371676817,0.25949900219629546,0.3672171460682386,0.9033266302598195,,,
GradientBoosting_resource_conditioned_Q75_calibrated,fold_reference_train,1,25419,12.41911684624577,18.17409133010738,0.8356525746895059,0.32206412606326146,0.4599498379937947,0.8463802993581514,0.09472128968218917,0.7864589480310005,0.03645894803100047
