epoch,train_q50_pinball,valid_q50_pinball,fold
1,1.075575951900747,0.3400040360597464,1
2,0.3118001094294919,0.2591503870028716,1
3,0.2844449041618241,0.2504313290119171,1
4,0.2694826947732104,0.2390704109118535,1
5,0.2601130408131414,0.24106537264126998,1
6,0.25568987967239487,0.23169545256174529,1
7,0.2505122998522388,0.23028122576383445,1
8,0.24810205544862482,0.2280707978285276,1
9,0.24724672134551737,0.22396366183574384,1
10,0.2447016951110628,0.2209565410247216,1
11,0.24355858109063572,0.22193659956638628,1
12,0.24152837155593765,0.21595812875490922,1
13,0.2413550162067016,0.2196589559316635,1
14,0.23828115624686083,0.21812889438409072,1
15,0.23916854398945966,0.22115787519858435,1
16,0.2397716616590818,0.2187017844273494,1
17,0.2381404358893633,0.21443129044312698,1
18,0.23629690955082575,0.22513373081500715,1
19,0.23691029039522013,0.21752462478784415,1
20,0.2353382520377636,0.22200912810288942,1
21,0.23510180103282133,0.2132005737378047,1
22,0.23291344568133354,0.21314734908250663,1
23,0.23027300938136047,0.22074050055100367,1
24,0.23227105951971477,0.2296208177621548,1
25,0.23117577470839024,0.22168988218674293,1
26,0.23151789605617523,0.2147770718886302,1
27,0.23046791532801258,0.2186606996334516,1
28,0.22775949620538288,0.21851283311843872,1
1,0.9784574119581116,0.27576404351454514,2
2,0.31017190631892944,0.2509274711975685,2
3,0.2841343523727523,0.23510648080935845,2
4,0.270894733361072,0.22789651843217704,2
5,0.26429652401970494,0.2247367283472648,2
6,0.2563621552868022,0.22513857369239515,2
7,0.2553574519438876,0.21256580318395907,2
8,0.25311611220240593,0.21923834429337427,2
9,0.2507036682218313,0.21144392284063193,2
10,0.25076242308649754,0.22225439433868116,2
11,0.24717024982803398,0.21125960120787987,2
12,0.2459589091853963,0.20954079524828836,2
13,0.2449556729859776,0.2109093998487179,2
14,0.2422894554005729,0.21718212159780356,2
15,0.24145988768173587,0.20797546666402084,2
16,0.24134811303681797,0.21716019052725571,2
17,0.23950820147163338,0.20851285239824882,2
18,0.23960701997081438,0.20943845006135794,2
19,0.23814904876053333,0.20751363726762626,2
20,0.23691052881379923,0.20769569507012,2
21,0.2371845305379894,0.2071568203660158,2
22,0.23555495424403083,0.21295293592489684,2
23,0.23498130279282728,0.20569662291270036,2
24,0.23397523992591435,0.20716509910730216,2
25,0.23355341205994287,0.20870677324441764,2
26,0.23383464622828695,0.2058150888635562,2
27,0.2309318236592743,0.21689804127583137,2
28,0.23029759691821206,0.2083935233262869,2
29,0.23014651673535505,0.2047324346808287,2
30,0.22982350426415601,0.206180765078618,2
31,0.22816541728874049,0.2081258944593943,2
32,0.22832798109286362,0.20585998606223327,2
33,0.22799619763261741,0.21039158277786696,2
34,0.2264530269636048,0.20904079308876625,2
35,0.22537175110644764,0.20719393686606333,2
1,1.0570098610830978,0.3218932609472956,3
2,0.30660239869440103,0.25908199165548595,3
3,0.2824023647207609,0.2454037613102368,3
4,0.2699617928182575,0.24496304243803024,3
5,0.26306589367523997,0.23958891310862132,3
6,0.2580904249154346,0.23528131416865758,3
7,0.2547472293528033,0.23249417011226928,3
8,0.25021314222208213,0.22782171943358012,3
9,0.24940743895483689,0.2274469201053892,3
10,0.24875367653202002,0.2244576865008899,3
11,0.24813340184554247,0.2270676525575774,3
12,0.24479632499352308,0.2216289554323469,3
13,0.24486009314866133,0.2185660781604903,3
14,0.2412266769039799,0.2166310857449259,3
15,0.24210401089258596,0.217296125633376,3
16,0.23885304470297317,0.21870858009372438,3
17,0.237592768081477,0.216938673385552,3
18,0.238092882532469,0.2126630193420819,3
19,0.2372906420012595,0.2167534359863826,3
20,0.2368354684030506,0.2195543966123036,3
21,0.2336163925872722,0.21394480764865875,3
22,0.23527570299699274,0.21198357109512603,3
23,0.23512973206143983,0.22489152635846818,3
24,0.23420348427665066,0.2119946171130453,3
25,0.23194640077335735,0.2138352170586586,3
26,0.23360241047093566,0.21476794353553227,3
27,0.23057138835880117,0.22151656874588557,3
28,0.23083833342706653,0.22199153367962157,3
1,0.9276073976523347,0.26136066821905285,4
2,0.2927794276426236,0.23703836019222552,4
3,0.2706880314896504,0.2287678294456922,4
4,0.26416294235322213,0.2178156593671212,4
5,0.2563517186790705,0.22039985542113966,4
6,0.2540218472066853,0.21635980560229376,4
7,0.251289011289676,0.20899684039446023,4
8,0.24737629377179676,0.2024293186572882,4
9,0.24872121235562694,0.20575338372817406,4
10,0.24493615246481365,0.19904164396799529,4
11,0.24281706660985947,0.19976888940884516,4
12,0.24179642150799432,0.20310602050561172,4
13,0.24008020758628845,0.2092953324317932,4
14,0.24242490840454897,0.20109783227627093,4
15,0.2407641483263837,0.20038117009859818,4
16,0.23940187878906727,0.21353306220127985,4
1,1.0500520658161905,0.3186542105216246,5
2,0.3166186855071121,0.23890325541679674,5
3,0.2941723114086522,0.23042949919517225,5
4,0.28507696671618354,0.2211523216504317,5
5,0.28380366125040585,0.21245075533023247,5
6,0.27466576484342414,0.20794029992360336,5
7,0.2736035496410396,0.21597525133536413,5
8,0.2678203706940015,0.2052044398509539,5
9,0.26659238648911315,0.2070273344333355,5
10,0.26519894268777633,0.200431689620018,5
11,0.26111631219585735,0.20230368008980384,5
12,0.2601683766891559,0.19682249885339004,5
13,0.2576953230632676,0.20785707923082206,5
14,0.2558825460986959,0.2055527648100486,5
15,0.2563799251284864,0.19224075973033905,5
16,0.25470316347976524,0.1963807837321208,5
17,0.2527076370186276,0.19214868889405176,5
18,0.254006325163775,0.20148816590125745,5
19,0.2511815877838267,0.20297637237952307,5
20,0.2509664812435706,0.19451222855311173,5
21,0.2503573000431061,0.19102644117978904,5
22,0.24758507766657406,0.19613960156073937,5
23,0.24799730732209152,0.1879274592949794,5
24,0.24618381986187565,0.20070593059062958,5
25,0.24597390554845333,0.19177898993858924,5
26,0.2453310802165005,0.19561677139538985,5
27,0.24436201796763474,0.19709886610507965,5
28,0.24194331736200386,0.189948449914272,5
29,0.24183988177941906,0.1876105975646239,5
30,0.24084553743402162,0.2026079297065735,5
31,0.23728959862556723,0.18969261990143702,5
32,0.23789776054521403,0.19050631729456094,5
33,0.23677471197313732,0.1939284629546679,5
34,0.23657987846268547,0.19672643335965964,5
35,0.23449821852975422,0.1896482281959974,5
