model,valid_rows,residual_q10,residual_q05,residual_q01
hgb_resource,32238,-0.434101969469339,-0.6437407583077845,-1.1935517158962625
hgb_temporal,32238,-0.37870099969589044,-0.5746042437495376,-1.1621479342227694
q75_resource,32238,-0.8421994306901335,-1.1447890927241147,-1.8315694960818132
lstm_q50,26855,-0.6814935736111234,-1.129243740030661,-3.06729255926097
