model,split,fold,rows,mae_mbps,rmse_mbps,r2_mbps,mae_log,rmse_log,r2_log,pinball_loss_log,empirical_coverage,coverage_error_from_target,train_sequences,valid_sequences,test_sequences,train_sessions,valid_sessions,test_sessions
LSTM_temporal_Q50,fold_validation,1,5385,14.738370895385742,22.6553205628322,0.7492112517356873,0.4161277115345001,0.715331906263321,0.6344696283340454,0.20806385576725006,0.4510677808727948,-0.04893221912720519,18260,3210,5385,185,33,53
LSTM_temporal_Q50,fold_validation,2,5361,13.992766380310059,21.209810196793,0.7555596828460693,0.3944977819919586,0.6467235618277739,0.6953167915344238,0.1972488909959793,0.42622645028912515,-0.07377354971087485,18368,3126,5361,183,33,55
LSTM_temporal_Q50,fold_validation,3,5368,14.541821479797363,21.449573375665235,0.801032543182373,0.3676410913467407,0.6084031155377309,0.6900675296783447,0.18382054567337036,0.4523099850968703,-0.047690014903129685,18097,3390,5368,184,33,54
LSTM_temporal_Q50,fold_validation,4,5360,14.033241271972656,21.269472064311593,0.7679383158683777,0.43963414430618286,0.7263113018302072,0.6595069169998169,0.21981707215309143,0.5044776119402985,0.004477611940298498,18220,3275,5360,183,33,55
LSTM_temporal_Q50,fold_validation,5,5381,13.620377540588379,20.33072274547847,0.7808824181556702,0.40130212903022766,0.6574931857985226,0.665980875492096,0.20065106451511383,0.47128786470916184,-0.02871213529083816,18337,3137,5381,184,33,54
