column,dtype,non_null,missing_pct,description
session_low_tp_ratio,float64,6217,0.0,RCA handoff / anomaly evidence column
anomaly_score_0_100,float64,6217,0.0,RCA handoff / anomaly evidence column
anomaly_severity,object,6217,0.0,RCA handoff / anomaly evidence column
anomaly_type,object,6217,0.0,RCA handoff / anomaly evidence column
anomaly_type_flags,object,6217,0.0,RCA handoff / anomaly evidence column
anomaly_method_count,int64,6217,0.0,RCA handoff / anomaly evidence column
context_flag_count,int64,6217,0.0,RCA handoff / anomaly evidence column
weak_low_rb_only_candidate_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
rca_handoff_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
lte_rsrp,float64,6217,0.0,RCA handoff / anomaly evidence column
lte_rsrq,float64,6217,0.0,RCA handoff / anomaly evidence column
lte_sinr,float64,6217,0.0,RCA handoff / anomaly evidence column
lte_rssi,float64,6217,0.0,RCA handoff / anomaly evidence column
lte_cqi,float64,6131,1.383,RCA handoff / anomaly evidence column
lte_mcs,float64,6216,0.016,RCA handoff / anomaly evidence column
lte_bler,float64,6216,0.016,RCA handoff / anomaly evidence column
lte_rank,float64,6126,1.464,RCA handoff / anomaly evidence column
lte_rb_count,float64,6216,0.016,RCA handoff / anomaly evidence column
lte_agg_rb_dl,float64,6217,0.0,RCA handoff / anomaly evidence column
lte_agg_rb_dl_bin,category,6217,0.0,RCA handoff / anomaly evidence column
lte_bandwidth_dl,float64,6216,0.016,RCA handoff / anomaly evidence column
lte_agg_bandwidth_dl,float64,6216,0.016,RCA handoff / anomaly evidence column
rb_usage_evidence_reliable_flag,bool,6217,0.0,RCA handoff / anomaly evidence column
reliable_rb_columns,object,6217,0.0,RCA handoff / anomaly evidence column
rb_reference_column,object,6217,0.0,RCA handoff / anomaly evidence column
rb_usage_value,float64,6217,0.0,RCA handoff / anomaly evidence column
rb_usage_bucket,object,6217,0.0,RCA handoff / anomaly evidence column
rb_demand_confidence,object,6217,0.0,RCA handoff / anomaly evidence column
estimated_available_rb,float64,6217,0.0,RCA handoff / anomaly evidence column
rb_capacity_estimation_method,object,6217,0.0,RCA handoff / anomaly evidence column
rb_utilization_pct,float64,6217,0.0,RCA handoff / anomaly evidence column
rb_low_usage_threshold,float64,6217,0.0,RCA handoff / anomaly evidence column
rb_medium_usage_threshold,float64,6217,0.0,RCA handoff / anomaly evidence column
