operational_incident_id,id,route_label,start_time,end_time,strict_episodes,rows,max_priority,mean_priority,max_impact,max_confidence,consensus_rows,statistical_only_rows,ml_only_rows,dominant_statistical_type,dominant_ml_type,primary_serving_pci,duration_seconds
INC-000987,542020041221088+20250828134936+Fiji-Nadi-LTE-DL-D!20250828134405,Fiji-Nadi-LTE-DL-D,2025-08-28 03:44:03+02:00,2025-08-28 03:44:03+02:00,1,1,56.87,56.87,57.91,55.6,0,1,0,ca_underperformance,normal,383.0,0.0
INC-000618,542020041221088+20250827161234+Fiji-Nadi-LTE-DL-D!20250827161029,Fiji-Nadi-LTE-DL-D,2025-08-27 06:08:29+02:00,2025-08-27 06:08:31+02:00,1,3,56.86,56.86,64.74,47.22,0,3,0,ca_underperformance,normal,148.0,2.0
INC-000144,542020041221088+20250827111708+Fiji-Nadi-LTE-DL-D!20250827110046,Fiji-Nadi-LTE-DL-D,2025-08-27 00:58:44+02:00,2025-08-27 00:58:44+02:00,1,1,56.83,56.83,43.14,73.57,0,1,0,rolling_local_drop,normal,81.0,0.0
INC-001058,542020041221088+20250828142038+Fiji-Nadi-LTE-DL-D!20250828142010,Fiji-Nadi-LTE-DL-D,2025-08-28 04:18:23+02:00,2025-08-28 04:18:23+02:00,1,1,56.77,56.77,65.33,46.32,0,1,0,radio_limited_degradation,normal,375.0,0.0
INC-000507,542020041221088+20250827145611+Fiji-Nadi-LTE-DL-D!20250827145542,Fiji-Nadi-LTE-DL-D,2025-08-27 04:53:40+02:00,2025-08-27 04:53:40+02:00,1,1,56.74,56.74,46.73,68.98,0,1,0,rb_conditioned_underperformance,normal,111.0,0.0
INC-000976,542020041221088+20250828134256+Fiji-Nadi-LTE-DL-D!20250828133718,Fiji-Nadi-LTE-DL-D,2025-08-28 03:35:20+02:00,2025-08-28 03:35:20+02:00,1,1,56.74,56.74,58.9,54.09,0,1,0,radio_limited_degradation,normal,253.0,0.0
INC-000332,542020041221088+20250827133406+Fiji-Nadi-LTE-DL-D!20250827125219,Fiji-Nadi-LTE-DL-D,2025-08-27 02:50:17+02:00,2025-08-27 02:50:17+02:00,1,1,56.72,56.72,57.37,55.94,0,1,0,radio_limited_degradation,normal,147.0,0.0
INC-000331,542020041221088+20250827133206+Fiji-Nadi-LTE-DL-D!20250827125008,Fiji-Nadi-LTE-DL-D,2025-08-27 02:49:17+02:00,2025-08-27 02:49:17+02:00,1,1,56.69,56.69,63.01,48.96,0,1,0,radio_limited_degradation,normal,147.0,0.0
INC-000401,542020041221088+20250827135208+Fiji-Nadi-LTE-DL-D!20250827132735,Fiji-Nadi-LTE-DL-D,2025-08-27 03:26:48+02:00,2025-08-27 03:26:48+02:00,1,1,56.69,56.69,50.08,64.77,0,1,0,rb_conditioned_underperformance,normal,338.0,0.0
INC-000755,542020041221088+20250828121041+Fiji-Nadi-LTE-DL-D!20250828114409,Fiji-Nadi-LTE-DL-D,2025-08-28 01:42:32+02:00,2025-08-28 01:42:32+02:00,1,1,56.66,56.66,56.75,56.55,0,1,0,radio_limited_degradation,normal,185.0,0.0
INC-001060,542020041221088+20250828142038+Fiji-Nadi-LTE-DL-D!20250828142010,Fiji-Nadi-LTE-DL-D,2025-08-28 04:18:27+02:00,2025-08-28 04:18:27+02:00,1,1,56.61,56.61,65.55,45.69,0,1,0,radio_limited_degradation,normal,196.0,0.0
INC-000831,542020041221088+20250828124043+Fiji-Nadi-LTE-DL-D!20250828124009,Fiji-Nadi-LTE-DL-D,2025-08-28 02:38:50+02:00,2025-08-28 02:38:51+02:00,1,2,56.59,56.59,54.94,58.61,0,2,0,ca_underperformance,normal,385.0,1.0
INC-000789,542020041221088+20250828122542+Fiji-Nadi-LTE-DL-D!20250828121826,Fiji-Nadi-LTE-DL-D,2025-08-28 02:17:00+02:00,2025-08-28 02:17:02+02:00,1,3,56.58,56.58,56.51,56.66,0,3,0,rb_conditioned_underperformance,normal,183.0,2.0
