condition,value,rows,empirical_q75_coverage,coverage_error_from_0_75,calibration_status,pinball_loss_log,median_actual_mbps,median_q75_expected_mbps
rb_usage_bucket,below_median_rb_usage,7932,0.7714321734745335,0.021432173474533522,OK,0.18662220179879513,30.779000499999995,48.3894965920359
rb_usage_bucket,high_rb_usage,8123,0.5224670688169396,-0.2275329311830604,REVIEW,0.11950899778116207,83.39938999999997,85.20467273107504
rb_usage_bucket,low_rb_usage,8134,0.9594295549545119,0.20942955495451188,REVIEW,0.36377156450490006,10.35814,40.58322736020296
rb_usage_bucket,medium_rb_usage,8049,0.8081749285625544,0.05817492856255435,REVIEW,0.13748602862158033,55.35194399999999,79.20885960329389
ca_condition_label,2CC_CA,22195,0.7629646316738004,0.012964631673800353,OK,0.19464349865118838,49.34956699999999,72.62309699094186
ca_condition_label,3CC_or_more_CA,1351,0.7142857142857143,-0.0357142857142857,OK,0.18629952887048293,94.20584999999997,119.61049184027165
ca_condition_label,single_carrier,8692,0.779222273354809,0.02922227335480898,OK,0.22374582692536038,18.367663999999998,33.41615012920897
sinr_bin,Excellent,11886,0.7557630826182062,0.005763082618206239,OK,0.17531420410440257,69.93437250000001,102.44410174743098
sinr_bin,Fair,11675,0.767880085653105,0.01788008565310495,OK,0.22554931995564137,19.743495999999997,33.47351434736174
sinr_bin,Good,8209,0.7712267023998051,0.021226702399805064,OK,0.2014520957774451,41.721810000000005,65.65982350655256
sinr_bin,Poor,468,0.8397435897435898,0.08974358974358976,REVIEW,0.31155694230404163,4.480792,14.41681565220234
rsrp_bin,Excellent,10190,0.7616290480863592,0.011629048086359228,OK,0.18736101659779264,64.37445250000002,94.831150015502
rsrp_bin,Fair,11336,0.767378263937897,0.017378263937896987,OK,0.21979738617499522,20.507636499999997,33.86730234333379
rsrp_bin,Good,10502,0.7643306036945344,0.014330603694534427,OK,0.19460984568450113,46.010532999999995,66.62554358462276
rsrp_bin,Poor,210,0.8809523809523809,0.13095238095238093,REVIEW,0.3427491214880775,1.0622840000000002,6.963391885329168
serving_band,1.0,4970,0.7372233400402415,-0.012776659959758518,OK,0.21269924417201974,42.63275499999999,65.2016939699842
serving_band,3.0,4086,0.7479197258932941,-0.0020802741067058594,OK,0.2030351815050106,36.205072,57.269981719083596
serving_band,28.0,1466,0.7237380627557981,-0.026261937244201894,OK,0.23702882561594074,29.8652435,51.02378480199049
serving_band,41.0,21716,0.7778135936636581,0.027813593663658098,OK,0.1972002482126082,38.79119250000001,58.083809904172256
serving_earfcn,356.0,1272,0.7570754716981132,0.007075471698113178,OK,0.23528230835950315,18.5945555,33.781576837498676
serving_earfcn,500.0,3698,0.7303948080043267,-0.019605191995673343,OK,0.20493135405669283,54.26190749999998,75.324776727848
serving_earfcn,1850.0,4086,0.7479197258932941,-0.0020802741067058594,OK,0.2030351815050106,36.205072,57.269981719083596
serving_earfcn,9310.0,1466,0.7237380627557981,-0.026261937244201894,OK,0.23702882561594074,29.8652435,51.02378480199049
serving_earfcn,40790.0,4680,0.7547008547008547,0.004700854700854684,OK,0.17904967778314793,46.257584,65.46487405832252
serving_earfcn,40988.0,4014,0.7897359242650722,0.03973592426507222,OK,0.2224811341966026,39.2779865,66.58171198449573
serving_earfcn,41186.0,4399,0.792225505796772,0.04222550579677198,OK,0.19567328244575438,38.644062000000005,59.12576843030136
serving_earfcn,41384.0,8623,0.777455641887974,0.027455641887974003,OK,0.19606193389955134,35.011257,52.008325394993655
