model,valid_rows,residual_q10,residual_q05,residual_q01
hgb_capability,32238,-0.9773855754834666,-1.5125378208487812,-2.791499124565012
hgb_resource,32238,-0.43980997852019826,-0.6375949489797984,-1.1452127263976772
hgb_temporal,32238,-0.37410914904627796,-0.5660529690623031,-1.0975016322315647
q75_capability,32238,-1.7521925765036586,-2.4629222910985016,-3.8560662996879826
q75_resource,32238,-0.8590724527499359,-1.1461185372051985,-1.7804383808696405
lstm_q50,26855,-0.7018484286027477,-1.1544351005290379,-3.064093389173802
