dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values,is_protected,remove_reason
drive_raw,Activity.DAB,Activity,float64,0,64949,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.MSISDN,Activity,float64,0,64949,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.Round Trip Time,Activity,float64,0,64949,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.TCP Connection Time,Activity,float64,0,64949,100.0,0,0.0,[],,,,,,True,100% missing
drive_raw,Activity.Remote IPs,Activity,object,184,64765,99.717,29,15.761,"['syd.download.datapacket.com/143.244.62.9', 'syd.download.datapacket.com/143.244.62.9$$$$syd.download.datapacket.com/143.244.62.5', 'syd.download.datapacket.com/143.244.62.5', 'syd.download.datapacket.com/143.244.62.9', 'syd.download.datapacket.com/143.244.62.5']",,,,,"{'syd.download.datapacket.com/143.244.62.9': 32, 'syd.download.datapacket.com/143.244.62.6': 31, 'syd.download.datapacket.com/143.244.62.8': 26, 'syd.download.datapacket.com/143.244.62.5': 20, 'syd.download.datapacket.com/143.244.62.6$$$$syd.download.datapacket.com/143.244.62.9': 12}",True,
drive_raw,Activity.Source Ports,Activity,object,184,64765,99.717,184,100.0,"['44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284', '41372$$$$44640$$$$37408$$$$41804$$$$41818$$$$48212$$$$47388', '40594$$$$37892$$$$37906$$$$37918$$$$37932$$$$37946', '37820$$$$37824$$$$37826$$$$37838$$$$37844$$$$37850', '38242$$$$38258$$$$38266$$$$38268$$$$40906$$$$40918']",,,,,"{'44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284': 1, '39124$$$$39140$$$$39144$$$$39154$$$$39158$$$$39172': 1, '43786$$$$45054$$$$43810$$$$43820$$$$43836$$$$47086': 1, '40068$$$$40084$$$$40088$$$$40094$$$$47258$$$$47260': 1, '46406$$$$46420$$$$41052$$$$46882$$$$46892$$$$43280': 1}",True,
drive_raw,Activity.TTFB,Activity,float64,184,64765,99.717,184,100.0,"['1294.8333740234375', '10106.3330078125', '1505.5', '2541.5', '5224.33349609375']",555.6666870117188,21065.80078125,3113.607181383216,3037.8343386784686,,True,
drive_raw,Activity.DNS Resolution Time,Activity,float64,186,64763,99.714,178,95.699,"['126.33333587646484', '747.3333129882812', '86.0', '102.16666412353516', '3238.75']",27.16666603088379,14187.0,427.53986464264574,1187.6091854867834,,True,
drive_raw,Activity.Remote Address,Activity,object,186,64763,99.714,32,17.204,"['syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)', 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)', 'syd.download.datapacket.com (143.244.62.5)$$$$syd.download.datapacket.com (143.244.62.9)', 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)', 'syd.download.datapacket.com (143.244.62.5)$$$$syd.download.datapacket.com (143.244.62.9)']",,,,,"{'syd.download.datapacket.com (143.244.62.6)$$$$syd.download.datapacket.com (143.244.62.8)': 23, 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)': 21, 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)': 21, 'syd.download.datapacket.com (143.244.62.6)$$$$syd.download.datapacket.com (143.244.62.9)': 20, 'syd.download.datapacket.com (143.244.62.5)$$$$syd.download.datapacket.com (143.244.62.9)': 18}",True,
drive_raw,Activity.Sub Activity,Activity,object,191,64758,99.706,1,0.524,"['https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin']",,,,,{'https://syd.download.datapacket.com/10000mb.bin': 191},True,
drive_raw,Activity.Error,Activity,object,212,64737,99.674,4,1.887,"['Call Block', 'Call Block', 'Call Block', 'Call Block', 'Call Block']",,,,,"{'Timeout': 184, 'Call Block': 20, 'Error in Session': 7, 'Call Drop': 1}",True,
drive_raw,Extra_KPIs.Attach Delay,Extra_KPIs,float64,257,64692,99.604,257,100.0,"['900.3270000000008', '1192.7260000000003', '814.7120000000001', '770.8859999999972', '940.675000000006']",683.5360000000002,5367.335999999998,993.4348171206225,528.7120169148546,,True,
