Events.subject,event_count
nan,40050
Unknown,4238
Start,1447
End,1433
Failed,492
MT Available,269
Success,119
Failed (Timeout),12
Fiji-Nadi-MO-D,7
Fiji-Nadi-LTE-DL-D,1
