incident_id,session_id,start_time,end_time,serving_cell_key,serving_pci,detection_case,priority_score_0_100,impact_score_0_100,detection_confidence_0_100,severity,requires_human_review
INC-000001,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:37:42+02:00,2025-08-26 23:37:42+02:00,ECI:1067720.0,351.0,radio_limited_degradation,73.69,90.89,52.66,High,False
INC-000002,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:39:20+02:00,2025-08-26 23:39:21+02:00,ECI:1065280.0,145.0,ca_underperformance,76.66,66.39,89.22,High,False
INC-000003,542020041221088+20250827094025+Fiji-Nadi-LTE-DL-D!20250827093942,2025-08-26 23:39:27+02:00,2025-08-26 23:39:27+02:00,ECI:1064509.0,288.0,temporal_local_drop,70.04,75.31,63.6,High,False
INC-000004,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:39:49+02:00,2025-08-26 23:39:50+02:00,EARFCN:40790.0|PCI:288.0,288.0,ca_underperformance,79.03,69.36,93.69,High,False
INC-000005,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:40:01+02:00,2025-08-26 23:40:01+02:00,ECI:1064509.0,288.0,ca_underperformance,74.72,57.18,96.15,High,False
INC-000006,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:40:15+02:00,2025-08-26 23:40:15+02:00,ECI:1064509.0,288.0,radio_limited_degradation,66.98,69.92,63.38,High,False
INC-000007,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:41:14+02:00,2025-08-26 23:41:14+02:00,ECI:1064509.0,288.0,radio_limited_degradation,67.5,69.91,64.56,High,False
INC-000008,542020041221088+20250827094505+Fiji-Nadi-LTE-DL-D!20250827094151,2025-08-26 23:41:35+02:00,2025-08-26 23:41:36+02:00,ECI:1064509.0,288.0,radio_limited_degradation,76.02,78.0,73.6,High,False
INC-000009,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:42:12+02:00,2025-08-26 23:42:12+02:00,ECI:1065267.0,145.0,ca_underperformance,66.42,60.84,73.24,High,False
INC-000010,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:18+02:00,2025-08-26 23:43:18+02:00,ECI:1065267.0,145.0,temporal_local_drop,72.59,73.08,72.0,High,False
INC-000011,542020041221088+20250827094725+Fiji-Nadi-LTE-DL-D!20250827094401,2025-08-26 23:43:37+02:00,2025-08-26 23:43:37+02:00,ECI:1067570.0,151.0,temporal_local_drop,73.82,75.31,72.0,High,False
