case,rank_in_case,source_index,priority,actual_tp,radio_p75_gap,rb_p75_gap,rolling_drop_gap,previous_sample_drop_gap
ca_underperformance,1,56065,97.83,2.275456,118.868004,102.22023399999999,79.961474,142.328674
ca_underperformance,2,41878,97.6,1.223552,110.57126925,108.167028,150.38763799999998,173.041158
radio_condition_expected_underperformance,1,40382,64.48,38.774494,82.368966,65.72119599999999,25.497915999999996,0.9360260000000054
radio_condition_expected_underperformance,2,40381,63.62,39.71052,81.43294,64.78517,24.56188999999999,5.738301999999997
radio_limited_degradation,1,41979,94.38,5.86572,113.1633225,102.35495225,87.492625,34.376104999999995
radio_limited_degradation,2,43618,92.71,1.115152,117.332638,18.177048000000003,134.514348,142.705498
rb_conditioned_expected_underperformance,1,50362,83.58,17.857063,100.590727,120.39923950000001,2.9638085000000025,
rb_conditioned_expected_underperformance,2,62673,72.86,16.763111,88.95899650000001,79.47809400000001,0.4936410000000002,-4.083294999999998
rb_efficiency_underperformance,1,39530,62.71,0.644688,16.017576000000002,16.2111405,4.331335999999999,-0.14633600000000002
rb_efficiency_underperformance,2,39447,61.75,1.028504,15.63376,15.827324499999998,5.426356,0.37351199999999984
strict_ml_only_supervised_review,1,41374,56.97,30.009735,45.810695,50.0269125,22.770094999999998,15.68092
temporal_local_drop,1,45977,92.47,4.69228,130.87702,102.15730500000001,129.84647999999999,167.41546
temporal_local_drop,2,57991,91.2,0.933784,69.8150345,43.755101499999995,81.38394199999999,97.833486
temporal_sudden_drop,1,50103,77.76,29.87156,93.76199,104.99734,22.118342000000002,81.83738
temporal_sudden_drop,2,50252,77.34,25.869072,95.274388,78.626618,19.358760999999998,29.153336
