sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket,expected_tp_p75,expected_tp_median,expected_tp_mean,expected_tp_group_n,expected_tp_p75_ci_low,expected_tp_p75_ci_high,expected_tp_p75_ci_width,fallback_level,group_cols,reference_scope,reference_name
Fair,Fair,2.0,1,356,low_rb_usage,13.05772,5.725464,8.104982303703704,81,9.197376,16.764046975,7.566670974999999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,1,356,medium_rb_usage,39.722339500000004,25.976608,27.110718543636363,55,33.03999905,46.651081262499986,13.611082212499987,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,1,500,below_median_rb_usage,24.27595525,14.724284,17.14931180714286,98,20.67281775,27.19735474375,6.524536993750001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,1,500,high_rb_usage,72.061292,51.991577,52.73530131578947,95,62.31541980000001,77.56015,15.244730199999985,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,1,500,low_rb_usage,8.815387999999999,3.116,5.986353729411765,119,6.428108400000001,10.494378799999998,4.066270399999997,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,1,500,medium_rb_usage,48.1638925,34.3834,34.47319481193182,176,45.028526,55.0977452625,10.069219262499999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,28,9310,high_rb_usage,27.754448,18.58568,21.249561285714286,35,21.6676999875,37.3193883125,15.651688325000002,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,28,9310,low_rb_usage,3.200018,1.66416,2.264255238095238,42,2.164691,3.883674,1.7189830000000001,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,28,9310,medium_rb_usage,16.855828499999998,8.693024000000001,13.078138086956521,46,12.668248949999999,27.907582424999998,15.239333474999999,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,3,1850,below_median_rb_usage,18.4104485,14.499888,14.30799221930502,259,17.6784817875,19.6492205,1.9707387124999975,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,3,1850,high_rb_usage,49.46347875,38.04701,38.38843673780488,82,42.968314,60.51006201249998,17.54174801249998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,3,1850,low_rb_usage,9.961984,5.262688,6.422950733761468,109,7.345576,11.609624,4.264048,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,3,1850,medium_rb_usage,32.0803415,25.180392,25.273233765306124,392,30.4561307125,33.302470306249994,2.8463395937499953,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,40790,below_median_rb_usage,30.988118,19.564808,21.144581132352943,68,24.857907775,35.813263,10.955355224999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,40790,high_rb_usage,60.041045999999994,46.301006,44.37216224422443,303,56.9451515,61.560521387499996,4.615369887499995,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,40790,low_rb_usage,9.891636,2.69353195,6.179230377998,50,5.4000993,14.607084,9.2069847,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,40790,medium_rb_usage,41.34718925,25.624699999999997,27.95493063979592,196,38.154176443749996,43.276520443749995,5.122343999999998,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,40988,below_median_rb_usage,20.665253,11.2089,14.502263084745762,118,20.1204837625,24.659795387499997,4.539311624999996,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
Fair,Fair,2.0,41,40988,high_rb_usage,51.982494,34.098022,38.15254566666667,93,45.455265,58.39851,12.943245000000005,1,"sinr_bin_for_expected,rsrp_bin_for_expected,carrier_count_for_expected,serving_band_for_expected,serving_earfcn_for_expected,rb_usage_bucket",all_valid_lte_dl_rows,rb_conditioned
