stat,distance_from_prev_m
count,64403.0
mean,7.171259347832238
std,6.600287466312758
min,0.0
1%,0.0
5%,0.0
50%,6.6147365905286835
95%,18.589334360699954
99%,28.120923146646128
max,45.305778251533454
