id,timestamp,id_route_test_label,id_test_type,Activity.Activity,Activity.Duration,Activity.End TimeStamp,Activity.Power,Activity.Quality,Activity.SINR,Activity.Start TimeStamp,Activity.Status,Activity.Tech,Activity.Throughput,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825134524+Fiji-Nadi-MO-D!20250825125023,2025-08-25 02:50:12+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105153.0,2025-08-25T02:50:12.656000+02:00,-78.96,-9.97,10.43,2025-08-25T02:48:27.503000+02:00,Success,HSPA+,72.0,2025-08-25 02:48:27.503000+02:00,2025-08-25 02:50:12.656000+02:00
542020041221088+20250825134644+Fiji-Nadi-MO-D!20250825125226,2025-08-25 02:52:15+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103156.0,2025-08-25T02:52:15.911000+02:00,-78.23,-10.65,7.94,2025-08-25T02:50:32.756000+02:00,Success,HSPA+,56.0,2025-08-25 02:50:32.756000+02:00,2025-08-25 02:52:15.911000+02:00
542020041221088+20250825134704+Fiji-Nadi-MO-D!20250825125431,2025-08-25 02:54:20+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104137.0,2025-08-25T02:54:20.172000+02:00,-81.94,-11.59,7.8,2025-08-25T02:52:36.036000+02:00,Success,HSPA+,72.0,2025-08-25 02:52:36.036000+02:00,2025-08-25 02:54:20.172000+02:00
542020041221088+20250825134724+Fiji-Nadi-MO-D!20250825125635,2025-08-25 02:56:24+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104166.0,2025-08-25T02:56:24.617000+02:00,-70.6,-5.42,4.96,2025-08-25T02:54:40.452000+02:00,Success,HSPA+,32.0,2025-08-25 02:54:40.452000+02:00,2025-08-25 02:56:24.617000+02:00
542020041221088+20250825134745+Fiji-Nadi-MO-D!20250825125840,2025-08-25 02:58:29+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105082.0,2025-08-25T02:58:29.644000+02:00,-78.14,-9.74,12.88,2025-08-25T02:56:44.563000+02:00,Success,HSPA+,1176.0,2025-08-25 02:56:44.563000+02:00,2025-08-25 02:58:29.644000+02:00
542020041221088+20250825141210+Fiji-Nadi-MO-D!20250825130045,2025-08-25 03:00:34+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104113.0,2025-08-25T03:00:34.101000+02:00,-71.2,-7.74,7.11,2025-08-25T02:58:49.988000+02:00,Success,HSPA,64.0,2025-08-25 02:58:49.988000+02:00,2025-08-25 03:00:34.101000+02:00
542020041221088+20250825141230+Fiji-Nadi-MO-D!20250825130248,2025-08-25 03:02:37+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103080.0,2025-08-25T03:02:37.415000+02:00,-79.62,-11.99,9.13,2025-08-25T03:00:54.335000+02:00,Success,HSPA+,48.0,2025-08-25 03:00:54.335000+02:00,2025-08-25 03:02:37.415000+02:00
542020041221088+20250825142052+Fiji-Nadi-MO-D!20250825130450,2025-08-25 03:04:39+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,100165.0,2025-08-25T03:04:39.112000+02:00,-79.36,-9.49,9.72,2025-08-25T03:02:58.947000+02:00,Success,WCDMA,32.0,2025-08-25 03:02:58.947000+02:00,2025-08-25 03:04:39.112000+02:00
542020041221088+20250825143236+Fiji-Nadi-MO-D!20250825130652,2025-08-25 03:06:41+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,102146.0,2025-08-25T03:06:41.543000+02:00,-58.05,-6.7,15.33,2025-08-25T03:04:59.398000+02:00,Success,HSPA+,80.0,2025-08-25 03:04:59.398000+02:00,2025-08-25 03:06:41.543000+02:00
542020041221088+20250825143256+Fiji-Nadi-MO-D!20250825130855,2025-08-25 03:08:44+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,103135.0,2025-08-25T03:08:44.727000+02:00,-58.2,-7.67,14.69,2025-08-25T03:07:01.592000+02:00,Success,HSPA+,88.0,2025-08-25 03:07:01.592000+02:00,2025-08-25 03:08:44.727000+02:00
542020041221088+20250825143316+Fiji-Nadi-MO-D!20250825131106,2025-08-25 03:10:55+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,110167.0,2025-08-25T03:10:55.091000+02:00,-75.2,-12.15,7.92,2025-08-25T03:09:04.924000+02:00,Success,HSPA+,64.0,2025-08-25 03:09:04.924000+02:00,2025-08-25 03:10:55.091000+02:00
542020041221088+20250825143738+Fiji-Nadi-MO-D!20250825131311,2025-08-25 03:13:00+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,105178.0,2025-08-25T03:13:00.419000+02:00,-72.9,-11.94,9.26,2025-08-25T03:11:15.242000+02:00,Success,HSPA+,64.0,2025-08-25 03:11:15.242000+02:00,2025-08-25 03:13:00.419000+02:00
542020041221088+20250825144621+Fiji-Nadi-MO-D!20250825131517,2025-08-25 03:15:06+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,106192.0,2025-08-25T03:15:06.933000+02:00,-77.25,-10.47,12.65,2025-08-25T03:13:20.742000+02:00,Success,HSPA+,64.0,2025-08-25 03:13:20.742000+02:00,2025-08-25 03:15:06.933000+02:00
542020041221088+20250825145224+Fiji-Nadi-MO-D!20250825131722,2025-08-25 03:17:11+02:00,Fiji-Nadi-MO-D,MO-D,MO Call,104160.0,2025-08-25T03:17:11.349000+02:00,-67.12,-6.04,10.62,2025-08-25T03:15:27.189000+02:00,Success,HSPA+,64.0,2025-08-25 03:15:27.189000+02:00,2025-08-25 03:17:11.349000+02:00
