serving_cell_key,rows,sessions,median_tp_mbps,p10_tp_mbps,mean_tp_mbps,low_tp_pct,stat_anomaly_pct,rca_handoff_pct,median_p75_gap_mbps,p90_p75_gap_mbps,median_rsrp_dbm,median_rsrq_db,median_sinr_db,median_cqi,median_mcs,median_bler_pct,p90_bler_pct,median_rb_usage,median_tp_per_rb,median_tp_badness,p10_tp_badness,anomaly_rate_badness,p75_gap_badness,cqi_badness,mcs_badness,bler_badness,sinr_badness,rsrq_badness,rsrp_badness,bad_entity_score_0_100,entity_label,bad_entity_rank,bad_entity_percentile,bad_entity_candidate_flag,rank_reliability,serving_pci,serving_eci,serving_earfcn,serving_band
ECI:1079182.0,35,2,7.275304,1.9645216000000003,8.944258314285713,71.42857142857143,91.42857142857143,74.28571428571429,37.18017275,57.54107890000001,-102.256165,-12.995146,4.2440844,8.0,6.0,9.259259,15.2490266,125.0,0.06322966666666667,0.9516728624535316,0.828996282527881,0.9851301115241635,0.8661710037174721,0.7397769516728625,0.9944237918215614,0.8680297397769516,0.9776951672862454,0.9256505576208178,0.7806691449814126,90.37,cell_key,1,100.0,True,LOW,385.0,1079182.0,41186.0,41.0
ECI:1076426.0,94,4,2.183432,0.12251200000000001,4.970889592553191,89.36170212765957,91.48936170212765,52.12765957446809,42.270146,58.0663132,-104.29404199999999,-11.788886999999999,3.88006675,6.0,6.0,3.8684604,21.884668500000004,74.0,0.032549132467532466,0.9962825278810409,0.966542750929368,0.9888475836431226,0.895910780669145,0.9553903345724907,0.9944237918215614,0.26394052044609667,0.9888475836431226,0.8141263940520446,0.8438661710037175,89.35,cell_key,2,99.63,True,MEDIUM,375.0,1076426.0,500.0,1.0
ECI:1079185.0,45,3,14.514736,2.3128832000000004,16.474503955555555,40.0,66.66666666666666,66.66666666666666,35.946498500000004,47.904123850000005,-94.31117,-11.8125,5.2586203,5.0,7.0,9.311225,13.222516200000003,160.0,0.08725559776536314,0.8847583643122676,0.8104089219330854,0.9516728624535316,0.8513011152416357,0.9944237918215614,0.9851301115241635,0.8773234200743495,0.9330855018587361,0.8252788104089219,0.4200743494423792,89.07,cell_key,3,99.26,True,LOW,385.0,1079185.0,41384.0,41.0
ECI:1071647.0,85,5,4.661624,0.27385760000000003,6.288916972941177,78.82352941176471,78.82352941176471,37.64705882352941,26.523032250000004,52.64792310000001,-102.95786,-10.908334,6.102128,6.0,11.0,7.7380953,14.038951400000004,67.0,0.06882628571428571,0.9776951672862454,0.9368029739776952,0.9702602230483272,0.7434944237918215,0.9553903345724907,0.9330855018587361,0.5799256505576208,0.9033457249070632,0.6728624535315985,0.8029739776951673,88.27,cell_key,4,98.88,True,MEDIUM,395.0,1071647.0,1850.0,3.0
ECI:1070100.0,30,2,11.794504,4.3389384,12.675429,40.0,63.33333333333333,60.0,30.100969999999997,37.7580188,-110.37927,-12.421503000000001,3.21160725,6.5,8.5,8.448897500000001,13.9292643,142.0,0.08044163996265172,0.9256505576208178,0.7137546468401487,0.9442379182156134,0.7769516728624535,0.9219330855018587,0.9814126394052045,0.7100371747211895,0.9962825278810409,0.8884758364312267,0.9776951672862454,87.41,cell_key,5,98.51,True,LOW,332.0,1070100.0,500.0,1.0
ECI:1076531.0,42,2,1.980864,0.4806224,3.33078269,95.23809523809523,97.61904761904762,30.952380952380953,29.8041635,39.44847754999999,-109.373722,-11.571812,6.1764185000000005,8.0,11.0,6.095672,11.849871349999997,49.0,0.04870266666666666,1.0,0.9219330855018587,1.0,0.7732342007434945,0.7397769516728625,0.9330855018587361,0.4684014869888476,0.8996282527881041,0.79182156133829,0.9591078066914498,86.83,cell_key,6,98.14,True,LOW,182.0,1076531.0,41186.0,41.0
ECI:1069077.0,56,5,5.078936000000001,0.930688,11.178797839285716,60.71428571428571,66.07142857142857,42.857142857142854,10.592109499999996,29.112543999999996,-113.1402,-10.7055085,5.0736013,7.0,9.5,8.5612485,14.996135,75.5,0.06491430252100841,0.9702602230483272,0.8847583643122676,0.9479553903345725,0.4349442379182156,0.8736059479553904,0.966542750929368,0.7434944237918215,0.9405204460966543,0.6282527881040892,0.9925650557620818,85.59,cell_key,7,97.77,True,MEDIUM,140.0,1069077.0,500.0,1.0
ECI:1071687.0,36,2,2.593712,1.040292,3.241342,97.22222222222221,97.22222222222221,47.22222222222222,6.438752000000001,23.215560250000003,-105.4667675,-11.45408475,4.98604895,6.0,9.0,7.9009464000000005,13.269142500000001,58.0,0.04298717678812415,0.9888475836431226,0.8773234200743495,0.9925650557620818,0.31970260223048325,0.9553903345724907,0.9739776951672863,0.6022304832713755,0.9516728624535316,0.7732342007434945,0.862453531598513,85.25,cell_key,8,97.4,True,LOW,395.0,1071687.0,9310.0,28.0
ECI:1073736.0,82,4,4.909248,0.7377023999999999,6.641640070731707,80.48780487804879,84.14634146341463,57.3170731707317,6.374488000000001,19.442858800000003,-104.66077999999999,-11.594877499999999,5.622657650000001,6.0,11.0,7.980496499999999,17.2050814,73.0,0.06236070535714286,0.9739776951672863,0.895910780669145,0.9776951672862454,0.3159851301115242,0.9553903345724907,0.9330855018587361,0.6133828996282528,0.9182156133828996,0.7955390334572491,0.8513011152416357,84.52,cell_key,9,97.03,True,MEDIUM,363.0,1073736.0,9310.0,28.0
ECI:1065032.0,66,4,4.249308,0.009104000000000001,5.779770818181818,77.27272727272727,77.27272727272727,37.878787878787875,5.086268000000001,16.6612,-101.944927,-11.2481775,5.0725715000000005,6.0,10.0,7.0453738999999995,15.620519999999999,71.5,0.06408452631578947,0.9814126394052045,0.9962825278810409,0.966542750929368,0.275092936802974,0.9553903345724907,0.9535315985130112,0.5427509293680297,0.9442379182156134,0.7174721189591078,0.7695167286245354,84.49,cell_key,10,96.65,True,MEDIUM,469.0,1065032.0,9310.0,28.0
