id,Activity.Activity,Activity.Status,Activity.Tech,download_raw_start_utc,download_raw_end_utc,download_analysis_start_utc,download_analysis_end_utc,raw_duration_seconds,analysis_duration_seconds
542020041221088+20250827112048+Fiji-Nadi-LTE-DL-D!20250827110300,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 22:57:59.186000+00:00,2025-08-26 23:00:59.294000+00:00,2025-08-26 22:58:04.186000+00:00,2025-08-26 23:00:57.294000+00:00,180.108,173.108
542020041221088+20250827112649+Fiji-Nadi-LTE-DL-D!20250827110516,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:01:00.305000+00:00,2025-08-26 23:04:00.423000+00:00,2025-08-26 23:01:05.305000+00:00,2025-08-26 23:03:58.423000+00:00,180.118,173.118
542020041221088+20250827112909+Fiji-Nadi-LTE-DL-D!20250827110725,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 23:04:01.418000+00:00,2025-08-26 23:07:01.533000+00:00,2025-08-26 23:04:06.418000+00:00,2025-08-26 23:06:59.533000+00:00,180.115,173.115
542020041221088+20250827113629+Fiji-Nadi-LTE-DL-D!20250827111145,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 23:07:02.526000+00:00,2025-08-26 23:10:02.642000+00:00,2025-08-26 23:07:07.526000+00:00,2025-08-26 23:10:00.642000+00:00,180.116,173.116
542020041221088+20250827114050+Fiji-Nadi-LTE-DL-D!20250827111354,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 23:10:03.625000+00:00,2025-08-26 23:13:03.723000+00:00,2025-08-26 23:10:08.625000+00:00,2025-08-26 23:13:01.723000+00:00,180.098,173.098
542020041221088+20250827114430+Fiji-Nadi-LTE-DL-D!20250827111604,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:13:04.751000+00:00,2025-08-26 23:16:04.848000+00:00,2025-08-26 23:13:09.751000+00:00,2025-08-26 23:16:02.848000+00:00,180.097,173.097
542020041221088+20250827114910+Fiji-Nadi-LTE-DL-D!20250827112027,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:16:05.845000+00:00,2025-08-26 23:19:05.948000+00:00,2025-08-26 23:16:10.845000+00:00,2025-08-26 23:19:03.948000+00:00,180.103,173.103
542020041221088+20250827115331+Fiji-Nadi-LTE-DL-D!20250827112239,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:19:06.941000+00:00,2025-08-26 23:22:07.049000+00:00,2025-08-26 23:19:11.941000+00:00,2025-08-26 23:22:05.049000+00:00,180.108,173.108
542020041221088+20250827120512+Fiji-Nadi-LTE-DL-D!20250827112702,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:22:08.047000+00:00,2025-08-26 23:25:08.152000+00:00,2025-08-26 23:22:13.047000+00:00,2025-08-26 23:25:06.152000+00:00,180.105,173.105
542020041221088+20250827121333+Fiji-Nadi-LTE-DL-D!20250827112914,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:25:09.153000+00:00,2025-08-26 23:28:09.239000+00:00,2025-08-26 23:25:14.153000+00:00,2025-08-26 23:28:07.239000+00:00,180.086,173.086
542020041221088+20250827122034+Fiji-Nadi-LTE-DL-D!20250827113125,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:28:10.248000+00:00,2025-08-26 23:31:10.358000+00:00,2025-08-26 23:28:15.248000+00:00,2025-08-26 23:31:08.358000+00:00,180.11,173.11
542020041221088+20250827122555+Fiji-Nadi-LTE-DL-D!20250827113546,HTTP/HTTPS Download,Failed,LTE CA1,2025-08-26 23:31:11.373000+00:00,2025-08-26 23:34:11.503000+00:00,2025-08-26 23:31:16.373000+00:00,2025-08-26 23:34:09.503000+00:00,180.13,173.13
542020041221088+20250827122836+Fiji-Nadi-LTE-DL-D!20250827113757,HTTP/HTTPS Download,Failed,LTE CA2,2025-08-26 23:34:12.505000+00:00,2025-08-26 23:37:12.619000+00:00,2025-08-26 23:34:17.505000+00:00,2025-08-26 23:37:10.619000+00:00,180.114,173.114
