ca_condition_label,carrier_count,rows,mean,p10,p25,median,p75,p90,pct_below_10
single_carrier,1.0,8692,23.802,2.179,8.006,18.368,34.83,52.394,30.419
2CC_CA,2.0,22195,58.316,7.302,22.088,49.35,85.861,121.774,12.688
3CC_or_more_CA,3.0,1351,102.44,17.668,48.717,94.206,150.291,199.411,6.588
