metric,value
rows,32238.0
throughput_p01,0.016
throughput_p05,1.321
throughput_p10,4.99
throughput_p17,9.856
throughput_p25,15.431
throughput_median,38.801
throughput_p75,74.473
throughput_p90,115.824
throughput_p95,139.674
throughput_p99,195.738
pct_below_5_mbps,10.013
pct_below_10_mbps,17.213
pct_below_15_mbps,24.406
pct_below_20_mbps,30.697
