dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values
drive_clean_throughput_base,Activity.Tech,Activity,object,271,32203,99.165,8,2.952,"['HSPA+', 'HSPA+', 'HSPA+', 'HSPA+', 'HSPA+']",,,,,"{'HSPA+': 222, 'HSPA': 19, 'WCDMA': 14, 'LTE CA2': 6, 'LTE CA1': 4}"
drive_clean_throughput_base,Activity.Throughput,Activity,float64,271,32203,99.165,271,100.0,"['-97.59904662467497', '-13.324436828611312', '66.0837961180796', '116.11897661035215', '73.36185592808876']",-398.6691499318763,33384.971245567824,556.2291659689439,2935.3179399678834,
drive_clean_throughput_base,Activity.Throughput WIFI,Activity,float64,271,32203,99.165,271,100.0,"['16.417620215085716', '1.2951062221616914', '39.24958983576041', '8.077748001448601', '-18.62484489068393']",-131.81652206955934,9116.252820266775,213.48290868286745,996.0580667664801,
drive_clean_throughput_base,Extra_KPIs.RRC Connection Setup Time,Extra_KPIs,float64,271,32203,99.165,271,100.0,"['232.9408945063988', '386.32542300852936', '356.94118549679325', '222.51771684467604', '199.06191567940925']",-20.664442126329412,1621.8699908441695,297.83815101918833,234.3869585380137,
drive_clean_throughput_base,activity_duration_seconds_from_timestamps,activity_duration_seconds_from_timestamps,float64,271,32203,99.165,233,85.978,"['103.147', '105.144', '105.167', '103.14', '104.14']",5.068,180.133,102.9249483394834,12.667166841773314,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_MCS_CW1,LTE,float64,277,32197,99.147,277,100.0,"['10.949418184949296', '17.426691596417445', '24.978923689629745', '20.8986257082473', '18.435194072039625']",0.5574879024397612,30.624368888077864,16.288088127945056,5.840035283517101,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_Modulation_CW1,LTE,object,277,32197,99.147,4,1.444,"['16QAM', '64QAM', '64QAM', '64QAM', '64QAM']",,,,,"{'64QAM': 193, '16QAM': 59, 'QPSK': 24, '256QAM': 1}"
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_RxAntNum,LTE,float64,299,32175,99.079,299,100.0,"['2.0340275030548445', '1.997231865089341', '3.9654689883126686', '4.033339778877958', '3.955458064395999']",0.9239154207373765,4.133744074430011,3.5607133865648355,0.8632735918990271,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_SpatialRank,LTE,float64,299,32175,99.079,299,100.0,"['0.9850261638459473', '0.9851428103126356', '1.0060177930448668', '1.0191760733450612', '1.0043553244106782']",0.9289463351926835,2.055834164086641,1.5017983586501218,0.5038567832375576,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_TxAntNum,LTE,float64,299,32175,99.079,299,100.0,"['1.9766338966074837', '1.981145813114054', '2.0143397499865303', '2.00210764935995', '1.9970119700341893']",1.9052184206656764,4.043864843909245,2.1553921073582827,0.5309917063524308,
drive_clean_throughput_base,Extra_KPIs.LTE Handover Interruption Time,Extra_KPIs,float64,371,32103,98.858,371,100.0,"['77.03817690447315', '39.49727138843048', '54.2351385524689', '196.57943227272', '91.1014826996154']",-2.087915393950757,233.81557998099507,55.9909649535673,36.51735433956095,
drive_clean_throughput_base,Extra_KPIs.ERRC Connection Setup Time,Extra_KPIs,float64,380,32094,98.83,380,100.0,"['128.9801315392246', '10.965401059952598', '2.247174815723527', '101.10719802075182', '-1.3728753409485295']",-3.8193822606441206,144.58308141882566,18.673261140755745,30.435482317005018,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_1024QAMUsage,LTE,float64,452,32022,98.608,452,100.0,"['9.733898638469032e-10', '-6.035211925012293e-10', '-1.1478349317995725e-10', '7.284475996557333e-10', '-7.657887783984467e-10']",-2.4915245180606014e-09,2.972982125032692e-09,1.1435025731822788e-11,9.654241036967484e-10,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_16QAMUsage,LTE,float64,452,32022,98.608,452,100.0,"['-1.6515035739567578', '44.064011104586534', '0.4453569901081043', '1.5258095911235654', '97.7756291317266']",-3.825063997833059,101.66349116818155,26.75632457746979,28.922517817303454,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_256QAMUsage,LTE,float64,452,32022,98.608,452,100.0,"['0.07578595485371924', '-0.3362394327311578', '0.11688234318477826', '0.36554040679792027', '0.14533838642120828']",-0.6924292998214416,99.6571645208287,0.521266264905426,5.829289886139623,
drive_clean_throughput_base,LTE - SecondaryCell 1 - SCell1_64QAMUsage,LTE,float64,452,32022,98.608,452,100.0,"['-1.1368594121360736', '6.956573599681364', '-0.6706872755918051', '0.4163618475150839', '1.1783802254125326']",-4.853162736748877,103.56346074331704,32.62427869592192,35.11892348802354,
