dataset,column,family,dtype,full_non_null_count,full_missing_count,full_missing_pct,sample_unique_count,sample_unique_pct,sample_non_null_examples,sample_min,sample_max,sample_mean,sample_std,sample_top_values,is_protected,remove_reason
drive_raw,Activity.Remote IPs,Activity,object,184,64765,99.717,29,15.761,"['syd.download.datapacket.com/143.244.62.9', 'syd.download.datapacket.com/143.244.62.9$$$$syd.download.datapacket.com/143.244.62.5', 'syd.download.datapacket.com/143.244.62.5', 'syd.download.datapacket.com/143.244.62.9', 'syd.download.datapacket.com/143.244.62.5']",,,,,"{'syd.download.datapacket.com/143.244.62.9': 32, 'syd.download.datapacket.com/143.244.62.6': 31, 'syd.download.datapacket.com/143.244.62.8': 26, 'syd.download.datapacket.com/143.244.62.5': 20, 'syd.download.datapacket.com/143.244.62.6$$$$syd.download.datapacket.com/143.244.62.9': 12}",True,
drive_raw,Activity.Source Ports,Activity,object,184,64765,99.717,184,100.0,"['44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284', '41372$$$$44640$$$$37408$$$$41804$$$$41818$$$$48212$$$$47388', '40594$$$$37892$$$$37906$$$$37918$$$$37932$$$$37946', '37820$$$$37824$$$$37826$$$$37838$$$$37844$$$$37850', '38242$$$$38258$$$$38266$$$$38268$$$$40906$$$$40918']",,,,,"{'44460$$$$44464$$$$44470$$$$44262$$$$44274$$$$44284': 1, '39124$$$$39140$$$$39144$$$$39154$$$$39158$$$$39172': 1, '43786$$$$45054$$$$43810$$$$43820$$$$43836$$$$47086': 1, '40068$$$$40084$$$$40088$$$$40094$$$$47258$$$$47260': 1, '46406$$$$46420$$$$41052$$$$46882$$$$46892$$$$43280': 1}",True,
drive_raw,Activity.TTFB,Activity,float64,184,64765,99.717,184,100.0,"['1294.8333740234375', '10106.3330078125', '1505.5', '2541.5', '5224.33349609375']",555.6666870117188,21065.80078125,3113.607181383216,3037.8343386784686,,True,
drive_raw,Activity.DNS Resolution Time,Activity,float64,186,64763,99.714,178,95.699,"['126.33333587646484', '747.3333129882812', '86.0', '102.16666412353516', '3238.75']",27.16666603088379,14187.0,427.53986464264574,1187.6091854867834,,True,
drive_raw,Activity.Remote Address,Activity,object,186,64763,99.714,32,17.204,"['syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)', 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)', 'syd.download.datapacket.com (143.244.62.5)$$$$syd.download.datapacket.com (143.244.62.9)', 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)', 'syd.download.datapacket.com (143.244.62.5)$$$$syd.download.datapacket.com (143.244.62.9)']",,,,,"{'syd.download.datapacket.com (143.244.62.6)$$$$syd.download.datapacket.com (143.244.62.8)': 23, 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.6)': 21, 'syd.download.datapacket.com (143.244.62.9)$$$$syd.download.datapacket.com (143.244.62.5)': 21, 'syd.download.datapacket.com (143.244.62.6)$$$$syd.download.datapacket.com (143.244.62.9)': 20, 'syd.download.datapacket.com (143.244.62.5)$$$$syd.download.datapacket.com (143.244.62.9)': 18}",True,
drive_raw,Activity.Sub Activity,Activity,object,191,64758,99.706,1,0.524,"['https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin', 'https://syd.download.datapacket.com/10000mb.bin']",,,,,{'https://syd.download.datapacket.com/10000mb.bin': 191},True,
drive_raw,Activity.Error,Activity,object,212,64737,99.674,4,1.887,"['Call Block', 'Call Block', 'Call Block', 'Call Block', 'Call Block']",,,,,"{'Timeout': 184, 'Call Block': 20, 'Error in Session': 7, 'Call Drop': 1}",True,
drive_raw,Extra_KPIs.Attach Delay,Extra_KPIs,float64,257,64692,99.604,257,100.0,"['900.3270000000008', '1192.7260000000003', '814.7120000000001', '770.8859999999972', '940.675000000006']",683.5360000000002,5367.335999999998,993.4348171206225,528.7120169148546,,True,
drive_raw,Extra_KPIs.RRC Connection Setup Time,Extra_KPIs,float64,276,64673,99.575,276,100.0,"['233.64899999999977', '386.63600000000287', '363.5850000000005', '234.10099999999545', '210.12000000000344']",0.1130000000006958,1609.848999999997,296.29796014492746,232.59938824522504,,True,
drive_raw,Extra_KPIs.ERRC Connection Setup Time,Extra_KPIs,float64,401,64548,99.383,381,95.012,"['131.90799999999925', '13.104000000002005', '0.917999999998642', '99.98900000000076', '0.3630000000001132']",0.0740000000014617,144.9579999999999,18.548433915212026,30.099360982191026,,True,
drive_raw,Activity.Band,Activity,object,433,64516,99.333,7,1.617,"['8.0', '8.0', '8.0', '8.0', '8.0']",,,,,"{'8.0': 225, '41.0': 145, '3.0': 23, '1.0': 23, '28.0': 9}",True,
drive_raw,Activity.LCI,Activity,object,461,64488,99.29,194,42.082,"['321.0', '321.0', '207.0', '168.0', '211.0']",,,,,"{'184.0': 9, '487.0': 8, '183.0': 8, '395.0': 7, '168.0': 7}",True,
drive_raw,Activity.ARFCN,Activity,float64,463,64486,99.287,20,4.32,"['3087.0', '3066.0', '3087.0', '3066.0', '3087.0']",65.0,41384.0,14283.831533477321,17672.698973695202,,True,
drive_raw,Activity.Private IP,Activity,object,463,64486,99.287,249,53.78,"['10.39.241.237', '10.49.17.239', '10.29.21.111', '10.29.25.251', '10.49.38.44']",,,,,"{'10.29.185.227': 97, '10.29.249.62': 54, '10.29.15.142': 35, '10.59.66.206': 5, '10.29.244.183': 3}",True,
drive_raw,Activity.Activity,Activity,object,465,64484,99.284,2,0.43,"['MO Call', 'MO Call', 'MO Call', 'MO Call', 'MO Call']",,,,,"{'MO Call': 274, 'HTTP/HTTPS Download': 191}",True,
drive_raw,Activity.Connection Reset,Activity,float64,465,64484,99.284,1,0.215,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,Activity.Duplicated ACK,Activity,float64,465,64484,99.284,1,0.215,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,Activity.Duration,Activity,float64,465,64484,99.284,306,65.806,"['103147.0', '105144.0', '105168.0', '103140.0', '104140.0']",5068.0,180203.0,131165.53333333333,40634.85061283001,,True,
drive_raw,Activity.End TimeStamp,Activity,object,465,64484,99.284,465,100.0,"['2025-08-25T02:15:24.901000+02:00', '2025-08-25T02:19:18.333000+02:00', '2025-08-25T02:21:23.646000+02:00', '2025-08-25T02:23:26.999000+02:00', '2025-08-25T02:25:31.151000+02:00']",,,,,"{'2025-08-25T02:15:24.901000+02:00': 1, '2025-08-27T01:55:19.258000+02:00': 1, '2025-08-27T02:48:27.627000+02:00': 1, '2025-08-27T02:45:26.500000+02:00': 1, '2025-08-27T02:42:25.360000+02:00': 1}",True,
drive_raw,Activity.Fast Retransmission,Activity,float64,465,64484,99.284,1,0.215,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,Activity.Out of Order,Activity,float64,465,64484,99.284,1,0.215,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,Activity.Packet Loss Rate,Activity,float64,465,64484,99.284,1,0.215,"['0.0', '0.0', '0.0', '0.0', '0.0']",0.0,0.0,0.0,0.0,,True,
drive_raw,Activity.Power,Activity,float64,465,64484,99.284,438,94.194,"['-86.77', '-85.33', '-79.26', '-67.06', '-67.01']",-117.36,-57.07,-84.11266666666667,12.47716881269384,,True,
drive_raw,Activity.Public IP,Activity,object,465,64484,99.284,301,64.731,"['82.132.246.198', '82.132.212.215', '82.132.233.116', '82.132.228.223', '82.132.223.12']",,,,,"{'No Network Available': 57, '102.218.86.137': 32, '102.218.86.139': 8, '102.218.86.131': 5, '82.132.229.248': 3}",True,
