id,timestamp,id_route_test_label,id_test_type,Activity.Remote IPs,Activity.Source Ports,Activity.TTFB,Activity.DNS Resolution Time,Activity.Remote Address,Activity.Sub Activity,Activity.Error,Activity.Band,Activity.LCI,Activity.ARFCN,Activity.Private IP,Activity.Activity,Activity.Connection Reset,Activity.Duplicated ACK,Activity.Duration,Activity.End TimeStamp,Activity.Fast Retransmission,Activity.Out of Order,Activity.Packet Loss Rate,Activity.Power,Activity.Public IP,Activity.Quality,Activity.SINR,Activity.Size,Activity.Spurious Retransmission,Activity.Start TimeStamp,Activity.Status,Activity.TCP Window Update,Activity.Tech,Activity.Throughput,Activity.Throughput WIFI,Activity.Start TimeStamp_parsed,Activity.End TimeStamp_parsed
542020041221088+20250825133141+Fiji-Nadi-MO-D!20250825123814,2025-08-25 02:38:03+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,,65.0,72.0,10.59.222.50,MO Call,0.0,0.0,104205.0,2025-08-25T02:38:03.524000+02:00,0.0,0.0,0.0,-80.52,No Network Available,-1.66,4.15,90.0,0.0,2025-08-25T02:36:19.320000+02:00,Success,0.0,HSPA+,0.0,0.0,2025-08-25 02:36:19.320000+02:00,2025-08-25 02:38:03.524000+02:00
542020041221088+20250825134203+Fiji-Nadi-MO-D!20250825124019,2025-08-25 02:40:08+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,340.0,3087.0,10.39.62.148,MO Call,0.0,0.0,105206.0,2025-08-25T02:40:08.748000+02:00,0.0,0.0,0.0,-69.62,45.117.247.228,-6.66,16.17,867.0,0.0,2025-08-25T02:38:23.542000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 02:38:23.542000+02:00,2025-08-25 02:40:08.748000+02:00
542020041221088+20250825134223+Fiji-Nadi-MO-D!20250825124219,2025-08-25 02:42:08+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,324.0,3066.0,10.59.234.65,MO Call,0.0,0.0,100153.0,2025-08-25T02:42:08.941000+02:00,0.0,0.0,0.0,-72.92,82.132.212.138,-10.86,8.71,897.0,0.0,2025-08-25T02:40:28.788000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 02:40:28.788000+02:00,2025-08-25 02:42:08.941000+02:00
542020041221088+20250825134304+Fiji-Nadi-MO-D!20250825124418,2025-08-25 02:44:07+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,116.0,3087.0,10.29.72.33,MO Call,0.0,0.0,97175.0,2025-08-25T02:44:07.082000+02:00,0.0,0.0,0.0,-75.11,102.59.22.228,-6.39,13.5,5500.0,0.0,2025-08-25T02:42:29.907000+02:00,Success,0.0,HSPA+,448.0,0.0,2025-08-25 02:42:29.907000+02:00,2025-08-25 02:44:07.082000+02:00
542020041221088+20250825134424+Fiji-Nadi-MO-D!20250825124615,2025-08-25 02:46:03+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,97.0,3087.0,10.49.84.223,MO Call,0.0,0.0,96145.0,2025-08-25T02:46:03.973000+02:00,0.0,0.0,0.0,-75.84,No Network Available,-9.75,4.33,2942.0,0.0,2025-08-25T02:44:27.828000+02:00,Success,0.0,WCDMA,240.0,0.0,2025-08-25 02:44:27.828000+02:00,2025-08-25 02:46:03.973000+02:00
542020041221088+20250825134444+Fiji-Nadi-MO-D!20250825124818,2025-08-25 02:48:07+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,89.0,3066.0,10.49.88.213,MO Call,0.0,0.0,103133.0,2025-08-25T02:48:07.143000+02:00,0.0,0.0,0.0,-75.49,82.132.233.250,-10.05,5.52,844.0,0.0,2025-08-25T02:46:24.010000+02:00,Success,0.0,HSPA+,64.0,0.0,2025-08-25 02:46:24.010000+02:00,2025-08-25 02:48:07.143000+02:00
542020041221088+20250825134524+Fiji-Nadi-MO-D!20250825125023,2025-08-25 02:50:12+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,222.0,3087.0,10.39.89.46,MO Call,0.0,0.0,105153.0,2025-08-25T02:50:12.656000+02:00,0.0,0.0,0.0,-78.96,217.53.250.137,-9.97,10.43,970.0,0.0,2025-08-25T02:48:27.503000+02:00,Success,0.0,HSPA+,72.0,0.0,2025-08-25 02:48:27.503000+02:00,2025-08-25 02:50:12.656000+02:00
542020041221088+20250825134644+Fiji-Nadi-MO-D!20250825125226,2025-08-25 02:52:15+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,214.0,3087.0,10.49.97.61,MO Call,0.0,0.0,103156.0,2025-08-25T02:52:15.911000+02:00,0.0,0.0,0.0,-78.23,102.59.190.21,-10.65,7.94,814.0,0.0,2025-08-25T02:50:32.756000+02:00,Success,0.0,HSPA+,56.0,0.0,2025-08-25 02:50:32.756000+02:00,2025-08-25 02:52:15.911000+02:00
542020041221088+20250825134704+Fiji-Nadi-MO-D!20250825125431,2025-08-25 02:54:20+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,8.0,214.0,3066.0,10.59.7.74,MO Call,0.0,0.0,104137.0,2025-08-25T02:54:20.172000+02:00,0.0,0.0,0.0,-81.94,No Network Available,-11.59,7.8,975.0,0.0,2025-08-25T02:52:36.036000+02:00,Success,0.0,HSPA+,72.0,0.0,2025-08-25 02:52:36.036000+02:00,2025-08-25 02:54:20.172000+02:00
542020041221088+20250825134724+Fiji-Nadi-MO-D!20250825125635,2025-08-25 02:56:24+02:00,Fiji-Nadi-MO-D,MO-D,,,,,,,,,2.0,70.0,10.49.107.78,MO Call,0.0,0.0,104166.0,2025-08-25T02:56:24.617000+02:00,0.0,0.0,0.0,-70.6,82.132.220.174,-5.42,4.96,499.0,0.0,2025-08-25T02:54:40.452000+02:00,Success,0.0,HSPA+,32.0,0.0,2025-08-25 02:54:40.452000+02:00,2025-08-25 02:56:24.617000+02:00
